Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;0;4;30;60;43;17;13;16;0;0;0;0;1;183;NA;Acinetobacter;8,000;8
Ciprofloxacin;0;0;0;0;6;11;29;34;30;8;4;0;0;0;0;0;0;0;0;1;122;NA;Acinetobacter;0,001;1
Colistin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;2
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;0,001;2
Gentamicin;0;0;0;0;0;0;0;6;29;37;25;7;5;7;0;0;0;0;0;1;116;NA;Acinetobacter;4,000;4
Imipenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;4
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;2
Levofloxacin;0;0;0;0;0;10;11;4;2;4;8;26;0;0;0;0;0;0;0;1;65;NA;Acinetobacter;0,500;1
Meropenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;8
Tobramycin;0;0;0;0;0;0;0;5;44;56;35;13;11;15;0;0;0;0;0;1;179;NA;Acinetobacter;4,000;4
Trimethoprim-sulfamethoxazole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;4
