Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;3;45;294;690;517;230;135;149;50;11;70;0;8;2194;8,00;Acinetobacter;8,000;8
Ampicillin;0;0;0;0;0;0;0;0;0;12;8;28;125;271;119;17;3;35;1;1;619;NA;Acinetobacter;NA;NA
Aztreonam;0;0;0;0;1;0;1;1;0;0;1;0;10;29;39;49;3;0;0;2;134;NA;Acinetobacter;NA;NA
Cefazolin;0;0;0;0;0;0;0;0;0;0;13;3;4;8;3025;0;0;0;0;1;3053;NA;Acinetobacter;NA;NA
Cefepime;0;0;0;0;3;5;27;36;87;296;569;544;458;617;1267;138;54;123;0;66;4224;NA;Acinetobacter;NA;NA
Cefepime-clavulanate;0;0;2;0;2;0;0;1;2;4;8;11;10;2;9;4;3;5;0;7;63;NA;Acinetobacter;NA;NA
Cefotaxime;0;0;0;0;1;2;0;25;6;11;24;92;359;389;161;217;26;125;5;40;1443;NA;Acinetobacter;NA;NA
Cefoxitin;0;0;0;0;0;0;0;1;0;1;3;15;22;56;182;2892;36;8;0;22;3216;NA;Acinetobacter;NA;NA
Ceftazidime;0;0;2;0;0;1;13;37;50;160;566;1352;918;490;393;263;202;473;2;116;4922;NA;Acinetobacter;NA;NA
Ceftibuten;0;0;0;0;0;0;0;0;0;0;2;9;30;64;0;0;0;0;0;1;105;NA;Acinetobacter;NA;NA
Ceftobiprole;0;0;0;0;0;21;36;113;93;37;20;10;13;617;3;11;2;0;0;6;976;NA;Acinetobacter;NA;NA
Ceftolozane;0;0;0;0;0;0;0;0;0;7;42;46;71;115;89;96;0;0;0;2;466;NA;Acinetobacter;NA;NA
Ceftolozane-tazobactam;0;0;0;17;1;33;10;13;25;40;48;43;120;108;107;122;0;0;0;3;687;NA;Acinetobacter;NA;NA
Ceftriaxone;0;0;0;0;0;0;0;25;7;7;46;134;395;502;264;1674;0;0;0;1;3054;NA;Acinetobacter;NA;NA
Cefuroxime;0;0;0;0;0;0;1;0;0;2;13;21;97;311;2841;27;14;14;0;4;3341;NA;Acinetobacter;NA;NA
Ciprofloxacin;0;0;12;7;27;224;833;865;410;174;109;262;118;176;311;360;127;193;3;115;4211;1,00;Acinetobacter;0,001;1
Clavulanic acid;0;0;0;0;0;0;0;0;0;0;0;0;3;4;4;39;50;0;0;1;100;NA;Acinetobacter;NA;NA
Colistin;0;0;0;0;0;0;0;0;805;1451;539;54;0;29;1;0;0;0;0;4;2879;2,00;Acinetobacter;2,000;2
Doripenem;0;0;0;0;2;21;104;249;228;306;277;192;252;353;1;16;31;0;0;11;2032;1,00;Acinetobacter;0,001;2
Doxycycline;0;0;0;0;0;0;74;25;24;6;3;3;2;9;22;34;3;0;0;2;205;NA;Acinetobacter;NA;NA
Eravacycline;0;0;0;0;0;0;0;4;10;9;2;4;0;0;0;0;0;0;0;1;29;NA;Acinetobacter;NA;NA
Ertapenem;0;0;0;2;0;1;4;5;9;49;90;67;39;14;9;7;0;0;6;3;302;NA;Acinetobacter;NA;NA
Gentamicin;0;0;0;0;0;6;21;226;607;451;150;79;48;80;38;73;36;107;7;22;1929;2,00;Acinetobacter;4,000;4
Imipenem;0;0;5;13;20;156;701;1145;964;631;455;167;146;513;95;104;4;3;8;28;5130;2,00;Acinetobacter;2,000;4
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;2
Levofloxacin;0;0;0;0;54;374;516;195;51;72;81;414;65;30;19;0;0;0;9;4;1880;0,50;Acinetobacter;0,500;1
Meropenem;0;0;0;5;15;81;355;799;866;820;666;236;213;562;55;79;52;5;10;17;4819;4,00;Acinetobacter;2,000;8
Minocycline;0;0;0;0;0;0;0;0;30;7;18;15;22;8;0;0;0;0;0;1;100;NA;Acinetobacter;NA;NA
Moxifloxacin;0;0;0;0;56;45;13;8;10;4;5;15;39;23;34;3;0;0;0;3;255;0,25;Acinetobacter;NA;NA
Nalidixic acid;0;0;0;0;0;0;0;0;0;3;7;30;53;25;6;2;5;27;0;1;158;NA;Acinetobacter;NA;NA
Netilmicin;0;0;0;0;0;0;0;2;5;9;11;6;11;6;10;4;3;42;0;1;109;NA;Acinetobacter;NA;NA
Ofloxacin;0;0;0;0;2;4;67;43;21;6;12;2;5;0;0;0;0;0;0;1;162;NA;Acinetobacter;NA;NA
Piperacillin;0;0;0;0;0;0;0;0;0;12;38;88;455;726;546;159;257;1631;83;5;3995;NA;Acinetobacter;NA;NA
Piperacillin-tazobactam;0;0;79;9;10;10;68;10;20;11;21;31;58;54;74;80;170;184;61;55;950;NA;Acinetobacter;NA;NA
Rifampicin;0;0;0;0;0;0;0;0;3;9;20;39;2;2;4;14;9;0;0;1;102;NA;Acinetobacter;NA;NA
Sulbactam;0;0;0;0;0;0;0;0;8;45;50;9;22;23;15;25;8;0;0;2;205;NA;Acinetobacter;NA;NA
Tetracycline;0;0;0;0;1;1;0;9;8;8;14;18;22;9;47;4;69;0;0;2;210;NA;Acinetobacter;NA;NA
Ticarcillin;0;0;0;0;0;0;0;0;0;7;31;76;270;569;422;202;108;1369;0;1;3054;NA;Acinetobacter;NA;NA
Ticarcillin-clavulanic acid;0;0;0;0;0;0;0;0;0;194;157;315;670;878;659;478;355;2319;0;2;6025;NA;Acinetobacter;NA;NA
Tigecycline;0;0;119;59;223;2143;5086;5297;6730;7246;3144;902;156;5;2;2;0;0;0;12;31114;0,50;Acinetobacter;NA;NA
Tobramycin;0;0;0;1;0;3;20;194;915;1044;535;256;226;270;54;64;25;67;13;15;3687;4,00;Acinetobacter;4,000;4
Trimethoprim;0;0;0;0;0;0;0;0;2;1;8;26;60;61;0;0;0;0;0;1;158;NA;Acinetobacter;NA;NA
Trimethoprim-sulfamethoxazole;0;0;0;0;2;163;331;253;86;28;19;16;27;48;55;41;0;0;0;5;1069;0,50;Acinetobacter;2,000;4
