Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;0;5;26;55;41;18;16;10;0;0;0;0;1;171;NA;Acinetobacter;8,000;8
Cefepime;0;0;0;0;0;0;1;0;0;1;2;1;0;1;1;1;0;0;0;1;8;NA;Acinetobacter;NA;NA
Cefotaxime;0;0;0;0;0;0;0;0;0;1;0;0;3;1;0;1;0;0;0;1;6;NA;Acinetobacter;NA;NA
Ceftobiprole;0;0;0;0;0;2;1;1;1;1;1;0;1;10;0;0;0;0;0;2;18;NA;Acinetobacter;NA;NA
Ciprofloxacin;0;0;0;0;7;17;33;31;24;21;6;2;0;0;0;8;1;0;0;2;150;NA;Acinetobacter;0,001;1
Colistin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;2
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;0,001;2
Gentamicin;0;0;0;0;0;0;0;6;21;30;18;15;13;7;0;0;0;0;0;1;110;NA;Acinetobacter;4,000;4
Imipenem;0;0;0;0;0;0;1;2;5;10;4;0;0;0;0;1;0;0;0;1;23;NA;Acinetobacter;2,000;4
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;2
Levofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;0,500;1
Meropenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;8
Tobramycin;0;0;0;0;0;0;0;8;45;58;29;15;18;17;2;1;0;0;0;2;193;NA;Acinetobacter;4,000;4
Trimethoprim-sulfamethoxazole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;4
