Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;0;74;87;45;25;13;6;9;0;0;0;0;1;259;NA;Acinetobacter;8,000;8
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;0;13;10;10;14;8;3;7;3;11;0;0;0;1;79;NA;Acinetobacter;NA;NA
Cefepime;0;0;0;1;0;1;27;58;84;54;34;37;25;36;33;4;1;2;0;2;397;NA;Acinetobacter;NA;NA
Cefotaxime;0;0;0;0;0;0;0;31;23;45;64;38;65;35;9;7;0;0;15;1;332;NA;Acinetobacter;NA;NA
Cefoxitin;0;0;0;0;0;0;0;6;4;7;18;33;42;61;45;131;0;0;0;1;347;NA;Acinetobacter;NA;NA
Ceftazidime;0;0;0;0;1;0;3;42;32;121;171;133;85;45;84;16;1;2;14;3;750;NA;Acinetobacter;NA;NA
Ceftobiprole;0;0;0;3;2;48;14;4;7;6;0;0;1;7;0;0;0;0;0;5;92;NA;Acinetobacter;NA;NA
Ceftolozane;0;0;0;0;0;0;0;0;3;3;3;1;0;0;0;0;0;0;0;1;10;NA;Acinetobacter;NA;NA
Ceftolozane-tazobactam;0;0;0;6;0;2;0;3;1;2;1;1;2;1;3;3;0;0;0;2;25;NA;Acinetobacter;NA;NA
Ceftriaxone;0;0;0;0;0;0;0;19;10;37;72;79;49;27;17;43;0;0;0;1;353;NA;Acinetobacter;NA;NA
Cefuroxime;0;0;0;0;0;0;3;2;35;32;75;110;122;96;165;21;12;0;16;2;689;NA;Acinetobacter;NA;NA
Ciprofloxacin;0;0;0;3;12;59;73;47;21;8;11;3;1;0;15;9;0;0;0;2;262;NA;Acinetobacter;0,001;1
Colistin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;2
Doripenem;0;0;0;0;0;37;38;35;26;4;4;0;6;3;0;0;0;0;0;7;153;1,0;Acinetobacter;0,001;2
Eravacycline;0;0;0;0;3;7;14;5;0;0;0;0;0;0;0;0;0;0;0;1;29;NA;Acinetobacter;NA;NA
Ertapenem;0;0;0;0;0;3;3;1;9;11;17;13;3;10;0;0;0;0;0;1;70;NA;Acinetobacter;NA;NA
Gentamicin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;4,000;4
Imipenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;4
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;2
Levofloxacin;0;0;0;0;21;131;155;63;9;11;12;15;0;0;0;0;0;0;17;2;434;NA;Acinetobacter;0,500;1
Meropenem;0;0;3;2;2;88;58;93;53;34;28;10;4;18;6;1;0;0;0;2;400;NA;Acinetobacter;2,000;8
Piperacillin;0;0;0;0;0;0;0;0;0;63;67;121;148;112;65;12;12;65;18;2;683;NA;Acinetobacter;NA;NA
Piperacillin-tazobactam;0;0;0;0;0;0;6;2;169;22;17;25;31;20;9;6;37;1;3;1;348;NA;Acinetobacter;NA;NA
Ticarcillin;0;0;0;0;0;0;0;0;0;30;39;55;44;78;30;19;4;48;0;1;347;NA;Acinetobacter;NA;NA
Tigecycline;0;0;26;59;296;648;844;529;267;108;43;20;4;0;0;0;0;0;0;17;2844;0,5;Acinetobacter;NA;NA
Tobramycin;0;0;0;0;0;0;60;93;87;44;18;13;12;19;1;2;2;4;0;2;355;NA;Acinetobacter;4,000;4
Trimethoprim-sulfamethoxazole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;4
