Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;0;0;4;20;10;1;0;3;0;0;0;0;1;38;NA;Acinetobacter;8,000;8
Ciprofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;0,001;1
Colistin;0;0;0;0;0;0;0;0;36;79;11;2;0;0;0;0;0;0;0;2;128;NA;Acinetobacter;2,000;2
Doripenem;0;0;0;0;0;0;0;9;18;3;3;1;2;0;1;0;0;0;0;1;37;NA;Acinetobacter;0,001;2
Gentamicin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;4,000;4
Imipenem;0;0;0;0;0;0;0;8;24;1;1;1;1;1;0;1;0;0;0;1;38;NA;Acinetobacter;2,000;4
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;2,000;2
Levofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;0,500;1
Meropenem;0;0;0;0;0;0;0;5;20;4;3;3;1;1;0;1;0;0;0;1;38;NA;Acinetobacter;2,000;8
Tigecycline;0;0;0;3;28;263;449;243;67;26;15;3;1;0;0;0;0;0;0;3;1098;0,5;Acinetobacter;NA;NA
Tobramycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Acinetobacter;4,000;4
Trimethoprim-sulfamethoxazole;0;0;0;0;0;0;11;21;4;0;0;0;0;1;1;0;0;0;0;1;38;NA;Acinetobacter;2,000;4
