Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;1,000
Amoxicillin;0;0;0;0;1;11;35;41;9;1;0;0;0;0;0;0;0;0;0;1;98;NA;PK_PD_breakpoints;2,000;8,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;8,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;8,000
Aztreonam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;8,000
Benzylpenicillin;0;0;0;1;51;41;2;3;0;0;0;0;0;0;0;0;0;0;0;1;98;NA;PK_PD_breakpoints;0,250;2,000
Cefazolin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;2,000
Cefepime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;8,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;2,000
Cefotaxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;2,000
