Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Aztreonam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Aeromonas;1,00;4,0
Cefepime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Aeromonas;1,00;4,0
Ceftazidime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Aeromonas;1,00;4,0
Ceftobiprole;0;0;0;0;0;3;1;1;1;0;0;0;0;2;0;0;0;0;0;2;8;NA;Aeromonas;NA;NA
Ciprofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Aeromonas;0,25;0,5
Imipenem;0;0;0;0;0;0;11;21;7;10;6;5;2;2;0;0;0;0;0;1;64;NA;Aeromonas;NA;NA
Levofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Aeromonas;0,50;1,0
Ofloxacin;0;0;2;16;6;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;26;NA;Aeromonas;NA;NA
Sparfloxacin;0;0;0;4;14;7;0;0;0;0;0;0;1;0;0;0;0;0;0;1;26;NA;Aeromonas;NA;NA
Trimethoprim-sulfamethoxazole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Aeromonas;2,00;4,0
