Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;0;0;0;8;11;53;63;44;29;17;98;352;380;102;411;0;0;1;1568;NA;Anaerobes,_Gramnegative;0,50;2,0
Amoxicillin-clavulanic acid (fixed);0;0;0;0;0;283;356;305;190;80;73;45;35;61;91;25;98;0;0;1;1642;NA;Anaerobes,_Gramnegative;NA;NA
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;8,0
Ampicillin;0;0;0;0;0;0;0;0;0;15;28;37;91;333;437;74;52;121;96;1;1284;NA;Anaerobes,_Gramnegative;0,50;2,0
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;8,0
Benzylpenicillin;0;0;0;0;0;0;0;1;1;11;10;51;91;168;79;105;21;34;19;4;591;NA;Anaerobes,_Gramnegative;0,25;0,5
Cefoxitin;0;0;0;1;0;0;0;19;1;12;25;197;322;257;178;80;27;33;14;4;1166;NA;Anaerobes,_Gramnegative;NA;NA
Ceftazidime;0;0;0;0;0;0;0;0;2;0;0;1;4;16;28;4;16;56;0;1;127;NA;Anaerobes,_Gramnegative;NA;NA
Ceftobiprole;0;0;0;0;0;1;2;0;5;6;12;19;22;12;1;15;32;0;0;1;127;NA;Anaerobes,_Gramnegative;NA;NA
Ceftriaxone;0;0;0;0;3;1;0;0;0;6;4;16;22;21;33;35;21;73;0;1;235;NA;Anaerobes,_Gramnegative;NA;NA
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;8,00;8,0
Ciprofloxacin;0;0;0;0;0;0;0;0;1;4;53;73;53;53;33;17;16;3;0;1;306;NA;Anaerobes,_Gramnegative;NA;NA
Clarithromycin;0;0;0;0;0;1;33;16;1;1;0;0;0;0;0;0;0;0;0;1;52;NA;Anaerobes,_Gramnegative;NA;NA
Clindamycin;0;0;1;4;39;182;134;177;291;222;167;104;37;6;9;18;11;84;291;6;1777;NA;Anaerobes,_Gramnegative;4,00;4,0
Doripenem;0;0;0;0;3;7;56;297;88;25;15;10;8;5;1;0;0;0;0;2;515;NA;Anaerobes,_Gramnegative;1,00;1,0
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;0,50;0,5
Erythromycin;0;0;0;0;0;0;0;2;10;30;10;0;0;0;0;0;0;0;0;1;52;NA;Anaerobes,_Gramnegative;NA;NA
Imipenem;0;0;0;31;209;336;479;355;256;130;46;10;6;3;4;5;7;0;1;3;1878;1;Anaerobes,_Gramnegative;2,00;4,0
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;2,00;2,0
Levofloxacin;0;0;0;0;0;0;0;6;100;136;63;104;60;18;11;17;5;0;0;1;520;NA;Anaerobes,_Gramnegative;NA;NA
Meropenem;0;0;0;3;1;10;20;49;14;5;3;2;0;1;4;0;0;0;0;1;112;NA;Anaerobes,_Gramnegative;2,00;8,0
Metronidazole;0;0;0;1;30;35;103;243;614;1412;531;120;34;19;2;12;4;0;0;8;3160;NA;Anaerobes,_Gramnegative;4,00;4,0
Moxifloxacin;0;0;0;0;0;4;61;72;33;75;19;17;1;7;2;0;0;0;0;4;291;NA;Anaerobes,_Gramnegative;NA;NA
Piperacillin;0;0;0;3;1;10;18;31;37;68;142;113;119;168;114;83;59;83;14;4;1063;NA;Anaerobes,_Gramnegative;16,00;16,0
Piperacillin-tazobactam;0;0;2;25;14;149;309;585;277;345;458;370;297;165;175;281;16;22;8;7;3498;1;Anaerobes,_Gramnegative;8,00;16,0
Quinupristin-dalfopristin;0;0;0;0;0;0;0;0;0;0;0;0;0;6;46;4;0;0;0;1;56;NA;Anaerobes,_Gramnegative;NA;NA
Roxithromycin;0;0;0;0;0;0;0;1;0;11;25;12;3;0;0;0;0;0;0;1;52;NA;Anaerobes,_Gramnegative;NA;NA
Secnidazole;0;0;0;0;0;0;4;2;25;40;32;9;6;5;0;0;0;0;0;1;123;NA;Anaerobes,_Gramnegative;NA;NA
Telithromycin;0;0;0;0;0;1;5;4;10;12;35;22;7;6;2;2;0;0;0;2;106;NA;Anaerobes,_Gramnegative;NA;NA
Ticarcillin;0;0;0;0;0;0;8;8;4;8;11;19;64;308;313;170;139;77;146;1;1275;NA;Anaerobes,_Gramnegative;16,00;16,0
Ticarcillin-clavulanic acid;0;0;0;0;0;49;275;216;190;116;106;105;59;56;12;7;13;11;11;1;1226;NA;Anaerobes,_Gramnegative;NA;NA
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;8,00;16,0
