Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;0;0;1;0;0;1;5;10;7;5;30;177;176;88;144;0;0;1;644;NA;Anaerobes,_Gramnegative;0,50;2,0
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;8,0
Ampicillin;0;0;0;0;0;0;0;0;0;4;8;11;50;123;185;37;34;70;120;2;642;NA;Anaerobes,_Gramnegative;0,50;2,0
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;8,0
Benzylpenicillin;0;0;0;0;0;0;0;0;0;0;2;20;44;14;5;4;12;2;0;2;103;NA;Anaerobes,_Gramnegative;0,25;0,5
Cefoxitin;0;0;0;0;0;0;0;15;1;4;41;523;653;330;166;69;23;44;29;5;1898;NA;Anaerobes,_Gramnegative;NA;NA
Ceftazidime;0;0;0;0;0;0;0;0;1;0;0;1;3;15;26;3;12;37;0;1;98;NA;Anaerobes,_Gramnegative;NA;NA
Ceftobiprole;0;0;0;0;0;1;0;0;4;6;11;15;16;10;0;10;25;0;0;1;98;NA;Anaerobes,_Gramnegative;NA;NA
Ceftriaxone;0;0;0;0;0;0;0;0;0;5;2;6;12;9;14;6;9;35;0;1;98;NA;Anaerobes,_Gramnegative;NA;NA
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;8,00;8,0
Ciprofloxacin;0;0;0;0;0;0;0;0;1;4;48;58;37;65;27;3;5;0;0;2;248;NA;Anaerobes,_Gramnegative;NA;NA
Clindamycin;0;0;0;11;20;102;124;297;515;542;252;68;39;12;22;59;17;65;176;7;2321;4,000;Anaerobes,_Gramnegative;4,00;4,0
Doripenem;0;0;0;0;3;4;33;131;35;11;11;9;4;4;1;0;0;0;0;2;246;NA;Anaerobes,_Gramnegative;1,00;1,0
Eravacycline;0;0;0;0;1;10;56;104;84;29;33;11;5;0;0;0;0;0;0;3;333;1,000;Anaerobes,_Gramnegative;NA;NA
Ertapenem;0;0;1;2;5;41;55;58;28;3;13;4;0;0;0;0;0;0;0;2;210;NA;Anaerobes,_Gramnegative;0,50;0,5
Gatifloxacin;0;0;0;0;0;0;0;9;35;1;0;2;1;0;0;0;0;0;0;1;48;NA;Anaerobes,_Gramnegative;NA;NA
Gemifloxacin;0;0;0;0;0;0;2;13;57;22;4;1;0;0;0;0;0;0;0;2;99;NA;Anaerobes,_Gramnegative;NA;NA
Imipenem;2;0;0;30;236;545;810;618;226;119;48;21;13;6;6;7;7;0;0;7;2694;1,000;Anaerobes,_Gramnegative;2,00;4,0
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;2,00;2,0
Levofloxacin;0;0;0;0;0;0;1;6;122;200;78;77;39;15;11;2;0;0;0;5;551;NA;Anaerobes,_Gramnegative;NA;NA
Meropenem;3;4;45;257;739;615;423;146;60;30;27;10;1;0;1;1;0;0;0;31;2362;0,125;Anaerobes,_Gramnegative;2,00;8,0
Metronidazole;0;0;0;4;20;65;95;295;548;835;349;84;18;13;3;2;0;1;0;5;2332;NA;Anaerobes,_Gramnegative;4,00;4,0
Moxifloxacin;0;0;0;0;2;47;142;544;786;287;133;113;104;42;19;19;0;0;0;7;2238;2,000;Anaerobes,_Gramnegative;NA;NA
Piperacillin;0;0;0;0;0;0;3;4;8;15;13;21;24;12;5;7;7;31;3;2;153;NA;Anaerobes,_Gramnegative;16,00;16,0
Piperacillin-tazobactam;0;0;0;15;4;67;414;323;207;244;195;171;119;78;39;10;6;6;10;5;1908;1,000;Anaerobes,_Gramnegative;8,00;16,0
Secnidazole;0;0;0;0;0;0;2;2;13;17;19;7;3;5;0;0;0;0;0;1;68;NA;Anaerobes,_Gramnegative;NA;NA
Sparfloxacin;0;0;0;0;0;0;0;0;3;56;37;16;4;3;1;1;0;0;0;2;121;NA;Anaerobes,_Gramnegative;NA;NA
Ticarcillin;0;0;0;0;0;0;1;4;0;5;6;6;29;138;139;43;43;25;63;1;502;NA;Anaerobes,_Gramnegative;16,00;16,0
Ticarcillin-clavulanic acid;0;0;0;0;0;36;197;145;91;45;33;30;19;14;5;3;5;8;8;1;639;NA;Anaerobes,_Gramnegative;NA;NA
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;8,00;16,0
Tigecycline;0;0;0;0;0;7;21;98;201;290;259;57;49;41;7;0;1;0;0;5;1031;NA;Anaerobes,_Gramnegative;NA;NA
