Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;0,50;2,0
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;8,0
Ampicillin;0;0;0;0;0;0;0;0;0;0;0;0;6;5;13;5;3;4;13;1;49;NA;Anaerobes,_Gramnegative;0,50;2,0
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;8,0
Benzylpenicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;0,25;0,5
Cefoxitin;0;0;0;0;0;0;0;0;0;1;2;3;4;14;16;7;3;4;0;3;54;NA;Anaerobes,_Gramnegative;NA;NA
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;8,00;8,0
Clindamycin;0;0;0;0;2;0;2;3;3;10;7;4;4;4;1;4;1;2;7;3;54;NA;Anaerobes,_Gramnegative;4,00;4,0
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;1,00;1,0
Eravacycline;0;0;0;0;0;3;7;7;9;4;0;0;0;0;0;0;0;0;0;1;30;NA;Anaerobes,_Gramnegative;NA;NA
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;0,50;0,5
Imipenem;0;0;0;1;1;18;53;23;11;5;1;0;0;0;0;0;0;0;0;2;113;NA;Anaerobes,_Gramnegative;2,00;4,0
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;2,00;2,0
Meropenem;0;0;0;1;11;98;71;34;12;3;0;0;0;0;0;0;0;0;0;5;230;0,25;Anaerobes,_Gramnegative;2,00;8,0
Metronidazole;0;0;0;0;1;2;2;15;20;10;4;0;0;0;0;0;0;0;0;3;54;NA;Anaerobes,_Gramnegative;4,00;4,0
Moxifloxacin;0;0;0;0;0;1;3;9;20;42;59;22;4;5;10;0;0;0;0;3;175;NA;Anaerobes,_Gramnegative;NA;NA
Piperacillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;16,00;16,0
Piperacillin-tazobactam;0;0;0;1;0;0;1;2;3;6;6;8;9;9;8;0;0;0;0;2;53;NA;Anaerobes,_Gramnegative;8,00;16,0
Ticarcillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;16,00;16,0
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;8,00;16,0
