Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;0;0;0;2;6;12;7;2;0;5;12;49;78;17;42;0;0;1;232;NA;Anaerobes,_Gramnegative;0,50;2,0
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;8,0
Ampicillin;0;0;0;0;0;0;0;0;0;0;1;0;3;8;24;15;4;11;16;1;82;NA;Anaerobes,_Gramnegative;0,50;2,0
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;8,0
Benzylpenicillin;0;0;0;0;0;0;0;0;0;0;0;0;1;14;1;1;1;7;0;1;25;NA;Anaerobes,_Gramnegative;0,25;0,5
Cefoxitin;0;0;0;0;0;0;0;5;0;2;3;13;25;73;77;20;6;9;4;3;237;NA;Anaerobes,_Gramnegative;NA;NA
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;8,00;8,0
Clindamycin;0;0;0;0;1;13;1;16;29;37;47;32;12;6;3;7;6;18;63;4;291;NA;Anaerobes,_Gramnegative;4,00;4,0
Doripenem;0;0;0;0;0;0;5;54;17;3;1;0;1;0;0;0;0;0;0;1;81;NA;Anaerobes,_Gramnegative;1,00;1,0
Eravacycline;0;0;0;0;1;10;18;41;48;22;8;7;1;0;0;0;0;0;0;3;156;NA;Anaerobes,_Gramnegative;NA;NA
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;0,50;0,5
Imipenem;0;0;0;1;23;44;65;82;66;35;9;2;2;0;0;0;0;0;0;4;329;NA;Anaerobes,_Gramnegative;2,00;4,0
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;2,00;2,0
Levofloxacin;0;0;0;0;0;0;0;0;2;1;9;33;20;3;0;2;3;0;0;1;73;NA;Anaerobes,_Gramnegative;NA;NA
Meropenem;4;2;10;19;103;356;136;37;13;6;2;0;0;0;0;0;0;0;0;13;688;0,25;Anaerobes,_Gramnegative;2,00;8,0
Metronidazole;0;0;0;0;5;7;12;37;88;97;18;9;3;0;0;0;0;1;0;3;277;NA;Anaerobes,_Gramnegative;4,00;4,0
Moxifloxacin;0;0;0;0;0;0;4;4;46;200;66;13;9;16;6;3;0;0;0;4;367;NA;Anaerobes,_Gramnegative;NA;NA
Piperacillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;16,00;16,0
Piperacillin-tazobactam;0;0;0;0;0;2;10;4;2;9;10;24;49;49;27;5;1;7;4;4;203;NA;Anaerobes,_Gramnegative;8,00;16,0
Ticarcillin;0;0;0;0;0;0;0;1;1;1;0;0;3;14;40;33;20;8;21;1;142;NA;Anaerobes,_Gramnegative;16,00;16,0
Ticarcillin-clavulanic acid;0;0;0;0;0;0;11;17;38;21;29;33;8;12;2;0;1;0;0;1;172;NA;Anaerobes,_Gramnegative;NA;NA
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;8,00;16,0
