Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;0,50;2,0
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;8,0
Ampicillin;0;0;0;0;0;0;0;0;0;0;0;1;4;8;6;3;2;9;9;1;42;NA;Anaerobes,_Gramnegative;0,50;2,0
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;8,0
Benzylpenicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;0,25;0,5
Cefoxitin;0;0;0;0;0;0;0;0;0;1;3;7;13;12;6;3;1;4;1;3;51;NA;Anaerobes,_Gramnegative;NA;NA
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;8,00;8,0
Clindamycin;0;0;0;2;0;7;3;8;0;5;4;0;3;1;2;6;2;3;5;3;51;NA;Anaerobes,_Gramnegative;4,00;4,0
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;1,00;1,0
Eravacycline;0;0;0;0;0;6;18;10;4;1;0;0;0;0;0;0;0;0;0;2;39;NA;Anaerobes,_Gramnegative;NA;NA
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;0,50;0,5
Imipenem;0;0;0;0;1;14;19;10;9;3;1;0;0;0;0;0;0;0;0;2;57;NA;Anaerobes,_Gramnegative;2,00;4,0
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;2,00;2,0
Meropenem;0;0;9;14;68;62;75;11;5;1;0;0;0;0;0;0;0;0;0;6;245;0,25;Anaerobes,_Gramnegative;2,00;8,0
Metronidazole;0;0;0;0;0;3;4;17;11;9;4;3;0;0;0;0;0;0;0;3;51;NA;Anaerobes,_Gramnegative;4,00;4,0
Moxifloxacin;0;0;0;0;0;2;3;17;53;22;10;6;2;15;12;1;0;0;0;3;143;NA;Anaerobes,_Gramnegative;NA;NA
Piperacillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;16,00;16,0
Piperacillin-tazobactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;8,00;16,0
Ticarcillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;16,00;16,0
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;8,00;16,0
