Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;4,00;8,0
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;4,00;8,0
Ampicillin;0;0;0;0;1;2;13;26;12;6;1;0;0;0;0;0;0;0;0;1;61;NA;Anaerobes,_Grampositive;4,00;8,0
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;4,00;8,0
Benzylpenicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;0,25;0,5
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;8,00;8,0
Clindamycin;0;0;6;0;27;26;7;5;0;0;1;0;0;0;0;0;0;0;7;1;79;NA;Anaerobes,_Grampositive;4,00;4,0
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;1,00;1,0
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;0,50;0,5
Erythromycin;0;0;1;1;3;19;31;14;1;0;0;0;2;5;0;0;0;0;1;1;78;NA;Anaerobes,_Grampositive;NA;NA
Gentamicin;0;0;0;0;0;0;0;0;0;0;0;2;8;15;21;9;5;1;1;1;62;NA;Anaerobes,_Grampositive;NA;NA
Imipenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;2,00;4,0
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;2,00;2,0
Meropenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;2,00;8,0
Metronidazole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;4,00;4,0
Piperacillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;8,00;16,0
Piperacillin-tazobactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;8,00;16,0
Streptomycin;0;0;0;0;0;0;0;0;0;0;0;0;6;14;27;13;16;0;3;1;79;NA;Anaerobes,_Grampositive;NA;NA
Tetracycline;0;0;0;0;0;0;3;13;34;12;1;0;0;7;8;1;0;0;0;1;79;NA;Anaerobes,_Grampositive;NA;NA
Ticarcillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;8,00;16,0
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;8,00;16,0
Vancomycin;0;0;0;0;0;0;0;4;60;14;1;0;0;0;0;0;0;0;0;1;79;NA;Anaerobes,_Grampositive;2,00;2,0
