Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;1,000
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;8,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;8,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;8,000
Aztreonam;0;0;0;0;0;0;0;1;2;6;2;1;5;0;2;1;0;2;0;3;22;NA;PK_PD_breakpoints;4,000;8,000
Benzylpenicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,250;2,000
Cefazolin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;2,000
Cefepime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;8,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;2,000
Cefotaxime;0;0;0;0;0;0;0;0;0;7;4;5;9;5;4;6;0;1;0;3;41;NA;PK_PD_breakpoints;1,000;2,000
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,500;0,500
Ceftazidime;0;0;0;0;0;0;0;1;5;13;20;9;5;2;8;3;4;1;0;3;71;NA;PK_PD_breakpoints;4,000;8,000
Ceftazidime-avibactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;8,000;8,000
Ceftibuten;0;0;0;0;0;0;0;0;1;2;6;3;0;0;0;1;0;2;0;1;15;NA;PK_PD_breakpoints;NA;NA
Ceftobiprole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;4,000
Ceftolozane-tazobactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;4,000
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;2,000
Cefuroxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;8,000
Ciprofloxacin;0;0;0;0;1;4;2;4;11;5;10;15;10;11;4;1;3;0;0;3;81;NA;PK_PD_breakpoints;0,250;0,500
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,250;0,250
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;2,000
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,500;0,500
Gentamicin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,500;0,500
Imipenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;4,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;2,000
Lefamulin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,250;0,250
Levofloxacin;0;0;0;0;0;0;1;2;1;7;15;4;3;5;0;0;0;0;0;3;38;NA;PK_PD_breakpoints;0,500;1,000
Linezolid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;2,000
Meropenem;0;0;0;0;0;1;2;8;4;12;23;17;4;5;0;5;0;0;0;3;81;NA;PK_PD_breakpoints;2,000;8,000
Meropenem-vaborbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;8,000;8,000
