Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;0;0;0;0;0;1;1;17;27;89;135;19;40;72;0;0;0;5;401;16,00;C.jejuni_C.coli;NA;NA
Ampicillin;0;0;0;0;0;0;2;4;26;59;122;122;48;19;26;12;1;3;0;6;444;16,00;C.jejuni_C.coli;NA;NA
Azithromycin;0;0;0;1867;8586;7590;1835;288;19;25;9;3;6;1;2;4;199;0;0;19;20434;0,25;C.jejuni_C.coli;NA;NA
Chloramphenicol;0;0;0;4;0;2;8;34;345;1264;1612;800;238;69;18;2;0;0;1;22;4397;16,00;C.jejuni_C.coli;NA;NA
Ciprofloxacin;0;0;0;33;575;8174;8558;1659;187;51;39;326;2493;1515;541;200;34;0;0;46;24385;0,50;C.jejuni_C.coli;0,001;0,5
Clindamycin;0;0;0;0;649;5219;9415;4182;627;115;44;50;53;32;48;0;0;0;0;19;20434;0,50;C.jejuni_C.coli;NA;NA
Doxycycline;0;0;0;0;12;130;282;46;41;13;35;52;132;142;62;0;0;0;0;7;947;0,50;C.jejuni_C.coli;NA;NA
Erythromycin;0;0;0;1;21;123;1988;9162;8044;3585;1079;201;19;6;5;23;200;0;0;45;24457;4,00;C.jejuni_C.coli;4,000;4,0
Florfenicol;0;0;0;0;16;38;53;174;5977;13061;1988;249;30;6;1;0;0;0;0;20;21593;4,00;C.jejuni_C.coli;NA;NA
Gentamicin;0;0;0;2;33;141;1688;6829;14541;2346;108;12;5;0;5;62;0;0;1;41;25773;1,00;C.jejuni_C.coli;NA;NA
Imipenem;0;0;0;2;33;87;53;20;3;1;0;0;0;0;0;0;0;0;0;1;199;NA;C.jejuni_C.coli;NA;NA
Nalidixic acid;0;0;0;0;0;1;1;2;40;406;1015;7483;2334;423;101;260;1907;444;418;52;14835;16,00;C.jejuni_C.coli;NA;NA
Streptomycin;0;0;0;0;0;0;0;7;229;634;56;4;2;5;2;5;6;2;0;14;952;4,00;C.jejuni_C.coli;NA;NA
Telithromycin;0;0;0;19;14;26;309;3282;9251;6288;1977;217;73;137;0;0;0;0;0;20;21593;4,00;C.jejuni_C.coli;NA;NA
Tetracycline;0;0;0;0;0;1061;4687;3542;1251;552;127;68;328;407;1492;3782;4981;57;31;33;22366;1,00;C.jejuni_C.coli;2,000;2,0
