Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;1;28;371;617;139;38;26;19;4;0;1;0;6;1244;8,00;Enterobacterales;8,000;8,000
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;0;16;18;159;139;154;97;53;70;145;7;116;28;4;1002;NA;Enterobacterales;NA;NA
Aztreonam;0;0;0;0;13;20;9;5;1;2;1;2;0;2;8;3;0;0;0;2;66;NA;Enterobacterales;1,000;4,000
Cefadroxil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefalexin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefalothin;0;0;0;0;0;0;0;0;0;2;1;2;4;3;0;0;0;0;5;1;17;NA;Enterobacterales;NA;NA
Cefazolin;0;0;0;0;0;0;0;0;0;1;9;2;11;8;9;8;23;0;8;3;79;NA;Enterobacterales;0,001;4,000
Cefepime;0;0;0;2;17;68;1;9;7;20;7;1;6;1;2;0;0;0;0;1;141;NA;Enterobacterales;1,000;4,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Cefixime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Cefotaxime;0;0;0;0;1;3;42;5;5;2;3;4;3;18;18;5;1;0;0;3;110;0,50;Enterobacterales;1,000;2,000
Cefoxitin;0;0;0;0;0;0;0;0;2;8;24;25;23;30;86;782;29;0;0;3;1009;NA;Enterobacterales;NA;NA
Cefpodoxime;0;0;0;0;0;0;1;28;31;203;251;67;11;4;3;205;8;0;30;3;842;NA;Enterobacterales;1,000;1,000
Cefpodoxime-clavulanic acid;0;0;0;0;0;0;0;22;17;76;114;50;18;6;3;115;0;0;29;1;450;NA;Enterobacterales;NA;NA
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,500;0,500
Ceftazidime;0;0;0;0;1;10;9;86;41;29;15;11;11;15;36;30;6;0;0;3;300;1,00;Enterobacterales;1,000;4,000
Ceftazidime-avibactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ceftibuten;0;0;0;0;4;13;8;43;61;26;8;2;2;91;0;0;0;3;0;3;261;NA;Enterobacterales;1,000;1,000
Ceftobiprole;0;0;0;10;60;143;12;9;29;29;20;3;0;17;3;0;0;0;0;8;335;NA;Enterobacterales;0,250;0,250
Ceftolozane;0;0;0;0;0;0;7;69;31;3;1;2;18;40;28;19;0;0;0;4;218;1,00;Enterobacterales;NA;NA
Ceftolozane-tazobactam;0;0;0;0;0;5;86;101;26;16;15;40;30;30;16;13;0;0;0;6;378;1,00;Enterobacterales;2,000;2,000
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;2,000
Cefuroxime;0;0;0;0;0;0;1;0;43;43;410;624;199;79;399;30;223;12;31;8;2094;8,00;Enterobacterales;0,001;8,000
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ciprofloxacin;0;0;1;8;3;1;2;4;0;1;3;0;0;0;1;0;0;0;0;1;24;NA;Enterobacterales;0,250;0,500
Colistin;0;0;0;0;0;0;1;20;3;0;0;0;0;0;0;0;0;0;0;1;24;NA;Enterobacterales;2,000;2,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,125;0,125
Doripenem;0;0;1;5;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;NA;Enterobacterales;1,000;2,000
Doxycycline;0;0;0;0;0;0;0;1;8;73;133;53;18;49;20;1;0;0;0;3;356;8,00;Enterobacterales;NA;NA
