Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;0;0;25;70;11;2;4;1;1;1;0;0;0;0;0;0;0;1;115;NA;Anaerobes,_Grampositive;4,00;8,0
Amoxicillin-clavulanic acid (fixed);0;0;0;0;24;49;5;2;2;2;0;0;0;0;0;0;0;0;0;1;84;NA;Anaerobes,_Grampositive;NA;NA
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;4,00;8,0
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;4,00;8,0
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;4,00;8,0
Benzylpenicillin;0;0;0;12;22;23;11;6;2;0;1;0;0;0;0;0;0;0;0;3;77;0,125;Anaerobes,_Grampositive;0,25;0,5
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;8,00;8,0
Ciprofloxacin;0;0;0;0;0;1;2;12;4;2;1;1;0;0;0;0;0;0;0;1;23;NA;Anaerobes,_Grampositive;NA;NA
Clarithromycin;0;0;0;0;0;0;1;7;2;0;0;0;0;0;0;0;0;0;0;1;10;NA;Anaerobes,_Grampositive;NA;NA
Clindamycin;0;0;0;0;18;36;10;9;15;29;21;4;3;1;0;1;0;1;0;3;148;NA;Anaerobes,_Grampositive;4,00;4,0
Dalbavancin;0;0;0;3;7;8;2;0;0;0;0;0;0;0;0;0;0;0;0;1;20;NA;Anaerobes,_Grampositive;NA;NA
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;1,00;1,0
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;0,50;0,5
Erythromycin;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;1;10;NA;Anaerobes,_Grampositive;NA;NA
Imipenem;0;0;0;11;20;33;18;12;6;0;0;0;0;0;0;0;0;0;0;1;100;NA;Anaerobes,_Grampositive;2,00;4,0
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;2,00;2,0
Meropenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;2,00;8,0
Metronidazole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;4,00;4,0
Moxifloxacin;0;0;0;0;0;0;4;49;56;5;2;0;0;0;0;0;0;0;0;2;116;NA;Anaerobes,_Grampositive;NA;NA
Piperacillin;0;0;12;23;35;27;18;10;4;3;2;2;1;1;0;0;0;0;0;4;138;NA;Anaerobes,_Grampositive;8,00;16,0
Piperacillin-tazobactam;0;0;11;24;36;33;18;8;3;7;1;1;2;0;0;0;0;0;0;3;144;0,125;Anaerobes,_Grampositive;8,00;16,0
Roxithromycin;0;0;0;0;0;0;0;0;0;3;7;0;0;0;0;0;0;0;0;1;10;NA;Anaerobes,_Grampositive;NA;NA
Sparfloxacin;0;0;0;0;3;7;34;46;11;0;0;0;0;0;0;0;0;0;0;2;101;NA;Anaerobes,_Grampositive;NA;NA
Telithromycin;0;0;0;0;2;7;1;0;0;0;0;0;0;0;0;0;0;0;0;1;10;NA;Anaerobes,_Grampositive;NA;NA
Ticarcillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;8,00;16,0
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;8,00;16,0
Vancomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;2,00;2,0
