Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Benzylpenicillin;0;0;0;1;0;1;0;1;1;0;1;4;9;1;11;48;0;0;0;2;78;NA;Corynebacterium;0,125;0,125
Cefepime;0;0;0;0;0;0;2;1;2;0;5;4;0;6;46;0;0;0;0;1;66;NA;Corynebacterium;NA;NA
Ciprofloxacin;0;0;0;0;0;0;0;1;0;0;0;0;1;0;10;0;0;0;0;1;12;NA;Corynebacterium;0,001;1,000
Clindamycin;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;0;0;0;1;12;NA;Corynebacterium;0,500;0,500
Linezolid;0;0;0;0;0;0;0;0;9;3;0;0;0;0;0;0;0;0;0;1;12;NA;Corynebacterium;2,000;2,000
Moxifloxacin;0;0;0;0;0;1;0;0;0;0;1;1;3;2;4;0;0;0;0;1;12;NA;Corynebacterium;0,500;0,500
Oxacillin;0;0;0;0;0;0;0;1;0;1;0;14;2;42;0;0;0;0;0;1;60;NA;Corynebacterium;NA;NA
Piperacillin;0;0;0;0;0;4;0;3;4;2;0;0;0;47;0;0;0;0;0;1;60;NA;Corynebacterium;NA;NA
Rifampicin;0;0;6;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;1;12;NA;Corynebacterium;0,060;0,500
Tetracycline;0;0;0;0;0;0;0;0;6;5;0;1;0;0;0;0;0;0;0;1;12;NA;Corynebacterium;2,000;2,000
Trimethoprim-sulfamethoxazole;0;0;0;0;0;0;0;0;0;0;1;2;0;0;9;0;0;0;0;1;12;NA;Corynebacterium;NA;NA
Vancomycin;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;1;12;NA;Corynebacterium;2,000;2,000
