Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Benzylpenicillin;0;0;10;0;0;0;2;2;3;5;1;1;1;4;30;0;0;0;0;5;59;NA;Corynebacterium;0,125;0,125
Ceftobiprole;0;0;0;0;0;36;5;2;1;3;2;1;2;25;0;0;0;0;0;2;77;NA;Corynebacterium;NA;NA
Ciprofloxacin;0;0;1;0;1;1;1;5;1;1;0;4;2;3;39;0;0;0;0;5;59;NA;Corynebacterium;0,001;1,000
Clindamycin;0;0;2;0;1;0;0;1;1;2;2;5;3;5;37;0;0;0;0;5;59;NA;Corynebacterium;0,500;0,500
Dalbavancin;0;0;0;0;1;1;15;24;20;5;0;0;0;0;0;0;0;0;0;1;66;NA;Corynebacterium;NA;NA
Linezolid;0;0;1;0;0;2;6;23;23;4;0;0;0;0;0;0;0;0;0;5;59;NA;Corynebacterium;2,000;2,000
Moxifloxacin;0;0;2;0;1;2;3;0;2;0;3;9;9;19;8;0;0;0;0;5;58;NA;Corynebacterium;0,500;0,500
Rifampicin;0;0;30;10;2;0;0;0;1;0;0;1;2;2;11;0;0;0;0;5;59;NA;Corynebacterium;0,060;0,500
Tetracycline;0;0;1;0;0;0;1;12;22;9;3;4;5;0;2;0;0;0;0;5;59;NA;Corynebacterium;2,000;2,000
Trimethoprim-sulfamethoxazole;0;0;1;0;0;0;1;2;1;3;4;10;15;4;18;0;0;0;0;5;59;NA;Corynebacterium;NA;NA
Vancomycin;0;0;1;1;0;0;0;11;22;0;0;0;0;0;0;0;0;0;0;3;35;NA;Corynebacterium;2,000;2,000
