Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Ampicillin;0;0;0;0;0;0;0;1;2;1;2;6;0;0;4;0;0;0;0;1;16;NA;Corynebacterium;NA;NA
Benzylpenicillin;0;0;0;0;0;0;0;4;5;6;1;6;1;0;5;0;0;0;0;2;28;NA;Corynebacterium;0,125;0,125
Cefazolin;0;0;0;0;0;0;0;1;2;0;2;7;0;0;4;0;0;0;0;1;16;NA;Corynebacterium;NA;NA
Cefuroxime;0;0;0;0;0;0;0;1;2;1;1;0;0;5;6;0;0;0;0;1;16;NA;Corynebacterium;NA;NA
Ciprofloxacin;0;0;0;0;0;0;2;1;0;0;0;0;1;1;23;0;0;0;0;2;28;NA;Corynebacterium;0,001;1,000
Clindamycin;0;0;0;0;0;0;0;0;0;1;1;0;0;1;11;0;0;0;14;2;28;NA;Corynebacterium;0,500;0,500
Doxycycline;0;0;0;0;0;0;4;0;0;1;0;2;9;0;0;0;0;0;0;1;16;NA;Corynebacterium;NA;NA
Levofloxacin;0;0;0;0;0;0;1;2;0;0;0;0;0;1;12;0;0;0;0;1;16;NA;Corynebacterium;NA;NA
Linezolid;0;0;0;0;0;0;0;7;5;0;0;0;0;0;0;0;0;0;0;1;12;NA;Corynebacterium;2,000;2,000
Moxifloxacin;0;0;0;0;0;0;2;1;0;0;0;3;6;12;4;0;0;0;0;2;28;NA;Corynebacterium;0,500;0,500
Rifampicin;0;0;6;12;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;2;28;NA;Corynebacterium;0,060;0,500
Tetracycline;0;0;0;0;0;0;0;2;2;0;0;1;5;0;2;0;0;0;0;1;12;NA;Corynebacterium;2,000;2,000
Trimethoprim-sulfamethoxazole;0;0;0;0;0;0;0;0;0;3;1;1;12;2;7;2;0;0;0;2;28;NA;Corynebacterium;NA;NA
Vancomycin;0;0;0;0;0;0;0;19;9;0;0;0;0;0;0;0;0;0;0;2;28;NA;Corynebacterium;2,000;2,000
