Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;2;9;70;425;2108;3095;475;177;202;93;13;0;2;4;15;6675;8,000;Enterobacterales;8,000;8,000
Amoxicillin;0;0;0;0;0;0;0;0;0;1;3;12;13;27;62;99;147;95;365;6;824;NA;Enterobacterales;8,000;8,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin;0;0;0;0;0;0;0;0;0;0;6;9;21;30;42;159;14;8;11;2;300;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;0;16;5;99;184;395;514;534;544;874;78;384;55;4;3682;NA;Enterobacterales;NA;NA
Aztreonam;0;0;0;0;11;42;52;20;11;5;10;1;11;12;25;44;1;0;0;3;245;NA;Enterobacterales;1,000;4,000
Cefadroxil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefalexin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefalothin;0;0;0;0;0;0;0;0;0;0;7;4;4;5;23;21;75;4;45;2;188;NA;Enterobacterales;NA;NA
Cefazolin;0;0;0;0;0;0;0;0;0;0;6;1;1;7;7;2;52;6;18;3;100;NA;Enterobacterales;0,001;4,000
Cefepime;8;22;175;215;172;214;3776;422;347;346;441;387;239;111;179;14;2;4;0;20;7074;0,125;Enterobacterales;1,000;4,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Cefixime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Cefoperazone;0;0;0;0;0;1;5;14;17;8;6;1;4;7;7;5;11;34;0;1;120;NA;Enterobacterales;NA;NA
Cefotaxime;0;0;1;6;19;64;213;189;129;44;26;19;35;53;90;59;56;58;12;8;1073;0,500;Enterobacterales;1,000;2,000
Cefoxitin;0;0;0;0;0;0;1;2;8;9;37;89;114;136;324;5479;229;816;0;19;7244;NA;Enterobacterales;NA;NA
Cefpodoxime;0;0;0;0;0;0;3;210;290;636;349;145;74;51;48;640;64;0;56;3;2566;NA;Enterobacterales;1,000;1,000
Ceftaroline;0;0;0;0;0;0;1;1;1;2;0;1;0;0;0;2;0;0;0;1;8;NA;Enterobacterales;0,500;0,500
Ceftazidime;0;3;19;29;145;438;474;728;456;206;105;110;154;186;196;281;123;84;64;56;3801;1,000;Enterobacterales;1,000;4,000
Ceftazidime-avibactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ceftibuten;0;0;0;2;3;49;54;136;126;73;31;16;25;171;3;1;1;12;0;3;703;NA;Enterobacterales;1,000;1,000
Ceftobiprole;0;0;0;5;237;757;286;97;41;44;60;120;86;105;37;93;21;0;0;9;1989;0,250;Enterobacterales;0,250;0,250
Ceftolozane;0;0;0;0;0;0;24;305;168;38;40;31;40;77;70;104;0;0;0;4;897;1,000;Enterobacterales;NA;NA
Ceftolozane-tazobactam;0;0;0;0;1;4;123;531;217;87;65;96;104;87;50;61;0;0;0;8;1426;1,000;Enterobacterales;2,000;2,000
Ceftriaxone;0;0;0;0;0;16;24;14;16;5;2;4;4;11;10;6;13;28;0;2;153;NA;Enterobacterales;1,000;2,000
Cefuroxime;0;0;0;0;0;0;4;2;31;107;252;1056;2693;1414;2855;175;864;425;84;16;9962;16,000;Enterobacterales;0,001;8,000
Chloramphenicol;0;0;0;0;0;0;0;0;0;0;11;34;51;11;1;0;1;1;0;1;110;NA;Enterobacterales;8,000;8,000
Ciprofloxacin;236;423;330;434;419;207;89;96;80;60;26;36;28;25;33;7;10;2;3;53;2544;0,125;Enterobacterales;0,250;0,500
Colistin;0;0;0;0;0;0;16;255;398;76;15;6;9;17;23;8;22;2;2;6;849;2,000;Enterobacterales;2,000;2,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,125;0,125
Doripenem;0;0;1;149;606;322;201;71;20;4;1;1;0;0;0;0;0;0;0;5;1376;0,125;Enterobacterales;1,000;2,000
Doxycycline;0;0;0;0;0;0;4;4;8;81;458;271;47;70;11;4;0;0;0;3;958;8,000;Enterobacterales;NA;NA
Eravacycline;0;0;0;0;0;2;37;479;725;98;36;28;7;0;0;0;0;0;0;4;1412;2,000;Enterobacterales;0,500;0,500
Ertapenem;0;0;41;160;110;64;49;39;30;72;46;18;1;0;0;0;0;0;0;4;630;NA;Enterobacterales;0,500;0,500
Fosfomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;32,000;32,000
Gentamicin;1;0;1;3;26;125;324;1202;3647;1384;160;87;124;92;19;103;50;52;60;38;7460;2,000;Enterobacterales;2,000;2,000
Imipenem;0;4;8;41;150;517;1551;3576;4033;1137;340;69;28;27;11;1;0;0;59;37;11552;1,000;Enterobacterales;2,000;4,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Kanamycin;0;0;0;0;0;0;1;0;0;7;102;40;4;6;4;1;9;16;0;1;190;NA;Enterobacterales;NA;NA
Levofloxacin;0;0;0;2;264;466;70;24;63;38;22;40;24;6;14;0;1;0;0;4;1034;NA;Enterobacterales;0,500;1,000
Loracarbef;0;0;0;0;0;0;0;1;3;11;17;14;6;3;0;1;0;0;22;1;78;NA;Enterobacterales;NA;NA
Mecillinam;0;0;0;0;0;0;0;2;3;19;16;6;0;0;0;1;0;0;2;1;49;NA;Enterobacterales;8,000;8,000
Meropenem;0;0;60;258;569;4476;854;320;144;68;31;15;14;13;2;1;0;0;0;5;6825;0,250;Enterobacterales;2,000;8,000
Meropenem-vaborbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Minocycline;0;0;0;0;0;0;0;0;6;17;185;366;128;39;35;23;0;0;0;5;799;16,000;Enterobacterales;NA;NA
Moxifloxacin;0;0;0;0;91;500;195;31;63;40;17;30;39;10;16;1;1;0;0;4;1034;0,250;Enterobacterales;0,250;0,250
Nalidixic acid;0;0;0;0;0;0;0;0;0;3;86;163;33;11;4;3;4;37;0;2;344;NA;Enterobacterales;NA;NA
Netilmicin;0;0;0;0;0;0;1;79;68;8;4;2;1;6;6;7;4;4;0;1;190;NA;Enterobacterales;NA;NA
Nitrofurantoin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;64,000;64,000
Nitroxoline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Norfloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,500;0,500
Ofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,250;0,500
Piperacillin;0;0;0;0;0;0;1;0;10;358;1313;521;166;120;123;181;258;402;102;8;3555;NA;Enterobacterales;8,000;8,000
Piperacillin-tazobactam;0;0;0;2;9;15;42;166;672;1607;4117;1715;728;557;682;807;986;168;97;59;12370;8,000;Enterobacterales;8,000;8,000
Streptomycin;0;0;0;0;0;0;0;0;0;1;35;40;8;4;1;1;0;2;0;1;92;NA;Enterobacterales;NA;NA
Sulbactam;0;0;0;0;0;0;0;0;0;1;1;0;0;1;13;65;23;3;6;1;113;NA;Enterobacterales;NA;NA
Sulfamethoxazole;0;0;0;0;0;0;0;0;0;0;2;7;28;38;15;7;2;0;5;1;104;NA;Enterobacterales;NA;NA
Temocillin;0;0;0;0;0;0;0;0;2;10;126;81;48;50;15;1;0;0;0;4;333;NA;Enterobacterales;0,001;16,000
Tetracycline;0;0;0;0;0;0;0;0;5;107;397;377;81;26;46;12;9;39;0;7;1099;16,000;Enterobacterales;NA;NA
Ticarcillin;0;0;0;0;0;0;0;0;0;183;905;1036;277;1115;120;189;430;1503;0;1;5758;NA;Enterobacterales;8,000;16,000
Ticarcillin-clavulanic acid;0;0;0;0;0;0;0;0;0;631;2096;1860;617;1444;459;655;1077;2011;0;3;10850;NA;Enterobacterales;NA;NA
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;16,000
Tigecycline;0;0;28;26;45;166;1424;12950;31093;9602;4105;2187;650;27;12;5;0;0;0;35;62320;2,000;Enterobacterales;0,500;0,500
Tobramycin;0;0;0;0;0;9;38;549;4270;2360;395;93;121;241;56;28;4;2;63;6;8229;2,000;Enterobacterales;2,000;2,000
Trimethoprim;0;0;0;0;0;2;16;311;661;324;78;40;28;103;0;0;0;0;69;3;1632;NA;Enterobacterales;4,000;4,000
Trimethoprim-sulfamethoxazole;0;0;0;0;4;542;1181;640;175;49;30;20;5;116;63;31;0;37;0;5;2893;0,500;Enterobacterales;2,000;4,000
