Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;8,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;8,000
Ampicillin;0;0;0;0;0;0;1;0;4;33;21;2;1;11;31;0;0;0;0;1;104;NA;Enterococcus;4,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;8,000
Benzylpenicillin;0;0;0;0;0;0;0;1;1;15;28;10;3;2;14;29;0;0;0;1;103;NA;Enterococcus;NA;NA
Ceftobiprole;0;0;0;0;0;1;3;16;12;2;2;1;6;1;0;0;0;0;0;2;44;NA;Enterococcus;NA;NA
Ciprofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;4,000
Doripenem;0;0;0;0;0;1;0;0;0;5;10;11;1;3;0;0;0;0;0;1;31;NA;Enterococcus;NA;NA
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;0,125;0,125
Imipenem;0;0;0;0;0;1;0;9;15;26;5;9;2;37;0;0;0;0;0;1;104;NA;Enterococcus;0,001;4,000
Levofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;4,000
Linezolid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;4,000
Meropenem;0;0;0;0;0;0;0;0;0;1;0;2;12;9;3;0;0;0;0;1;27;NA;Enterococcus;NA;NA
Nitrofurantoin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;64,000;64,000
Quinupristin-dalfopristin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;1,000;4,000
Teicoplanin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;2,000;2,000
Tigecycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;0,250;0,250
Vancomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;4,000
