Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;0;0;0;1;1;1;3;16;5;46;22;3;2;98;NA;Enterococcus;NA;NA
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;8,000
Amoxicillin-clavulanic acid (fixed);0;0;0;0;0;0;22;28;522;766;328;168;19;11;2;0;0;0;177;1;2043;NA;Enterococcus;NA;NA
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;8,000
Ampicillin;0;0;0;0;1;3;23;207;1018;5862;5703;619;114;34;49;7;2;1;0;26;13643;4,000;Enterococcus;4,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;8,000
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;1;39;290;2173;1165;138;11;10;13;16;0;0;179;4;4035;4,000;Enterococcus;NA;NA
Avilamycin;0;0;0;0;0;0;0;0;2;94;840;209;28;4;5;1;0;0;0;15;1183;8,000;Enterococcus;NA;NA
Bacitracin;0;0;0;0;0;0;0;0;0;0;3;12;123;33;14;20;58;10;42;3;315;32,000;Enterococcus;NA;NA
Benzylpenicillin;0;0;0;7;3;3;8;38;81;605;7278;11939;859;237;54;45;0;1;0;18;21158;16,000;Enterococcus;NA;NA
Cefalothin;0;0;0;0;0;0;0;0;0;0;0;1;2;12;16;5;2;5;0;1;43;NA;Enterococcus;NA;NA
Cefepime;0;0;0;0;0;0;5;10;2;3;9;40;96;830;7441;62;26;0;0;2;8524;NA;Enterococcus;NA;NA
Ceftibuten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;1;43;NA;Enterococcus;NA;NA
Ceftobiprole;0;0;0;0;2;67;682;1057;1937;635;641;229;129;82;1;3;0;0;0;13;5465;NA;Enterococcus;NA;NA
Ceftriaxone;0;0;0;0;0;0;0;6;36;15;32;33;56;68;200;7868;0;0;0;1;8314;NA;Enterococcus;NA;NA
Chloramphenicol;0;0;0;0;0;0;0;0;0;1;112;5900;18025;405;96;208;10;0;0;15;24757;32,000;Enterococcus;NA;NA
Ciprofloxacin;0;0;0;2;9;3;34;231;3001;16971;6470;313;334;232;341;593;239;27;180;20;28980;4,000;Enterococcus;4,000;4,000
Clarithromycin;0;0;0;0;0;5;1;2;17;4;0;0;0;0;0;0;0;71;0;1;100;NA;Enterococcus;NA;NA
Clinafloxacin;0;0;0;0;2;2;119;361;95;10;46;108;34;33;9;0;0;0;181;3;1000;1,000;Enterococcus;NA;NA
Clindamycin;0;0;0;0;0;0;2;1;4;11;12;37;109;188;491;2;0;0;5;3;862;NA;Enterococcus;NA;NA
Dalbavancin;0;0;0;113;1231;623;58;3;2;3;7;12;10;53;0;0;0;0;0;1;2115;NA;Enterococcus;NA;NA
Daptomycin;0;0;0;2;0;9;99;524;3794;10066;5148;525;16;3;7;0;0;0;0;16;20193;4,000;Enterococcus;NA;NA
Doripenem;0;0;0;0;1;13;1;14;74;259;1647;4186;1320;338;2;0;1;0;0;13;7856;16,000;Enterococcus;NA;NA
Doxycycline;0;0;0;0;0;4;86;221;61;8;5;57;329;400;183;0;1;0;0;5;1355;0,500;Enterococcus;NA;NA
Eravacycline;0;0;5;8;373;863;108;3;4;0;0;0;0;0;0;0;0;0;0;5;1364;0,125;Enterococcus;0,125;0,125
Ertapenem;0;0;0;0;0;0;0;0;2;3;25;174;204;55;17;0;0;0;0;4;480;NA;Enterococcus;NA;NA
Erythromycin;0;0;0;0;1;12;8;32;205;487;485;322;120;486;20;252;57;134;350;22;2971;4,000;Enterococcus;NA;NA
Florfenicol;0;0;0;0;0;0;0;0;0;0;284;264;1;0;0;0;0;0;0;5;549;8,000;Enterococcus;NA;NA
