Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;0;0;0;0;1;2;6;10;25;8;0;0;1;52;NA;Enterococcus;NA;NA
Amoxicillin;0;0;0;0;0;9;26;130;281;235;937;431;21;7;14;0;0;0;0;9;2091;NA;Enterococcus;4,000;8,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;8,000
Ampicillin;0;0;0;0;0;0;10;138;251;605;675;423;163;167;3442;155;63;72;0;20;6164;8,000;Enterococcus;4,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;8,000
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;0;3;10;11;13;10;9;39;92;36;0;0;0;1;223;NA;Enterococcus;NA;NA
Avilamycin;0;0;0;0;0;0;0;0;14;166;1052;1545;467;51;16;79;453;0;0;26;3843;16,000;Enterococcus;NA;NA
Bacitracin;0;0;0;0;0;0;0;0;0;0;17;129;256;135;80;147;211;1658;156;16;2789;32,000;Enterococcus;NA;NA
Benzylpenicillin;0;0;0;2;5;7;9;316;115;189;546;1624;700;382;460;3026;88;127;42;11;7638;16,000;Enterococcus;NA;NA
Cefepime;0;0;0;0;0;0;6;10;2;5;14;23;14;15;3377;0;0;0;0;1;3466;NA;Enterococcus;NA;NA
Ceftobiprole;0;0;0;0;0;0;4;7;8;36;114;59;23;1886;160;124;7;0;0;12;2428;NA;Enterococcus;NA;NA
Ceftriaxone;0;0;0;0;0;0;0;6;13;11;18;20;14;23;26;3334;0;0;0;1;3465;NA;Enterococcus;NA;NA
Chloramphenicol;0;0;0;0;0;0;0;0;0;0;136;4691;7310;758;138;3;3;0;0;28;13039;32,000;Enterococcus;NA;NA
Ciprofloxacin;0;0;0;0;0;0;12;197;1061;3211;4426;3414;630;25;56;198;35;243;0;28;13508;8,000;Enterococcus;4,000;4,000
