Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;8,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;8,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;8,000
Avilamycin;0;0;0;0;0;0;0;0;6;62;151;271;67;11;0;0;0;0;0;8;568;16;Enterococcus;NA;NA
Chloramphenicol;0;0;0;0;0;0;0;0;0;0;21;104;33;0;0;0;0;0;0;2;158;NA;Enterococcus;NA;NA
Ciprofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;4,000
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;0,125;0,125
Erythromycin;0;0;0;0;0;0;0;97;403;9;8;2;5;0;0;42;2;0;0;8;568;2;Enterococcus;NA;NA
Gentamicin;0;0;0;0;0;0;0;0;1;4;50;98;234;151;28;0;0;0;2;8;568;32;Enterococcus;NA;NA
Imipenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;0,001;4,000
Levofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;4,000
Linezolid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;4,000
Neomycin;0;0;0;0;0;0;0;0;0;0;15;49;73;153;145;104;26;0;3;8;568;NA;Enterococcus;NA;NA
Nitrofurantoin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;64,000;64,000
Quinupristin-dalfopristin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;1,000;4,000
Streptomycin;0;0;0;0;0;0;0;0;0;0;0;1;0;21;154;315;72;0;5;8;568;128;Enterococcus;NA;NA
Teicoplanin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;2,000;2,000
Tetracycline;0;0;0;0;0;0;0;1;125;263;125;5;0;2;10;34;3;0;0;8;568;4;Enterococcus;NA;NA
Tigecycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;0,250;0,250
Vancomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterococcus;4,000;4,000
Virginiamycin;0;0;0;0;0;0;0;0;162;55;230;40;60;15;6;0;0;0;0;8;568;NA;Enterococcus;NA;NA
