Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;2;1;0;1;28;329;4723;15660;6316;1134;191;56;36;4;5;45;21;28531;8,000;Enterobacterales;8,000;8,000
Amoxicillin;0;0;0;0;0;0;0;0;9;94;732;1599;498;23;6;689;611;53;275;18;4589;8,000;Enterobacterales;8,000;8,000
Amoxicillin-clavulanic acid (fixed);0;0;0;0;0;0;0;0;0;419;2121;3307;1787;997;497;309;246;395;81;4;10159;8,000;Enterobacterales;NA;NA
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin;0;0;0;0;0;0;6;21;152;5308;30179;28801;4002;749;16843;11012;1527;6687;196;53;105483;8,000;Enterobacterales;8,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam (fixed);0;0;0;0;0;0;0;0;2;20;12;1;0;2;3;3;7;0;0;1;50;NA;Enterobacterales;NA;NA
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;6;11;71;393;2935;1949;744;1998;1605;1085;0;0;0;2;10797;NA;Enterobacterales;NA;NA
Azithromycin;0;0;0;0;0;0;0;3;36;269;2762;6548;907;31;28;0;0;0;0;3;10584;16,000;Enterobacterales;NA;NA
Aztreonam;0;0;0;4;1103;1085;613;132;36;17;22;37;25;21;36;58;0;3;0;7;3192;0,250;Enterobacterales;1,000;4,000
Cefaclor;0;0;0;0;0;0;0;2;31;60;25;22;3;0;4;2;0;1;0;1;150;NA;Enterobacterales;NA;NA
Cefadroxil;0;0;0;0;0;0;0;0;0;0;0;8;27;7;2;1;3;2;0;1;50;NA;Enterobacterales;16,000;16,000
Cefalexin;0;0;0;0;0;0;0;0;1;0;7;77;18;2;0;1;3;5;0;1;114;NA;Enterobacterales;16,000;16,000
Cefalothin;0;0;0;0;0;0;0;0;1;4;110;598;1800;1060;181;38;51;10;8;14;3861;32,000;Enterobacterales;NA;NA
Cefazolin;0;0;0;0;0;0;0;0;37;131;67;27;12;5;4;1;1;0;0;4;285;4,000;Enterobacterales;0,001;4,000
Cefepime;0;0;113;245;1061;1442;432;155;109;63;41;72;58;53;67;56;34;43;0;48;4044;0,250;Enterobacterales;1,000;4,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Cefixime;0;0;3;4;22;101;297;703;676;264;65;43;41;128;6;5;1;1;1;5;2361;2,000;Enterobacterales;1,000;1,000
Cefoperazone;0;0;0;0;0;22;122;165;50;59;26;17;12;26;6;13;20;159;0;3;697;1,000;Enterobacterales;NA;NA
Cefotaxime;0;5;40;263;1638;4916;2338;469;188;81;52;37;38;50;68;131;22;33;28;41;10397;0,250;Enterobacterales;1,000;2,000
Cefotaxime-clavulanate;0;0;15;128;127;279;120;26;6;7;6;2;2;2;12;0;0;1;0;14;733;0,250;Enterobacterales;NA;NA
Cefoxitin;0;0;0;0;0;0;3;76;1450;4920;28297;41022;12510;2984;2029;1881;22;19;0;30;95213;8,000;Enterobacterales;NA;NA
Cefpirome;0;0;1;234;1503;2359;1023;268;88;47;46;20;9;14;16;9;86;5;0;7;5728;0,250;Enterobacterales;NA;NA
Cefpodoxime;0;0;0;0;0;0;58;553;684;154;46;21;14;11;11;13;114;0;0;2;1679;NA;Enterobacterales;1,000;1,000
Cefquinome;0;0;0;0;0;275;28;2;2;1;0;0;0;0;0;0;0;0;0;2;308;NA;Enterobacterales;NA;NA
Ceftaroline;0;0;1;0;102;272;167;87;52;28;18;11;13;4;62;1;11;0;0;3;829;0,500;Enterobacterales;0,500;0,500
Ceftazidime;0;0;21;53;243;1671;5422;5294;1229;329;201;141;137;146;141;79;25;25;5;82;15162;0,500;Enterobacterales;1,000;4,000
Ceftazidime-avibactam;0;0;0;0;0;10;29;25;23;23;32;16;6;3;0;2;10;0;0;1;179;NA;Enterobacterales;8,000;8,000
