Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;0;5;7;184;670;830;98;5;0;0;0;0;2;1799;NA;H.influenzae;NA;NA
Amoxicillin;0;0;0;0;9;36;698;7885;11398;2920;1373;520;459;742;2269;195;46;8;1;18;28559;2,000;H.influenzae;2,000;2,000
Amoxicillin-clavulanic acid (fixed);0;0;0;0;0;0;29;135;294;126;77;21;14;2;5;0;0;0;254;4;957;2,000;H.influenzae;NA;NA
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;2,000;2,000
Ampicillin;0;0;0;2;19;159;2570;6965;12215;2773;1294;610;3178;433;686;437;19;17;270;21;31647;1,000;H.influenzae;1,000;1,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;1,000;1,000
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;11;189;31;68;54;30;12;1;0;0;0;0;0;3;396;1,000;H.influenzae;NA;NA
Azithromycin;0;0;0;0;0;64;299;887;5442;15658;8888;1181;118;35;37;8;6;9;9;8;32641;4,000;H.influenzae;NA;NA
Benzylpenicillin;0;0;0;1;66;117;1320;7470;4237;1668;1418;419;3678;23;96;240;0;13;0;4;20766;1,000;H.influenzae;NA;NA
Cefaclor;0;0;0;0;0;0;2;145;843;3648;9436;8396;3867;1481;497;138;18;1;0;15;28472;8,000;H.influenzae;NA;NA
Cefadroxil;0;0;0;0;0;0;0;0;0;0;0;0;2;12;17;6;1;3;0;1;41;NA;H.influenzae;NA;NA
