Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;0;0;0;0;63;148;133;21;8;3;5;7;28;0;0;0;0;1;416;NA;H.influenzae;2,000;2,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;2,000;2,000
Ampicillin;0;0;0;0;0;0;10;10;54;18;23;1;14;1;8;0;0;0;0;1;139;NA;H.influenzae;1,000;1,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;1,000;1,000
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;0;8;2;1;2;0;0;0;0;0;0;0;0;1;13;NA;H.influenzae;NA;NA
Azithromycin;0;0;0;0;0;6;35;83;139;113;37;3;0;0;0;0;0;0;0;1;416;NA;H.influenzae;NA;NA
Benzylpenicillin;0;0;0;0;7;6;8;5;20;25;21;12;25;0;0;0;0;0;0;1;129;NA;H.influenzae;NA;NA
Cefaclor;0;0;0;0;0;0;0;10;87;92;148;81;29;13;2;0;0;0;0;2;462;NA;H.influenzae;NA;NA
Cefdinir;0;0;0;0;0;133;162;74;28;16;2;1;0;0;0;0;0;0;0;1;416;NA;H.influenzae;NA;NA
Cefepime;0;0;0;0;0;91;80;10;7;3;6;4;0;0;0;0;0;0;0;1;201;NA;H.influenzae;0,250;0,250
Cefixime;0;0;163;139;70;24;10;6;3;1;0;0;0;0;0;0;0;0;0;1;416;NA;H.influenzae;0,125;0,125
Cefotaxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;0,125;0,125
Cefpodoxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;0,250;0,250
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;0,032;0,032
Ceftibuten;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;1,000;1,000
Ceftolozane-tazobactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;0,500;0,500
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;0,125;0,125
Cefuroxime;0;0;0;0;0;14;175;220;265;110;39;23;1;1;2;0;0;0;0;3;850;1;H.influenzae;1,000;2,000
Chloramphenicol;0;0;0;0;0;0;42;140;165;60;5;2;2;0;0;0;0;0;0;1;416;NA;H.influenzae;2,000;2,000
Ciprofloxacin;0;0;74;111;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;203;NA;H.influenzae;0,064;0,064
Clarithromycin;0;0;0;0;0;0;0;6;10;39;86;125;101;40;9;0;0;0;0;1;416;NA;H.influenzae;NA;NA
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;1,000;1,000
Doxycycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;1,000;2,000
Ertapenem;0;0;12;28;46;25;10;0;0;0;0;0;0;0;0;0;0;0;0;1;121;NA;H.influenzae;0,500;0,500
Erythromycin;0;0;0;0;0;0;0;3;22;84;127;135;38;7;0;0;0;0;0;1;416;NA;H.influenzae;NA;NA
Gatifloxacin;0;0;7;5;3;4;2;6;1;0;0;0;0;0;0;0;0;0;0;1;28;NA;H.influenzae;NA;NA
Imipenem;0;0;0;0;7;8;36;107;90;51;23;8;1;0;0;0;0;0;0;3;331;2;H.influenzae;2,000;2,000
Levofloxacin;0;0;63;187;128;52;24;3;1;2;1;1;1;0;0;0;0;0;0;2;463;NA;H.influenzae;0,064;0,064
Meropenem;0;0;1;1;5;61;3;3;1;0;0;0;0;0;0;0;0;0;0;1;75;NA;H.influenzae;2,000;2,000
Meropenem(meningitis);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;0,250;0,250
Minocycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;1,000;1,000
Moxifloxacin;0;0;12;48;75;129;112;86;26;5;3;1;0;0;0;0;0;0;0;2;497;NA;H.influenzae;0,125;0,125
Ofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;0,064;0,064
Piperacillin-tazobactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;0,250;0,250
Rifampicin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;1,000;1,000
Sparfloxacin;0;0;23;10;8;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;45;NA;H.influenzae;NA;NA
Tetracycline;0;0;0;0;0;0;38;100;200;41;3;9;14;9;2;0;0;0;0;1;416;NA;H.influenzae;1,000;2,000
Trimethoprim-sulfamethoxazole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H.influenzae;0,500;1,000
