Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;1,000
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;8,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;8,000
Ampicillin;0;0;0;0;0;0;0;0;0;0;3;12;4;11;23;2;1;0;0;1;56;NA;PK_PD_breakpoints;2,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;8,000
Aztreonam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;8,000
Benzylpenicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,250;2,000
Cefalothin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;51;0;0;1;56;NA;PK_PD_breakpoints;NA;NA
Cefazolin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;2,000
Cefepime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;8,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;2,000
Cefotaxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;2,000
Cefoxitin;0;0;0;0;0;0;0;0;0;0;3;3;3;2;1;1;0;0;0;2;13;NA;PK_PD_breakpoints;NA;NA
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,500;0,500
Ceftazidime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;8,000
Ceftazidime-avibactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;8,000;8,000
Ceftobiprole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;4,000
Ceftolozane-tazobactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;4,000
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;2,000
Cefuroxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;8,000
Chloramphenicol;0;0;0;0;0;0;0;0;0;0;5;21;26;3;0;1;0;0;0;1;56;NA;PK_PD_breakpoints;NA;NA
Ciprofloxacin;0;0;10;17;27;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;60;NA;PK_PD_breakpoints;0,250;0,500
Colistin;0;0;0;0;0;0;0;0;2;0;0;23;85;0;0;0;0;0;0;2;110;NA;PK_PD_breakpoints;NA;NA
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,250;0,250
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;2,000
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,500;0,500
Gentamicin;0;0;0;0;0;0;3;11;13;1;0;0;0;0;0;0;0;0;0;1;28;NA;PK_PD_breakpoints;0,500;0,500
Imipenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;4,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;2,000
Lefamulin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,250;0,250
Levofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,500;1,000
