Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;1;2;26;69;65;12;11;8;7;1;0;0;0;0;0;0;0;1;202;NA;K.kingae;0,125;0,125
Ampicillin;0;0;7;23;80;53;9;11;11;7;1;0;0;0;0;0;0;0;0;1;202;NA;K.kingae;0,064;0,064
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;K.kingae;0,250;0,250
Benzylpenicillin;0;0;77;71;15;2;15;11;5;5;1;0;0;0;0;0;0;0;0;1;202;NA;K.kingae;0,032;0,032
Cefotaxime;0;0;0;53;143;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;202;NA;K.kingae;0,125;0,125
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;K.kingae;0,064;0,064
Cefuroxime;0;0;0;0;6;76;119;1;0;0;0;0;0;0;0;0;0;0;0;1;202;NA;K.kingae;0,500;0,500
Ciprofloxacin;0;0;11;130;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;159;NA;K.kingae;0,064;0,064
Clarithromycin;0;0;0;0;6;32;79;76;9;0;0;0;0;0;0;0;0;0;0;1;202;NA;K.kingae;0,500;0,500
Doxycycline;0;0;0;0;0;45;127;17;8;5;0;0;0;0;0;0;0;0;0;1;202;NA;K.kingae;0,500;0,500
Erythromycin;0;0;0;0;0;43;47;96;15;1;0;0;0;0;0;0;0;0;0;1;202;NA;K.kingae;0,500;0,500
Levofloxacin;0;0;0;22;136;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;159;NA;K.kingae;0,125;0,125
Meropenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;K.kingae;0,032;0,032
Rifampicin;0;0;0;1;1;43;103;49;5;0;0;0;0;0;0;0;0;0;0;1;202;NA;K.kingae;0,500;0,500
Tetracycline;0;0;0;0;0;0;95;87;7;0;0;2;11;0;0;0;0;0;0;1;202;NA;K.kingae;0,500;0,500
Trimethoprim-sulfamethoxazole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;K.kingae;0,250;0,250
