Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;1;0;0;0;4;25;426;1101;396;180;147;88;21;4;1;4;14;2398;8,000;Enterobacterales;8,000;8,000
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin;0;0;0;0;0;0;0;1;0;3;22;55;71;124;1589;67;0;0;0;3;1932;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;0;0;1;23;24;67;109;133;98;139;26;73;46;2;739;NA;Enterobacterales;NA;NA
Aztreonam;0;0;0;0;1;10;6;3;3;4;0;1;5;15;23;6;2;0;0;2;79;NA;Enterobacterales;1,000;4,000
Cefadroxil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefalexin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefalothin;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;3;1;11;NA;Enterobacterales;NA;NA
Cefazolin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;0;0;1;9;NA;Enterobacterales;0,001;4,000
Cefepime;0;0;0;0;23;61;1247;191;118;119;77;53;38;18;25;2;2;2;0;3;1976;0,125;Enterobacterales;1,000;4,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Cefixime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Cefoperazone;0;0;0;0;0;0;0;4;3;3;1;0;0;1;3;0;5;16;0;1;36;NA;Enterobacterales;NA;NA
Cefotaxime;0;0;0;0;7;28;33;9;3;3;4;2;8;15;8;9;6;11;0;5;146;0,500;Enterobacterales;1,000;2,000
Cefoxitin;0;0;0;0;0;0;0;2;2;5;30;33;27;42;44;1646;58;155;0;20;2044;NA;Enterobacterales;NA;NA
Cefpodoxime;0;0;0;0;0;0;1;22;34;17;8;4;3;3;4;27;19;0;0;2;142;NA;Enterobacterales;1,000;1,000
Ceftaroline;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;2;0;0;0;1;5;NA;Enterobacterales;0,500;0,500
Ceftazidime;0;0;1;1;3;45;106;192;122;57;55;42;51;85;98;121;66;237;2;50;1284;1,000;Enterobacterales;1,000;4,000
Ceftazidime-avibactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ceftibuten;0;0;0;1;1;16;31;28;12;7;4;1;3;18;0;0;0;0;0;2;122;NA;Enterobacterales;1,000;1,000
Ceftobiprole;0;0;0;33;80;383;36;13;5;6;3;5;4;53;0;0;0;0;0;9;621;0,125;Enterobacterales;0,250;0,250
Ceftolozane;0;0;0;0;0;0;11;86;36;24;28;22;22;4;4;10;0;0;0;4;247;1,000;Enterobacterales;NA;NA
Ceftolozane-tazobactam;0;0;0;0;0;0;40;81;32;33;27;26;16;0;6;0;0;0;0;5;261;1,000;Enterobacterales;2,000;2,000
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;2,000
Cefuroxime;0;0;0;0;0;0;0;3;11;43;368;642;284;128;756;28;171;55;47;12;2536;8,000;Enterobacterales;0,001;8,000
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ciprofloxacin;0;0;52;150;244;112;96;32;49;47;53;26;43;46;45;217;3;13;0;48;1228;0,125;Enterobacterales;0,250;0,500
Colistin;0;0;0;0;0;4;4;53;138;44;10;3;3;3;0;0;4;0;0;5;266;2,000;Enterobacterales;2,000;2,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,125;0,125
Doripenem;0;0;0;3;22;27;11;2;0;0;0;0;0;0;0;0;0;0;0;3;65;0,125;Enterobacterales;1,000;2,000
Doxycycline;0;0;0;0;0;0;0;1;5;47;86;16;8;14;0;0;0;0;0;2;177;NA;Enterobacterales;NA;NA
Eravacycline;0;0;0;1;0;0;77;289;58;12;6;12;0;0;0;0;0;0;0;2;455;NA;Enterobacterales;0,500;0,500
Ertapenem;0;2;0;15;13;3;3;5;8;4;1;0;0;0;0;0;0;0;0;2;54;NA;Enterobacterales;0,500;0,500
Fosfomycin;0;0;0;0;0;0;0;0;0;0;1;2;7;19;32;13;6;0;0;1;80;NA;Enterobacterales;32,000;32,000
Gentamicin;0;0;0;0;1;0;10;133;747;603;161;47;32;10;3;12;2;16;48;17;1825;2,000;Enterobacterales;2,000;2,000
Imipenem;0;0;1;4;1;27;238;728;1132;992;360;76;35;23;17;14;2;1;49;26;3700;2,000;Enterobacterales;2,000;4,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Kanamycin;0;0;0;0;0;0;0;0;0;1;20;16;1;0;2;4;2;1;0;1;47;NA;Enterobacterales;NA;NA
Levofloxacin;0;0;0;0;29;97;16;12;14;12;3;3;10;7;4;0;0;0;0;3;207;NA;Enterobacterales;0,500;1,000
Loracarbef;0;0;0;0;0;0;0;0;2;7;6;1;1;1;0;0;0;0;1;1;19;NA;Enterobacterales;NA;NA
Mecillinam;0;0;0;0;0;0;0;0;0;5;7;10;6;1;0;0;0;0;3;1;32;NA;Enterobacterales;8,000;8,000
Meropenem;0;0;13;85;345;1706;309;68;27;13;28;25;14;5;2;6;1;1;0;14;2648;0,250;Enterobacterales;2,000;8,000
Meropenem-vaborbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Minocycline;0;0;0;0;0;0;0;1;1;7;62;30;4;0;4;1;0;0;0;5;110;16,000;Enterobacterales;NA;NA
Moxifloxacin;0;0;0;0;16;54;71;7;13;14;9;2;8;4;9;0;0;0;0;3;207;0,250;Enterobacterales;0,250;0,250
Nalidixic acid;0;0;0;0;0;0;0;0;0;0;14;22;2;3;3;1;1;7;0;1;53;NA;Enterobacterales;NA;NA
Netilmicin;0;0;0;0;0;0;0;7;22;9;1;0;2;2;3;0;1;0;0;1;47;NA;Enterobacterales;NA;NA
Nitrofurantoin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;64,000;64,000
Nitroxoline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Norfloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,500;0,500
Ofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,250;0,500
Piperacillin;0;0;0;0;0;0;0;0;6;21;215;157;32;31;37;51;52;58;52;6;712;NA;Enterobacterales;8,000;8,000
Piperacillin-tazobactam;0;0;0;0;2;0;2;5;44;243;1012;646;314;346;431;340;146;70;53;53;3654;8,000;Enterobacterales;8,000;8,000
Temocillin;0;0;0;0;0;0;0;0;0;0;10;37;79;84;44;3;0;0;0;4;257;32,000;Enterobacterales;0,001;16,000
Tetracycline;0;0;0;0;0;0;0;0;1;27;72;34;11;3;5;0;0;4;0;6;157;16,000;Enterobacterales;NA;NA
Ticarcillin;0;0;0;0;0;0;0;0;0;70;381;261;76;283;59;163;157;335;0;1;1785;NA;Enterobacterales;8,000;16,000
Ticarcillin-clavulanic acid;0;0;0;0;0;0;0;0;0;279;873;519;138;331;160;354;489;298;0;2;3441;NA;Enterobacterales;NA;NA
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;16,000
Tigecycline;0;0;4;10;12;74;1022;7418;7642;2162;996;552;105;5;1;0;0;0;0;31;20003;1,000;Enterobacterales;0,500;0,500
Tobramycin;0;0;0;0;0;0;10;130;1056;738;171;19;56;114;5;3;0;2;53;6;2357;2,000;Enterobacterales;2,000;2,000
Trimethoprim;0;0;0;0;0;0;3;72;130;42;32;14;4;23;0;0;0;0;54;2;374;NA;Enterobacterales;4,000;4,000
Trimethoprim-sulfamethoxazole;0;0;0;0;0;75;181;83;34;9;3;5;2;18;52;7;2;14;0;3;485;0,500;Enterobacterales;2,000;4,000
