Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;1;1;6;65;1156;1454;385;69;41;28;13;4;0;1;17;3224;8,000;Enterobacterales;NA;NA
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,00;8,00
Ampicillin;0;0;0;0;0;0;0;0;0;11;17;63;223;689;2455;315;68;225;84;7;4150;NA;Enterobacterales;NA;NA
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,00;8,00
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;11;4;14;22;56;187;247;82;39;110;0;0;0;2;772;NA;Enterobacterales;NA;NA
Aztreonam;0;0;0;0;15;33;26;14;25;19;3;1;1;2;6;15;0;0;0;4;160;NA;Enterobacterales;1,00;4,00
Cefalexin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,00;16,00
Cefalothin;0;0;0;0;0;0;0;0;0;10;39;21;16;2;0;0;2;1;2;2;93;NA;Enterobacterales;NA;NA
Cefazolin;0;0;0;0;0;0;0;0;1;11;41;16;17;11;4;3;12;1;4;4;121;NA;Enterobacterales;NA;NA
Cefepime;0;0;2;26;62;66;6;4;1;8;11;12;5;4;4;3;1;0;0;1;215;NA;Enterobacterales;1,00;4,00
Cefixime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,00;1,00
Cefoperazone;0;0;0;0;0;1;1;1;1;5;5;4;0;2;1;0;1;6;0;1;28;NA;Enterobacterales;NA;NA
Cefotaxime;0;1;7;55;155;80;19;22;9;12;13;14;9;4;11;11;0;1;0;7;423;0,125;Enterobacterales;NA;NA
Cefoxitin;0;0;0;0;0;0;1;4;26;414;1375;705;212;121;36;58;0;5;0;23;2957;8,000;Enterobacterales;NA;NA
Ceftaroline;0;0;0;0;19;55;72;75;32;7;2;3;4;2;22;1;3;0;0;3;297;0,500;Enterobacterales;0,50;0,50
Ceftazidime;0;0;4;9;58;368;532;385;159;99;83;66;18;17;15;14;13;12;8;55;1860;0,500;Enterobacterales;NA;NA
Ceftazidime-avibactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,00;8,00
Ceftibuten;0;0;5;7;4;83;2;2;4;1;1;1;2;1;0;0;0;0;0;2;113;NA;Enterobacterales;NA;NA
Ceftobiprole;0;0;0;1;30;60;52;84;45;27;7;5;4;38;1;17;16;0;0;6;387;NA;Enterobacterales;0,25;0,25
Ceftolozane;0;0;0;0;0;0;73;135;55;25;26;16;8;4;2;20;0;0;0;4;364;1,000;Enterobacterales;NA;NA
Ceftolozane-tazobactam;0;0;0;0;1;1;144;136;48;27;23;14;4;2;2;18;0;0;0;5;420;1,000;Enterobacterales;NA;NA
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,00;2,00
Cefuroxime;0;0;0;0;0;0;5;20;242;1102;1643;1065;340;158;522;37;139;48;83;17;5404;8,000;Enterobacterales;NA;NA
Chloramphenicol;0;0;0;0;0;0;0;0;0;3;10;5;3;0;0;0;0;0;0;1;21;NA;Enterobacterales;8,00;8,00
Ciprofloxacin;0;0;192;553;389;156;106;50;47;45;37;56;27;22;25;12;1;1;0;54;1719;0,125;Enterobacterales;NA;NA
Colistin;0;0;0;0;0;16;10;143;406;192;22;6;1;10;2;1;2;0;1;6;812;2,000;Enterobacterales;NA;NA
Doripenem;0;0;0;10;88;47;5;2;1;0;0;0;0;0;0;0;0;0;0;3;153;0,125;Enterobacterales;1,00;2,00
Doxycycline;0;0;0;0;0;0;2;3;113;342;79;43;18;47;8;0;0;0;0;3;655;4,000;Enterobacterales;NA;NA
Eravacycline;0;0;0;0;0;17;465;587;76;40;14;0;1;0;0;0;0;0;0;3;1200;0,500;Enterobacterales;0,50;0,50
Ertapenem;0;4;38;49;10;3;0;0;0;0;0;1;0;0;0;0;0;0;0;2;105;NA;Enterobacterales;NA;NA
Gentamicin;0;0;1;0;0;2;17;648;2113;910;167;56;36;31;9;34;8;9;83;26;4124;2,000;Enterobacterales;2,00;2,00
Imipenem;0;0;4;9;13;222;1887;1705;831;88;50;13;5;3;2;0;0;0;0;59;4832;1,000;Enterobacterales;2,00;4,00
Kanamycin;0;0;0;0;0;0;1;0;0;3;44;34;12;6;4;5;4;2;0;1;115;NA;Enterobacterales;NA;NA
Levofloxacin;0;0;0;3;182;267;35;20;27;22;14;60;14;2;1;0;0;0;0;4;647;0,250;Enterobacterales;0,50;1,00
Loracarbef;0;0;0;0;0;0;0;0;3;7;4;0;1;0;0;1;0;0;1;1;17;NA;Enterobacterales;NA;NA
Meropenem;0;0;84;285;646;2251;78;15;14;7;3;4;1;2;0;1;0;0;0;20;3391;0,125;Enterobacterales;2,00;8,00
Minocycline;0;0;0;0;0;0;0;0;4;135;106;24;13;4;4;0;0;0;0;6;290;8,000;Enterobacterales;NA;NA
Moxifloxacin;0;0;0;0;42;276;156;28;15;23;29;9;66;1;2;0;0;0;0;4;647;0,250;Enterobacterales;NA;NA
Nalidixic acid;0;0;0;0;0;0;0;0;0;12;131;54;6;1;1;2;4;2;0;2;213;NA;Enterobacterales;NA;NA
Netilmicin;0;0;0;0;0;0;0;14;64;27;3;1;2;0;2;0;2;0;0;1;115;NA;Enterobacterales;NA;NA
Nitroxoline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,00;16,00
Norfloxacin;0;0;0;0;1;17;1;0;0;0;0;0;0;0;0;0;0;0;0;1;19;NA;Enterobacterales;NA;NA
Ofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,25;0,50
Piperacillin;0;0;0;0;0;0;0;0;7;76;210;590;792;358;98;44;156;245;110;8;2686;NA;Enterobacterales;NA;NA
Piperacillin-tazobactam;0;0;3;2;2;8;12;39;300;1201;1502;523;201;94;54;62;359;193;66;59;4621;8,000;Enterobacterales;8,00;8,00
Streptomycin;0;0;0;0;0;0;0;0;0;2;20;19;5;0;1;1;1;1;0;1;50;NA;Enterobacterales;NA;NA
Sulbactam;0;0;0;0;0;0;0;0;0;0;0;0;4;25;37;15;3;2;8;1;94;NA;Enterobacterales;NA;NA
Sulfamethoxazole;0;0;0;0;0;0;0;0;0;0;1;1;4;25;21;13;5;2;3;1;75;NA;Enterobacterales;NA;NA
Temocillin;0;0;0;0;0;0;0;0;0;7;14;21;6;1;0;0;0;0;0;2;49;NA;Enterobacterales;NA;NA
Tetracycline;0;0;0;0;0;0;0;13;86;230;64;18;11;1;17;0;6;6;0;7;452;8,000;Enterobacterales;NA;NA
Ticarcillin;0;0;0;0;0;0;0;0;0;1;10;14;11;64;238;521;659;817;0;1;2335;NA;Enterobacterales;NA;NA
Ticarcillin-clavulanic acid;0;0;0;0;0;0;0;0;0;495;1263;902;239;700;117;154;141;321;0;3;4332;NA;Enterobacterales;NA;NA
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,00;16,00
Tigecycline;0;0;29;7;18;99;2201;9878;4188;1526;687;191;24;1;1;0;0;0;0;28;18850;1,000;Enterobacterales;NA;NA
Tobramycin;0;0;0;1;0;3;28;555;1971;1264;256;63;58;60;13;8;4;0;85;13;4369;2,000;Enterobacterales;2,00;2,00
Trimethoprim;0;0;0;0;0;2;5;26;33;7;1;0;0;0;0;0;0;1;1;1;76;NA;NA;NA;NA
Trimethoprim-sulfamethoxazole;0;0;0;0;4;88;80;26;8;3;2;0;0;6;0;14;0;8;0;3;239;0,500;NA;NA;NA
Trimethoprim-sulfamethoxazole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,00;4,00
