Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;14;373;5348;4478;566;386;612;104;21;6;25;77;15;12010;8,000;Enterobacterales;8,000;8,000
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Amoxicillin-clavulanic acid (fixed);0;0;0;0;0;0;0;0;0;543;704;334;175;77;46;33;47;105;86;2;2150;NA;Enterobacterales;NA;NA
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin;0;0;0;0;0;0;2;1;5;44;118;174;655;2821;10665;609;126;863;99;10;16182;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam (fixed);0;0;0;0;0;0;0;0;2;10;24;4;5;3;0;0;2;0;0;1;50;NA;Enterobacterales;NA;NA
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;6;4;24;836;653;1659;727;273;299;655;22;167;88;3;5413;NA;Enterobacterales;NA;NA
Aztreonam;0;0;0;0;0;0;0;0;1;1;1;0;0;0;4;0;0;0;0;1;7;NA;Enterobacterales;1,000;4,000
Cefadroxil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefalexin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefalothin;0;0;0;0;0;0;0;0;4;20;85;89;23;18;9;2;3;1;4;2;258;NA;Enterobacterales;NA;NA
Cefazolin;0;0;0;0;0;0;0;0;5;71;82;17;8;6;12;1;5;1;0;5;208;4,000;Enterobacterales;0,001;4,000
Cefepime;0;0;9;32;134;364;38;38;35;53;54;62;65;105;87;60;49;50;0;2;1235;NA;Enterobacterales;1,000;4,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Cefixime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Cefoperazone;0;0;0;0;0;173;10;2;4;0;2;5;6;5;1;1;2;0;0;1;211;NA;Enterobacterales;NA;NA
Cefotaxime;0;2;12;99;523;745;271;84;65;19;28;36;54;43;49;68;105;199;20;11;2422;0,250;Enterobacterales;1,000;2,000
Cefoxitin;0;0;0;0;0;0;1;7;77;1716;9839;7857;2895;1482;871;551;20;8;0;25;25324;8,000;Enterobacterales;NA;NA
Cefpodoxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Ceftaroline;0;0;0;0;44;302;178;57;40;13;5;6;15;4;68;1;1;0;0;3;734;0,500;Enterobacterales;0,500;0,500
Ceftazidime;0;0;10;9;89;592;1346;1425;611;281;145;88;104;113;146;136;92;112;27;68;5326;0,500;Enterobacterales;1,000;4,000
Ceftazidime-avibactam;0;0;0;0;0;3;8;17;16;31;26;11;9;1;0;0;18;0;0;1;140;NA;Enterobacterales;8,000;8,000
Ceftibuten;0;0;5;28;47;194;17;3;7;10;2;3;1;3;0;0;0;0;0;2;320;NA;Enterobacterales;1,000;1,000
Ceftobiprole;0;0;18;841;737;391;125;71;20;18;11;4;12;360;51;20;53;0;0;7;2732;0,250;Enterobacterales;0,250;0,250
Ceftolozane;0;0;0;0;0;4;140;487;201;84;44;28;32;44;151;831;0;0;0;6;2046;1,000;Enterobacterales;NA;NA
Ceftolozane-tazobactam;0;0;0;0;0;28;576;866;447;292;175;116;80;98;175;400;0;6;0;11;3259;1,000;Enterobacterales;2,000;2,000
Ceftriaxone;0;0;2;3;19;10;5;7;0;0;0;0;0;0;0;0;0;0;0;1;46;NA;Enterobacterales;1,000;2,000
Cefuroxime;0;0;0;0;0;8;68;193;1211;5876;15230;9099;3277;2104;4847;227;181;119;91;20;42531;8,000;Enterobacterales;0,001;8,000
Chloramphenicol;0;0;0;0;0;0;0;0;0;4;12;28;19;1;0;0;0;1;0;1;65;NA;Enterobacterales;8,000;8,000
Ciprofloxacin;0;4;227;767;1783;913;527;315;251;138;100;86;72;60;149;116;38;30;15;71;5591;0,125;Enterobacterales;0,250;0,500
Colistin;0;0;0;0;0;0;24;453;938;281;32;18;19;42;19;5;9;0;1;8;1841;2,000;Enterobacterales;2,000;2,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,125;0,125
Doripenem;0;0;1;176;1370;840;205;18;4;0;3;4;4;0;1;0;0;0;0;5;2626;0,125;Enterobacterales;1,000;2,000
Doxycycline;0;0;0;0;0;0;0;1;39;158;139;38;23;35;47;1;0;0;0;2;481;NA;Enterobacterales;NA;NA
Eravacycline;0;0;0;0;0;5;148;830;505;148;88;27;7;0;0;0;0;0;0;6;1758;1,000;Enterobacterales;0,500;0,500
Ertapenem;0;2;140;275;46;30;31;10;2;2;3;1;1;0;0;0;0;0;0;3;543;NA;Enterobacterales;0,500;0,500
Fosfomycin;0;0;0;0;0;0;0;0;0;3;3;35;88;79;46;7;1;24;1;2;287;NA;Enterobacterales;32,000;32,000
Gatifloxacin;0;0;0;14;247;567;203;65;97;47;42;14;16;4;3;0;0;0;0;4;1319;0,250;Enterobacterales;NA;NA
Gentamicin;0;0;3;3;5;9;157;2016;6158;2164;302;223;259;266;150;186;160;168;93;42;12322;2,000;Enterobacterales;2,000;2,000
Imipenem;0;0;12;16;40;1178;11945;8132;6425;932;211;49;19;29;6;5;1;0;0;45;29000;1,000;Enterobacterales;2,000;4,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Kanamycin;0;0;0;0;0;0;0;0;5;34;234;31;9;7;11;20;9;56;0;1;416;NA;Enterobacterales;NA;NA
Levofloxacin;0;0;1;3;330;1789;416;136;268;284;130;99;99;64;54;1;0;0;0;6;3674;0,250;Enterobacterales;0,500;1,000
Loracarbef;0;0;0;0;0;0;0;5;66;26;4;2;0;0;0;0;1;0;2;1;106;NA;Enterobacterales;NA;NA
Mecillinam;0;0;0;0;1;4;32;51;16;10;2;1;0;0;0;2;1;0;13;1;133;NA;Enterobacterales;8,000;8,000
Meropenem;0;0;141;723;2500;11209;506;210;132;85;54;34;24;24;35;1;0;0;0;13;15678;0,125;Enterobacterales;2,000;8,000
Meropenem-vaborbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Minocycline;0;0;0;0;0;0;2;3;18;106;432;193;60;48;58;18;0;0;0;6;938;8,000;Enterobacterales;NA;NA
Moxifloxacin;0;0;1;1;219;1398;1240;278;347;301;117;93;116;63;73;8;2;0;0;7;4257;0,250;Enterobacterales;0,250;0,250
Nalidixic acid;0;0;0;0;0;0;0;0;0;9;147;177;26;12;9;8;4;51;0;2;443;NA;Enterobacterales;NA;NA
Netilmicin;0;0;0;0;0;1;7;190;109;10;8;8;23;21;12;13;5;9;0;1;416;NA;Enterobacterales;NA;NA
Nitrofurantoin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;64,000;64,000
Nitroxoline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Norfloxacin;0;0;0;0;6;14;16;6;5;4;0;0;0;0;0;0;0;0;0;1;51;NA;Enterobacterales;0,500;0,500
Ofloxacin;0;0;0;0;11;81;119;14;5;8;10;1;4;0;0;0;0;0;0;1;253;NA;Enterobacterales;0,250;0,500
Piperacillin;0;0;0;0;0;0;0;2;21;199;509;1567;1024;422;226;166;279;435;219;7;5069;NA;Enterobacterales;8,000;8,000
Piperacillin-tazobactam;0;0;2;0;3;11;24;46;444;2539;7785;5041;1802;1076;560;397;1280;336;209;77;21555;8,000;Enterobacterales;8,000;8,000
Sparfloxacin;0;0;2;6;49;63;15;8;10;5;5;3;3;9;0;0;0;0;0;1;178;NA;Enterobacterales;NA;NA
Streptomycin;0;0;0;0;0;0;0;0;0;7;63;33;15;0;4;4;8;7;0;1;141;NA;Enterobacterales;NA;NA
Sulbactam;0;0;0;0;0;0;0;0;1;0;1;0;0;19;116;49;7;7;11;1;211;NA;Enterobacterales;NA;NA
Sulfamethoxazole;0;0;0;0;0;0;0;0;0;0;2;6;19;47;36;31;10;0;16;1;167;NA;Enterobacterales;NA;NA
Temocillin;0;0;0;0;0;0;0;0;3;61;193;117;52;27;22;35;23;71;1;7;605;8,000;Enterobacterales;0,001;16,000
Tetracycline;0;0;0;0;0;0;1;6;50;387;588;167;65;42;99;2;25;112;0;8;1544;8,000;Enterobacterales;NA;NA
Ticarcillin;0;0;0;0;0;0;0;0;0;21;55;72;38;216;675;1493;3413;6033;0;1;12016;NA;Enterobacterales;8,000;16,000
Ticarcillin-clavulanic acid;0;0;0;0;0;0;0;0;0;1061;5158;5453;1887;3391;899;1024;1303;1675;0;3;21851;NA;Enterobacterales;NA;NA
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;16,000
Tigecycline;0;0;90;39;59;300;3130;21790;31110;13484;6081;2872;465;23;7;4;0;0;4;37;79458;2,000;Enterobacterales;0,500;0,500
Tobramycin;0;0;0;1;2;13;113;2190;7489;3207;636;193;318;615;147;58;17;6;94;23;15099;2,000;Enterobacterales;2,000;2,000
Trimethoprim;0;0;0;0;0;4;20;601;845;225;92;43;47;265;0;0;0;0;107;4;2249;NA;Enterobacterales;4,000;4,000
Trimethoprim-sulfamethoxazole;0;0;0;2;19;884;1760;971;245;145;80;54;19;397;109;93;0;0;0;7;4778;0,500;Enterobacterales;2,000;4,000
