Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;1,000
Amoxicillin;0;0;0;0;0;0;1;3;18;20;25;16;12;2;3;0;0;0;0;1;100;NA;PK_PD_breakpoints;2,000;8,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;8,000
Ampicillin;0;0;0;0;0;0;2;11;14;24;23;15;10;1;0;0;0;0;0;1;100;NA;PK_PD_breakpoints;2,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;8,000
Azithromycin;0;0;0;0;3;112;129;23;12;3;0;0;1;0;0;0;0;0;0;2;283;NA;PK_PD_breakpoints;NA;NA
Aztreonam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;8,000
Benzylpenicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,250;2,000
Cefazolin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;2,000
Cefdinir;0;0;0;0;0;0;0;0;8;15;29;35;11;2;0;0;0;0;0;1;100;NA;PK_PD_breakpoints;NA;NA
Cefepime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;8,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;2,000
Cefotaxime;0;0;0;2;10;51;56;40;23;1;0;0;0;0;0;0;0;0;0;1;183;NA;PK_PD_breakpoints;1,000;2,000
Cefpodoxime;0;0;0;0;0;0;4;4;14;44;34;0;0;0;0;0;0;0;0;1;100;NA;PK_PD_breakpoints;NA;NA
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,500;0,500
Ceftazidime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;8,000
Ceftazidime-avibactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;8,000;8,000
Ceftobiprole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;4,000
Ceftolozane-tazobactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;4,000;4,000
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;2,000
Cefuroxime;0;0;0;0;0;0;0;2;10;26;34;21;7;0;0;0;0;0;0;1;100;NA;PK_PD_breakpoints;4,000;8,000
Chloramphenicol;0;0;0;0;0;0;1;22;75;2;0;0;0;0;0;0;0;0;0;1;100;NA;PK_PD_breakpoints;NA;NA
Ciprofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,250;0,500
Clarithromycin;0;0;0;0;0;1;110;169;2;1;0;0;0;0;0;0;0;0;0;2;283;NA;PK_PD_breakpoints;NA;NA
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,250;0,250
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;1,000;2,000
Doxycycline;0;0;0;0;0;0;0;0;0;5;48;106;24;0;0;0;0;0;0;1;183;NA;PK_PD_breakpoints;NA;NA
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,500;0,500
Erythromycin;0;0;0;0;2;30;119;112;18;1;1;0;0;0;0;0;0;0;0;2;283;NA;PK_PD_breakpoints;NA;NA
Gentamicin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,500;0,500
Imipenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;4,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;2,000
Lefamulin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,250;0,250
Levofloxacin;0;0;92;28;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;122;NA;PK_PD_breakpoints;0,500;1,000
Linezolid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;2,000
Meropenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;2,000;8,000
Meropenem-vaborbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;8,000;8,000
Moxifloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,250;0,250
Ofloxacin;0;0;3;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;22;NA;PK_PD_breakpoints;0,250;0,500
Oritavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,125;0,125
Piperacillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;8,000;16,000
Piperacillin-tazobactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;8,000;16,000
Rifampicin;0;5;7;132;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;183;NA;PK_PD_breakpoints;NA;NA
Sparfloxacin;20;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;22;NA;PK_PD_breakpoints;NA;NA
Ticarcillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;8,000;16,000
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;8,000;16,000
Tigecycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,500;0,500
Tobramycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PK_PD_breakpoints;0,500;0,500
Trimethoprim-sulfamethoxazole;0;0;0;0;0;0;8;40;46;6;0;0;0;0;0;0;0;0;0;1;100;NA;PK_PD_breakpoints;NA;NA
