Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Ampicillin;0;0;0;0;0;0;1;159;215;29;0;0;0;0;0;0;0;0;0;4;404;1,00;L.monocytogenes;1,000;1,000
Benzylpenicillin;0;0;0;7;1;5;105;227;156;28;1;0;0;0;0;0;0;0;0;5;530;1,00;L.monocytogenes;1,000;1,000
Chloramphenicol;0;0;0;0;0;0;0;0;0;0;5;86;184;31;1;0;0;0;0;3;307;NA;L.monocytogenes;NA;NA
Ciprofloxacin;0;0;0;0;0;0;0;1;28;82;21;9;0;0;0;0;0;0;0;3;141;4,00;L.monocytogenes;NA;NA
Daptomycin;0;0;0;0;0;0;0;1;1;49;114;64;1;0;0;0;0;0;0;3;230;8,00;L.monocytogenes;NA;NA
Enrofloxacin;0;0;0;0;0;0;0;0;3;96;91;11;0;0;0;0;0;0;0;2;201;NA;L.monocytogenes;NA;NA
Erythromycin;0;0;0;0;0;5;187;101;263;6;0;0;0;0;0;0;0;0;0;6;562;1,00;L.monocytogenes;1,000;1,000
Gentamicin;0;0;0;0;0;0;0;29;139;136;3;0;0;0;0;0;0;0;0;3;307;2,00;L.monocytogenes;NA;NA
Kanamycin;0;0;0;0;0;0;0;0;4;20;126;51;0;0;0;0;0;0;0;2;201;NA;L.monocytogenes;NA;NA
Levofloxacin;0;0;0;0;0;0;0;0;0;76;16;0;0;0;0;0;0;0;0;2;92;NA;L.monocytogenes;NA;NA
Lincomycin;0;0;0;0;0;0;0;0;0;0;1;3;10;165;22;0;0;0;0;2;201;NA;L.monocytogenes;NA;NA
Linezolid;0;0;0;0;0;0;0;0;0;7;75;49;0;0;0;0;0;0;0;2;131;NA;L.monocytogenes;NA;NA
Meropenem;0;0;0;0;1;6;237;45;0;0;0;0;0;0;0;0;0;0;0;3;289;0,25;L.monocytogenes;0,250;0,250
Moxifloxacin;0;0;0;0;0;1;3;24;300;66;0;0;0;0;0;0;0;0;0;3;394;1,00;L.monocytogenes;NA;NA
Norfloxacin;0;0;0;0;0;0;0;0;0;0;0;11;13;1;0;0;0;0;0;1;25;NA;L.monocytogenes;NA;NA
Ofloxacin;0;0;0;0;0;0;0;0;0;3;57;7;0;0;0;0;0;0;0;1;67;NA;L.monocytogenes;NA;NA
Oxacillin;0;0;0;0;0;0;0;0;0;1;17;176;17;2;0;0;0;0;0;2;213;NA;L.monocytogenes;NA;NA
Oxytetracycline;0;0;0;0;0;0;0;0;0;7;26;162;5;0;0;1;0;0;0;2;201;NA;L.monocytogenes;NA;NA
Piperacillin-tazobactam;0;0;0;0;0;0;0;1;6;18;48;50;6;0;0;0;0;0;0;3;129;8,00;L.monocytogenes;NA;NA
Sparfloxacin;0;0;0;0;0;0;0;0;1;23;49;1;0;0;0;0;0;0;0;2;74;NA;L.monocytogenes;NA;NA
Streptomycin;0;0;0;0;0;0;0;0;0;0;0;17;183;1;0;0;0;0;0;2;201;NA;L.monocytogenes;NA;NA
Sulfamethoxazole;0;0;0;0;0;0;0;0;0;0;0;0;1;35;41;25;4;0;0;1;106;NA;L.monocytogenes;NA;NA
Tetracycline;0;0;0;0;0;2;6;20;76;12;0;0;0;0;0;0;0;0;0;2;116;NA;L.monocytogenes;NA;NA
Trimethoprim;0;0;0;1;9;36;68;2;0;0;0;0;0;0;0;0;0;0;0;2;116;NA;L.monocytogenes;NA;NA
Trimethoprim-sulfamethoxazole;2;0;68;52;0;0;4;2;1;0;0;0;0;0;0;0;0;0;0;1;129;NA;L.monocytogenes;0,064;0,064
Vancomycin;0;0;0;0;0;0;0;1;41;317;26;0;0;0;0;0;0;0;0;4;385;2,00;L.monocytogenes;NA;NA
Virginiamycin;0;0;0;0;0;0;0;0;27;123;38;13;0;0;0;0;0;0;0;2;201;NA;L.monocytogenes;NA;NA
