Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;0;3;5;18;71;150;27;2;0;2;32;9;24;13;0;0;0;10;356;0,500;Anaerobes,_Gramnegative;0,50;2,0
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;8,0
Ampicillin;0;0;0;1;3;44;101;134;7;2;1;1;29;1;0;14;0;0;0;8;338;0,500;Anaerobes,_Gramnegative;0,50;2,0
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;8,0
Benzylpenicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;0,25;0,5
Cefalexin;0;0;0;0;0;0;0;1;4;59;145;35;0;0;0;0;0;0;0;7;244;4,000;Anaerobes,_Gramnegative;NA;NA
Cefquinome;0;3;70;117;77;21;1;0;1;0;0;0;0;0;0;0;0;0;0;7;290;0,060;Anaerobes,_Gramnegative;NA;NA
Ceftiofur;0;23;103;173;68;28;6;0;1;0;0;0;0;0;0;0;0;0;0;10;402;0,060;Anaerobes,_Gramnegative;NA;NA
Chloramphenicol;0;0;0;0;0;0;0;2;13;85;14;1;2;9;14;7;0;0;0;4;147;2,000;Anaerobes,_Gramnegative;8,00;8,0
Clindamycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;4,0
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;1,00;1,0
Doxycycline;0;0;0;0;1;1;6;56;204;52;13;7;15;8;1;0;0;0;0;9;364;2,000;Anaerobes,_Gramnegative;NA;NA
Enrofloxacin;0;2;4;47;198;133;13;58;56;10;9;3;7;1;0;0;0;0;0;12;541;0,125;Anaerobes,_Gramnegative;NA;NA
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;0,50;0,5
Erythromycin;0;0;0;0;0;0;4;2;1;1;43;173;15;1;4;0;0;0;0;7;244;8,000;Anaerobes,_Gramnegative;NA;NA
Florfenicol;0;0;0;0;0;3;4;51;365;894;70;3;4;3;0;1;0;0;0;27;1398;2,000;Anaerobes,_Gramnegative;NA;NA
Flumequine;0;0;0;0;0;2;39;154;37;4;20;45;18;11;1;0;0;0;0;9;331;0,500;Anaerobes,_Gramnegative;NA;NA
