Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;2;0;21;55;6;8;4;0;7;13;24;98;225;318;267;159;41;16;1;3;1265;0,030;M.catarrhalis;NA;NA
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;M.catarrhalis;1,000;1,000
Ampicillin;2;13;141;93;38;76;138;112;96;210;298;195;394;375;407;153;29;1;1;6;2772;0,030;M.catarrhalis;NA;NA
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;M.catarrhalis;1,000;1,000
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;M.catarrhalis;0,250;0,500
Aztreonam;0;0;0;0;0;0;1;11;93;70;102;9;1;0;0;0;0;0;0;1;287;NA;M.catarrhalis;NA;NA
Cefaclor;0;0;0;0;1;1;19;265;1484;2222;1549;1032;590;253;108;11;1;0;0;6;7536;NA;M.catarrhalis;NA;NA
Cefdinir;0;0;0;0;0;247;2248;1405;158;25;1;0;0;0;0;0;0;0;0;1;4084;NA;M.catarrhalis;NA;NA
Cefepime;0;0;0;0;0;131;952;1535;2172;1474;617;132;2;0;0;0;0;0;0;1;7015;NA;M.catarrhalis;4,000;4,000
Cefixime;0;0;0;7;229;340;180;540;107;2;0;0;0;0;0;0;0;0;0;5;1405;NA;M.catarrhalis;0,500;1,000
Cefotaxime;0;0;0;27;108;483;430;275;907;517;9;1;0;0;0;0;0;0;0;7;2757;NA;M.catarrhalis;1,000;2,000
Cefpodoxime;0;0;0;1;35;219;1468;2598;3916;2392;145;11;3;0;0;0;0;0;0;4;10788;NA;M.catarrhalis;NA;NA
Ceftazidime;0;0;0;6;27;28;10;7;1;1;0;0;0;0;0;0;0;0;0;2;80;NA;M.catarrhalis;NA;NA
Ceftibuten;0;0;0;0;0;0;5;8;2;4;9;0;0;0;0;0;0;0;0;1;28;NA;M.catarrhalis;NA;NA
Ceftobiprole;0;0;4;10;17;53;29;16;2;0;0;0;0;0;0;0;0;0;0;3;131;NA;M.catarrhalis;NA;NA
Ceftriaxone;0;1;513;810;343;182;370;1473;1142;328;42;1;2;0;0;0;0;0;0;4;5207;NA;M.catarrhalis;1,000;2,000
Cefuroxime;0;0;0;1;2;18;169;839;3594;6008;3913;659;175;23;0;0;0;0;0;14;15401;NA;M.catarrhalis;4,000;8,000
Chloramphenicol;0;0;0;0;0;0;16;216;3769;81;1;1;0;0;0;0;0;0;0;1;4084;NA;M.catarrhalis;NA;NA
Ciprofloxacin;0;0;24;938;6812;2060;261;17;21;5;3;3;0;0;0;0;0;0;0;15;10144;0,125;M.catarrhalis;0,125;0,125
Clarithromycin;0;4;29;360;370;126;17;3;0;1;0;0;0;0;0;0;0;0;0;3;910;0,125;M.catarrhalis;0,250;0,500
Doripenem;0;0;7;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27;NA;M.catarrhalis;1,000;1,000
Doxycycline;0;0;0;0;0;0;16;89;160;19;1;2;0;0;0;0;0;0;0;1;287;NA;M.catarrhalis;1,000;2,000
Ertapenem;4;107;304;578;185;137;28;0;0;0;0;0;0;0;0;0;0;0;0;4;1343;NA;M.catarrhalis;0,500;0,500
Erythromycin;0;0;13;52;205;2279;407;73;5;2;2;0;0;0;0;0;0;0;0;8;3038;0,250;M.catarrhalis;0,250;0,500
Gatifloxacin;0;1;41;134;308;200;18;5;2;1;0;0;0;0;0;0;0;0;0;4;710;NA;M.catarrhalis;NA;NA
Gemifloxacin;0;1;8;34;27;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;74;NA;M.catarrhalis;NA;NA
Gentamicin;0;0;0;0;2;12;27;0;1;0;0;0;0;0;0;0;0;0;0;1;42;NA;M.catarrhalis;NA;NA
Imipenem;0;0;5;11;77;132;163;26;19;2;0;0;0;0;0;0;0;0;0;4;435;0,250;M.catarrhalis;2,000;2,000
Levofloxacin;0;0;6;114;4080;1003;26;5;4;19;2;0;0;0;0;0;0;0;0;8;5259;0,125;M.catarrhalis;0,125;0,125
Meropenem;10;25;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;50;NA;M.catarrhalis;2,000;2,000
Minocycline;0;0;0;0;8;338;1295;64;2;0;0;0;0;0;0;0;0;0;0;4;1707;0,250;M.catarrhalis;1,000;1,000
Moxifloxacin;0;0;1;45;653;2827;586;80;7;4;1;2;0;0;0;0;0;0;0;11;4206;0,250;M.catarrhalis;0,250;0,250
Nalidixic acid;0;0;0;0;0;0;0;1;0;22;110;52;0;0;0;0;0;0;0;1;185;NA;M.catarrhalis;NA;NA
Ofloxacin;0;0;0;0;6;21;235;4;0;0;0;0;0;0;0;0;0;0;0;3;266;0,250;M.catarrhalis;0,250;0,250
Roxithromycin;0;0;0;0;16;25;5;1;0;0;0;1;0;0;0;0;0;0;0;1;48;NA;M.catarrhalis;0,500;1,000
Sparfloxacin;0;0;16;45;132;15;0;0;0;0;0;0;0;0;0;0;0;0;0;2;208;NA;M.catarrhalis;NA;NA
Telithromycin;0;1;2;17;33;13;9;0;1;0;0;0;0;0;0;0;0;0;0;2;76;NA;M.catarrhalis;0,250;0,500
Tetracycline;0;0;0;0;0;2;172;3888;3357;807;256;114;36;20;26;1;1;0;0;14;8680;2,000;M.catarrhalis;1,000;2,000
Tigecycline;0;0;0;1;59;682;592;52;0;0;0;0;0;0;0;0;0;0;0;5;1386;0,250;M.catarrhalis;NA;NA
