Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;6;26;109;120;53;27;3;0;3;0;0;0;4;347;8,000;Enterobacterales;8,000;8,000
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;0;0;0;9;16;40;108;221;181;60;15;15;96;2;761;NA;Enterobacterales;NA;NA
Aztreonam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;4,000
Cefadroxil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefalexin;0;0;0;0;0;0;0;0;2;0;3;2;2;2;2;11;7;23;0;1;54;NA;Enterobacterales;16,000;16,000
Cefalothin;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;8;22;1;33;NA;Enterobacterales;NA;NA
Cefazolin;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;28;17;28;2;75;NA;Enterobacterales;0,001;4,000
Cefepime;0;0;0;19;40;45;3;2;3;2;2;0;2;0;0;0;0;0;0;1;118;NA;Enterobacterales;1,000;4,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Cefixime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Cefoperazone;0;0;0;0;0;0;0;0;1;4;4;1;1;2;1;1;4;7;0;1;26;NA;Enterobacterales;NA;NA
Cefotaxime;0;8;27;35;24;18;12;8;6;2;7;10;4;2;2;0;0;1;0;3;166;NA;Enterobacterales;1,000;2,000
Cefoxitin;0;0;0;0;0;0;0;0;1;2;12;73;551;396;42;82;4;0;0;10;1163;NA;Enterobacterales;NA;NA
Cefpirome;0;3;7;47;15;2;2;4;0;0;0;0;0;0;0;0;0;0;0;1;80;NA;Enterobacterales;NA;NA
Cefpodoxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Ceftaroline;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;1;0;0;0;1;5;NA;Enterobacterales;0,500;0,500
Ceftazidime;0;2;5;18;67;64;48;38;34;15;12;10;7;19;4;3;0;1;0;3;347;0,250;Enterobacterales;1,000;4,000
Ceftazidime-avibactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ceftibuten;0;0;3;2;11;11;8;0;1;0;0;0;0;0;0;0;0;0;0;1;36;NA;Enterobacterales;1,000;1,000
Ceftobiprole;0;0;0;86;126;41;6;0;1;1;0;0;0;6;0;3;0;0;0;5;270;0,125;Enterobacterales;0,250;0,250
Ceftolozane;0;0;0;0;0;1;1;79;83;19;17;16;26;27;10;6;0;0;0;4;285;1,000;Enterobacterales;NA;NA
Ceftolozane-tazobactam;0;0;0;0;0;1;38;154;77;13;8;4;2;2;2;2;0;0;0;5;303;1,000;Enterobacterales;2,000;2,000
Ceftriaxone;0;24;18;3;1;1;0;1;0;0;2;1;1;0;0;0;0;0;0;1;52;NA;Enterobacterales;1,000;2,000
Cefuroxime;0;0;0;0;3;0;2;2;5;21;29;32;73;202;894;162;78;20;8;13;1531;NA;Enterobacterales;0,001;8,000
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ciprofloxacin;0;15;78;182;45;9;6;1;2;9;8;4;4;2;4;3;0;3;0;8;375;0,064;Enterobacterales;0,250;0,500
Colistin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,125;0,125
Doripenem;0;0;0;0;7;52;181;221;79;7;0;0;0;0;0;0;0;0;0;10;547;1,000;Enterobacterales;1,000;2,000
Doxycycline;0;0;0;0;0;0;0;0;8;15;12;9;5;5;8;17;0;0;0;1;79;NA;Enterobacterales;NA;NA
Eravacycline;0;0;0;0;0;0;1;9;78;144;89;15;2;0;0;0;0;0;0;3;338;4,000;Enterobacterales;0,500;0,500
Ertapenem;0;4;30;67;87;41;6;1;0;0;0;2;0;0;0;0;0;0;0;5;238;NA;Enterobacterales;0,500;0,500
Fosfomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;32,000;32,000
Gatifloxacin;0;0;0;0;11;48;43;11;4;1;1;1;0;3;0;0;0;0;0;2;123;NA;Enterobacterales;NA;NA
Gentamicin;0;0;0;0;0;2;19;239;518;287;60;26;11;25;19;26;7;6;97;10;1342;2,000;Enterobacterales;2,000;2,000
Imipenem;0;0;0;1;1;3;30;34;119;479;1153;554;86;29;25;1;0;0;98;17;2613;4,000;Enterobacterales;2,000;4,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Levofloxacin;0;0;0;4;174;152;31;6;5;17;19;5;14;1;4;0;1;0;0;5;433;0,250;Enterobacterales;0,500;1,000
Loracarbef;0;0;0;0;0;0;0;2;0;1;1;0;2;0;0;0;0;12;16;1;34;NA;Enterobacterales;NA;NA
Mecillinam;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;13;1;18;NA;Enterobacterales;8,000;8,000
Meropenem;0;0;7;26;99;671;477;142;33;12;1;1;1;0;0;0;0;0;0;6;1470;0,250;Enterobacterales;2,000;8,000
Meropenem-vaborbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Minocycline;0;0;0;0;0;0;0;0;0;0;16;39;29;23;17;6;0;0;0;5;130;NA;Enterobacterales;NA;NA
Moxifloxacin;0;0;0;2;16;127;343;152;23;15;9;30;42;14;4;6;2;0;0;8;785;0,500;Enterobacterales;0,250;0,250
Nalidixic acid;0;0;0;0;0;0;0;0;0;14;41;12;0;0;0;1;0;0;0;1;68;NA;Enterobacterales;NA;NA
Netilmicin;0;0;0;0;0;0;0;1;11;16;5;2;4;0;0;1;0;0;0;1;40;NA;Enterobacterales;NA;NA
Nitrofurantoin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;64,000;64,000
Nitroxoline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Norfloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,500;0,500
Ofloxacin;0;0;0;3;11;54;83;16;6;0;0;0;0;0;0;6;0;0;0;3;179;0,500;Enterobacterales;0,250;0,500
Piperacillin;0;0;0;0;0;2;8;25;40;164;571;207;13;7;4;6;2;12;2;4;1063;NA;Enterobacterales;8,000;8,000
Piperacillin-tazobactam;0;0;0;1;2;8;94;144;749;166;62;43;31;17;14;11;7;0;0;9;1349;2,000;Enterobacterales;8,000;8,000
Sparfloxacin;0;0;0;0;2;18;39;29;5;2;3;0;2;1;1;2;0;0;0;1;104;NA;Enterobacterales;NA;NA
Temocillin;0;0;0;0;0;0;0;1;4;28;70;55;11;0;0;0;0;1;0;5;170;8,000;Enterobacterales;0,001;16,000
Tetracycline;0;0;0;0;0;0;0;0;6;40;31;18;5;4;23;15;25;3;0;6;170;8,000;Enterobacterales;NA;NA
Ticarcillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;16,000
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;16,000
Tigecycline;0;0;0;0;0;3;67;425;725;372;124;57;4;0;0;0;0;0;6;10;1783;4,000;Enterobacterales;0,500;0,500
Tobramycin;0;0;0;0;0;1;17;174;411;296;84;27;11;4;4;4;0;0;100;5;1133;4,000;Enterobacterales;2,000;2,000
Trimethoprim;0;0;0;0;0;0;0;0;6;34;117;150;14;58;0;0;0;0;101;2;480;NA;Enterobacterales;4,000;4,000
Trimethoprim-sulfamethoxazole;0;0;0;0;0;45;306;431;39;18;5;11;5;123;100;11;3;8;0;6;1105;0,500;Enterobacterales;2,000;4,000
