Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Ampicillin;0;0;2;11;38;56;290;267;344;271;111;75;18;3;19;0;0;0;0;12;1505;NA;N.gonorrhoeae;NA;NA
Azithromycin;0;0;4;459;809;1469;2711;2678;1191;563;194;38;29;13;8;4;0;6;0;14;10176;NA;N.gonorrhoeae;NA;NA
Benzylpenicillin;0;1;100;692;450;1396;2669;2140;1414;1568;540;184;102;467;48;25;13;17;0;21;11826;NA;N.gonorrhoeae;0,064;1,000
Cefaclor;0;0;0;0;13;10;9;8;12;0;0;0;0;0;0;0;0;0;0;1;52;NA;N.gonorrhoeae;NA;NA
Cefalexin;0;0;0;0;2;1;1;10;33;18;27;8;3;1;0;0;0;0;0;1;104;NA;N.gonorrhoeae;NA;NA
Cefazolin;0;0;0;0;0;0;0;32;24;9;19;12;0;0;0;0;0;0;0;1;96;NA;N.gonorrhoeae;NA;NA
Cefixime;5;10;203;31;377;47;40;7;3;3;1;0;0;0;0;0;0;0;0;7;727;NA;N.gonorrhoeae;0,125;0,125
Cefotaxime;1022;1490;1466;1141;945;805;759;389;66;0;2;0;0;0;0;0;0;0;0;10;8085;0,016;N.gonorrhoeae;0,125;0,125
Cefpirome;5;19;33;44;22;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;130;NA;N.gonorrhoeae;NA;NA
Ceftazidime;0;2;3;12;16;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;38;NA;N.gonorrhoeae;NA;NA
Ceftriaxone;221;341;381;310;218;146;55;19;6;0;0;0;0;0;0;0;0;0;0;11;1697;0,032;N.gonorrhoeae;0,125;0,125
Cefuroxime;0;4;53;59;142;226;171;87;87;24;6;0;3;0;0;0;0;0;0;5;862;0,125;N.gonorrhoeae;NA;NA
Chloramphenicol;0;0;0;0;0;0;0;0;2;57;79;19;6;1;2;1;0;0;0;1;167;NA;N.gonorrhoeae;NA;NA
Ciprofloxacin;3093;2012;871;311;150;73;101;158;206;261;568;683;711;366;980;46;6;39;0;24;10635;0,016;N.gonorrhoeae;0,032;0,064
Clarithromycin;0;0;0;0;14;11;14;4;0;0;0;0;0;0;0;0;0;0;0;1;43;NA;N.gonorrhoeae;NA;NA
Erythromycin;0;0;0;2;9;7;31;72;136;186;208;213;51;4;1;1;0;1;0;5;922;0,500;N.gonorrhoeae;NA;NA
Gatifloxacin;0;32;2;3;1;1;0;0;2;1;0;2;0;0;0;0;0;0;0;1;44;NA;N.gonorrhoeae;NA;NA
Gemifloxacin;35;2;0;1;0;0;1;0;1;2;0;1;1;0;0;0;0;0;0;1;44;NA;N.gonorrhoeae;NA;NA
Gentamicin;0;0;0;0;0;0;0;0;0;7;241;1049;1361;108;1;0;0;0;0;4;2767;16,000;N.gonorrhoeae;NA;NA
Imipenem;0;0;0;6;18;13;33;8;0;1;0;0;0;0;0;0;0;0;0;2;79;NA;N.gonorrhoeae;NA;NA
Levofloxacin;0;20;93;11;21;4;3;2;5;0;1;2;2;0;0;0;0;0;0;2;164;NA;N.gonorrhoeae;NA;NA
Moxifloxacin;128;100;223;396;282;42;15;13;9;32;47;81;144;43;3;0;0;0;0;6;1558;0,032;N.gonorrhoeae;NA;NA
Ofloxacin;0;0;22;58;16;15;2;0;2;5;0;0;0;0;0;0;0;0;0;1;120;NA;N.gonorrhoeae;0,125;0,250
Roxithromycin;0;0;0;0;2;2;9;20;8;2;0;0;0;0;0;0;0;0;0;1;43;NA;N.gonorrhoeae;NA;NA
Sparfloxacin;19;35;72;11;2;1;2;3;1;0;0;0;0;0;0;0;0;0;0;2;146;NA;N.gonorrhoeae;NA;NA
Spectinomycin;0;0;0;0;0;9;2;8;6;13;100;637;2108;1772;625;73;10;0;1;15;5364;64,000;N.gonorrhoeae;64,000;64,000
Telithromycin;1;0;3;1;35;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;43;NA;N.gonorrhoeae;NA;NA
Temocillin;0;0;6;24;28;34;62;72;96;238;296;52;2;0;0;0;0;0;0;6;910;NA;N.gonorrhoeae;NA;NA
Tetracycline;0;0;0;38;39;112;382;497;932;1172;1314;366;116;370;298;93;37;6;3;12;5775;NA;N.gonorrhoeae;0,500;1,000
Trimethoprim-sulfamethoxazole;0;0;0;1;0;0;2;2;17;24;30;49;27;8;7;0;0;0;0;1;167;NA;N.gonorrhoeae;NA;NA
