Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;0;0;9;105;431;85;129;59;0;0;0;0;0;0;0;0;0;1;818;NA;N.meningitidis;0,125;1,000
Ampicillin;0;0;0;0;6;53;52;12;51;26;0;0;0;0;0;0;0;0;0;1;200;NA;N.meningitidis;0,125;1,000
Azithromycin;0;0;0;0;1;8;15;25;128;92;30;1;0;0;0;0;0;0;0;2;300;NA;N.meningitidis;NA;NA
Benzylpenicillin;0;4;7;61;548;1439;621;338;114;23;1;0;0;0;0;0;0;0;0;15;3156;0,250;N.meningitidis;0,250;0,250
Cefaclor;0;0;0;0;4;15;17;1;0;0;0;0;0;0;0;0;0;0;0;1;37;NA;N.meningitidis;NA;NA
Cefepime;0;0;0;0;0;49;132;2;1;0;0;0;0;0;0;0;0;0;0;1;184;NA;N.meningitidis;NA;NA
Cefotaxime;430;879;548;139;21;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2019;0,016;N.meningitidis;0,125;0,125
Cefpirome;4;2;15;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;28;NA;N.meningitidis;NA;NA
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;N.meningitidis;0,125;0,125
Cefuroxime;0;0;4;3;39;80;131;15;6;2;0;0;0;0;1;0;0;0;0;3;281;0,250;N.meningitidis;NA;NA
Chloramphenicol;0;0;0;0;0;0;5;12;135;537;163;4;2;8;0;0;0;0;0;12;866;2,000;N.meningitidis;2,000;2,000
Ciprofloxacin;68;1408;409;5;0;5;6;4;0;0;0;0;0;0;0;0;0;0;0;16;1905;0,016;N.meningitidis;0,032;0,032
Gemifloxacin;4;30;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;42;NA;N.meningitidis;NA;NA
Levofloxacin;0;1;56;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;108;0,016;N.meningitidis;NA;NA
Meropenem;0;3;58;57;46;34;3;0;0;0;0;0;0;0;0;0;0;0;0;1;201;NA;N.meningitidis;NA;NA
Minocycline;0;0;0;0;0;3;14;184;94;5;0;0;0;0;0;0;0;0;0;2;300;NA;N.meningitidis;1,000;1,000
Phenoxymethylpenicillin;0;0;0;8;11;13;107;226;140;39;9;0;0;0;0;0;0;0;0;10;553;1,000;N.meningitidis;NA;NA
Rifampicin;40;251;464;493;238;132;78;74;30;4;0;0;3;0;32;0;0;0;0;12;1839;0,064;N.meningitidis;0,250;0,250
Sparfloxacin;0;5;61;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;83;NA;N.meningitidis;NA;NA
Tetracycline;0;0;0;0;0;0;0;1;27;28;0;0;0;0;0;0;0;0;0;1;56;NA;N.meningitidis;2,000;2,000
Trimethoprim-sulfamethoxazole;0;0;0;0;57;67;7;2;25;35;80;22;5;0;0;0;0;0;0;2;300;NA;N.meningitidis;NA;NA
