Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;0;5;10;23;50;148;166;9;0;1;6;1;0;9;0;0;0;11;428;0,500;P.multocida;1,00;1,00
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;P.multocida;1,00;1,00
Ampicillin;0;0;0;0;0;11;88;307;25;4;2;0;7;1;0;0;0;0;1;12;446;0,500;P.multocida;1,00;1,00
Benzylpenicillin;0;0;0;0;19;102;192;182;7;2;13;0;1;4;0;0;0;0;0;10;522;0,500;P.multocida;0,50;0,50
Cefalexin;0;0;0;0;0;0;0;0;0;9;130;138;5;0;1;0;0;0;0;7;283;8,000;P.multocida;NA;NA
Cefazolin;0;0;0;0;1;1;8;101;96;18;6;1;1;0;0;0;0;0;0;1;233;NA;P.multocida;NA;NA
Cefotaxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;P.multocida;0,03;0,03
Cefquinome;0;0;2;42;156;133;14;2;1;11;0;0;0;0;0;0;0;0;0;8;361;0,125;P.multocida;NA;NA
Ceftiofur;0;7;31;243;90;13;7;4;1;3;0;0;0;0;0;0;0;0;0;9;399;0,060;P.multocida;NA;NA
Chloramphenicol;0;0;0;0;0;0;14;107;139;45;10;9;44;18;6;1;0;0;0;5;393;1,000;P.multocida;NA;NA
Ciprofloxacin;0;7;58;129;17;2;1;0;0;0;0;0;0;0;0;0;0;0;0;5;214;0,030;P.multocida;0,06;0,06
Clindamycin;0;0;0;0;0;0;0;1;1;12;32;61;42;18;5;0;0;0;0;1;172;NA;P.multocida;NA;NA
Dihydrostreptomycin;0;0;0;0;0;0;0;0;1;6;6;5;42;41;8;1;4;26;0;1;140;NA;P.multocida;NA;NA
Doxycycline;0;0;0;0;0;3;83;433;214;79;67;13;5;0;0;0;0;0;0;15;897;1,000;P.multocida;1,00;1,00
Enrofloxacin;0;29;115;170;73;20;6;3;29;22;9;0;0;0;0;2;0;0;0;11;478;0,060;P.multocida;NA;NA
Erythromycin;0;0;0;0;0;0;1;2;5;23;92;139;57;6;10;0;0;0;0;9;335;16,000;P.multocida;NA;NA
Florfenicol;0;0;0;0;0;11;105;1432;3043;119;15;11;5;3;4;0;0;0;0;56;4748;1,000;P.multocida;NA;NA
Flumequine;0;0;0;0;2;124;209;114;28;13;9;5;9;68;4;40;0;0;0;12;625;0,500;P.multocida;NA;NA
Gamithromycin;0;0;0;0;0;0;5;31;106;118;44;2;0;7;0;0;0;0;0;8;313;4,000;P.multocida;NA;NA
Gentamicin;0;0;0;0;0;2;4;4;28;114;243;201;8;6;60;43;4;0;0;13;717;8,000;P.multocida;NA;NA
Kanamycin;0;0;0;0;0;0;0;2;4;32;65;128;341;104;11;30;10;7;0;10;734;32,000;P.multocida;NA;NA
Levofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;P.multocida;0,06;0,06
Neomycin;0;0;0;0;0;0;0;0;1;2;9;110;161;19;7;19;2;0;0;7;330;16,000;P.multocida;NA;NA
Spectinomycin;0;0;0;0;0;0;0;0;0;0;0;8;28;88;29;0;1;6;0;4;160;64,000;P.multocida;NA;NA
Tetracycline;0;0;0;0;0;0;21;354;1099;279;177;27;52;81;76;29;2;0;1;22;2198;2,000;P.multocida;NA;NA
Tiamulin;0;0;0;0;0;0;0;2;1;0;4;11;44;105;100;16;0;0;0;7;283;64,000;P.multocida;NA;NA
Tildipirosin;0;0;0;0;0;0;0;3;54;101;75;22;3;1;0;4;0;0;0;7;263;4,000;P.multocida;NA;NA
Tilmicosin;0;0;0;0;0;0;2;3;17;66;156;171;135;51;4;5;3;0;0;13;613;32,000;P.multocida;NA;NA
Trimethoprim;0;0;0;0;2;15;5;0;0;0;0;0;0;0;0;0;0;0;0;1;22;NA;P.multocida;NA;NA
Trimethoprim-sulfamethoxazole;0;0;4;36;156;105;72;26;35;29;3;2;0;8;0;0;0;0;0;11;476;0,250;P.multocida;0,25;0,25
Tulathromycin;0;0;0;0;0;0;0;0;4;60;149;87;4;1;8;0;0;0;0;8;313;8,000;P.multocida;NA;NA
Tylosin;0;0;0;0;0;0;0;0;0;0;1;1;1;19;65;47;0;0;0;3;134;NA;P.multocida;NA;NA
