Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;4,00;8,0
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;4,00;8,0
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;4,00;8,0
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;4,00;8,0
Benzylpenicillin;0;1;0;3;4;7;13;7;3;3;0;0;0;0;1;0;0;0;0;2;42;NA;Anaerobes,_Grampositive;0,25;0,5
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;8,00;8,0
Ciprofloxacin;0;0;0;0;1;0;8;11;27;18;17;6;2;2;1;0;0;0;0;1;93;NA;Anaerobes,_Grampositive;NA;NA
Clarithromycin;0;0;0;7;0;1;3;1;5;0;1;0;0;0;0;0;0;2;0;1;20;NA;Anaerobes,_Grampositive;NA;NA
Clindamycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;4,00;4,0
Dalbavancin;0;0;0;19;31;28;41;10;1;0;0;0;0;0;0;0;0;0;0;1;130;NA;Anaerobes,_Grampositive;NA;NA
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;1,00;1,0
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;0,50;0,5
Erythromycin;0;0;0;1;6;0;0;1;3;5;0;2;0;0;0;0;0;2;0;1;20;NA;Anaerobes,_Grampositive;NA;NA
Imipenem;0;0;20;29;70;24;4;7;4;1;0;0;0;0;0;0;0;0;0;2;159;NA;Anaerobes,_Grampositive;2,00;4,0
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;2,00;2,0
Levofloxacin;0;0;0;0;0;3;3;34;18;8;29;13;8;3;2;1;0;0;0;1;122;NA;Anaerobes,_Grampositive;NA;NA
Meropenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;2,00;8,0
Metronidazole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;4,00;4,0
Moxifloxacin;0;0;0;0;1;11;46;54;32;9;6;3;2;0;1;0;0;0;0;2;165;NA;Anaerobes,_Grampositive;NA;NA
Piperacillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;8,00;16,0
Piperacillin-tazobactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;8,00;16,0
Quinupristin-dalfopristin;0;0;0;0;0;0;0;2;2;3;2;0;0;0;0;0;0;0;0;1;9;NA;Anaerobes,_Grampositive;NA;NA
Roxithromycin;0;0;0;0;1;6;0;1;0;3;6;0;0;1;0;0;0;0;0;1;18;NA;Anaerobes,_Grampositive;NA;NA
Tedizolid;0;0;0;2;3;3;7;3;12;6;3;1;0;0;0;0;0;0;0;2;40;NA;Anaerobes,_Grampositive;NA;NA
Telithromycin;2;10;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;20;NA;Anaerobes,_Grampositive;NA;NA
Ticarcillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;8,00;16,0
Ticarcillin-clavulanic acid;0;0;0;0;0;16;60;7;13;28;3;3;3;4;1;0;0;0;0;1;138;NA;Anaerobes,_Grampositive;NA;NA
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;8,00;16,0
Vancomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Grampositive;2,00;2,0
