Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;0,50;2,0
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;8,0
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;0,50;2,0
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;4,00;8,0
Benzylpenicillin;0;0;0;8;10;8;9;3;3;7;3;16;3;7;8;3;0;2;0;1;90;NA;Anaerobes,_Gramnegative;0,25;0,5
Cefoxitin;0;0;0;0;0;1;0;44;13;26;13;35;24;12;7;0;0;0;0;1;175;NA;Anaerobes,_Gramnegative;NA;NA
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;8,00;8,0
Clindamycin;0;0;3;57;13;2;2;0;2;0;1;0;0;0;0;0;0;6;2;1;88;NA;Anaerobes,_Gramnegative;4,00;4,0
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;1,00;1,0
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;0,50;0,5
Imipenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;2,00;4,0
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;2,00;2,0
Levofloxacin;0;0;0;0;0;11;9;13;23;28;12;8;10;2;2;0;0;0;0;1;118;NA;Anaerobes,_Gramnegative;NA;NA
Meropenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;2,00;8,0
Metronidazole;0;0;0;7;21;172;69;75;157;104;64;19;7;30;0;0;0;0;0;2;725;NA;Anaerobes,_Gramnegative;4,00;4,0
Piperacillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;16,00;16,0
Piperacillin-tazobactam;0;0;0;5;1;0;116;8;2;13;8;7;1;4;0;1;0;0;0;1;166;NA;Anaerobes,_Gramnegative;8,00;16,0
Ticarcillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;16,00;16,0
Ticarcillin-clavulanic acid;0;0;0;0;0;9;105;21;15;5;20;5;3;5;0;0;0;0;0;1;188;NA;Anaerobes,_Gramnegative;NA;NA
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anaerobes,_Gramnegative;8,00;16,0
