Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;9;56;418;1453;1639;637;145;33;13;4;11;7;10;4425;16,000;Enterobacterales;8,000;8,000
Amoxicillin;0;0;0;0;0;0;0;13;236;80;11;50;2;4;18;17;10;13;107;4;561;2,000;Enterobacterales;8,000;8,000
Amoxicillin-clavulanic acid (fixed);0;0;0;0;0;0;0;0;5;34;7;1;1;0;2;0;0;0;0;1;50;NA;Enterobacterales;NA;NA
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin;0;0;0;0;0;0;0;11;189;1564;1290;122;26;26;1075;148;10;69;0;7;4530;8,000;Enterobacterales;8,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam (fixed);0;0;0;0;0;0;0;0;28;13;3;2;1;0;0;1;1;0;0;1;49;NA;Enterobacterales;NA;NA
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;0;13;219;945;407;134;89;102;86;50;0;0;0;3;2045;4,000;Enterobacterales;NA;NA
Aztreonam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;4,000
Cefaclor;0;0;0;0;0;0;0;0;0;55;35;8;0;0;0;0;0;0;0;1;98;NA;Enterobacterales;NA;NA
Cefadroxil;0;0;0;0;0;0;0;0;0;0;1;2;13;9;0;0;0;0;0;1;25;NA;Enterobacterales;16,000;16,000
Cefalexin;0;0;0;0;0;0;0;0;0;0;0;39;83;27;5;0;0;5;0;2;159;NA;Enterobacterales;16,000;16,000
Cefaloridine;0;0;0;0;0;0;0;0;1;7;15;7;0;0;3;0;0;0;0;1;33;NA;Enterobacterales;NA;NA
Cefalothin;0;0;0;0;0;0;0;0;1;9;119;173;32;8;7;5;1;2;6;3;363;NA;Enterobacterales;NA;NA
Cefazolin;0;0;0;0;0;0;0;0;0;0;60;156;43;16;4;1;5;1;1;6;287;NA;Enterobacterales;0,001;4,000
Cefepime;0;0;8;7;46;303;29;25;10;9;9;17;10;8;13;7;10;3;0;3;514;0,125;Enterobacterales;1,000;4,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Cefixime;0;5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20;NA;Enterobacterales;1,000;1,000
Cefoperazone;0;0;0;0;0;0;0;1;15;37;5;4;2;4;1;4;11;38;0;1;122;NA;Enterobacterales;NA;NA
Cefotaxime;0;1;107;212;71;11;2;3;3;13;1;1;2;1;2;4;1;1;0;4;436;0,064;Enterobacterales;1,000;2,000
Cefoxitin;0;0;0;0;0;0;0;3;8;269;3818;3461;487;130;53;43;1;2;0;13;8275;8,000;Enterobacterales;NA;NA
Cefpirome;0;1;3;24;73;69;12;8;3;0;0;0;0;0;0;0;0;0;0;2;193;NA;Enterobacterales;NA;NA
Cefpodoxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,500;0,500
Ceftazidime;0;0;6;86;517;461;92;50;37;30;10;9;2;4;2;2;0;3;0;5;1311;0,125;Enterobacterales;1,000;4,000
Ceftazidime-avibactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ceftibuten;0;0;24;135;159;23;7;2;0;0;0;1;0;0;0;0;0;0;0;2;351;NA;Enterobacterales;1,000;1,000
Ceftobiprole;0;0;2;201;1247;397;47;23;15;5;8;5;4;19;3;13;0;0;0;8;1989;0,125;Enterobacterales;0,250;0,250
