Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;8;35;118;109;46;14;1;3;4;0;0;0;6;338;8,000;Enterobacterales;8,000;8,000
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Amoxicillin-clavulanic acid (fixed);0;0;0;0;0;0;0;0;0;20;78;132;73;26;10;5;2;19;127;1;492;NA;Enterobacterales;NA;NA
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin;0;0;0;0;0;0;0;0;1;16;5;2;2;4;312;16;0;0;0;3;358;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;0;1;0;92;206;316;162;58;17;6;4;0;128;5;990;16,000;Enterobacterales;NA;NA
Aztreonam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;4,000
Cefadroxil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefalexin;0;0;0;0;0;0;0;0;0;0;0;0;3;3;13;9;16;15;0;1;59;NA;Enterobacterales;16,000;16,000
Cefazolin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,001;4,000
Cefepime;0;0;0;1;15;28;9;2;0;1;2;1;5;2;1;0;0;0;0;2;67;NA;Enterobacterales;1,000;4,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Cefixime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Cefoperazone;0;0;0;0;0;0;0;0;0;10;4;0;1;1;2;2;2;3;0;1;25;NA;Enterobacterales;NA;NA
Cefotaxime;0;0;14;22;27;23;20;11;3;0;0;0;4;2;1;0;0;4;0;3;131;0,125;Enterobacterales;1,000;2,000
Cefoxitin;0;0;0;0;0;0;0;1;3;1;83;153;89;11;3;8;0;0;0;5;352;NA;Enterobacterales;NA;NA
Cefpirome;0;0;0;3;1;10;11;8;2;0;0;0;0;0;0;0;0;0;0;1;35;NA;Enterobacterales;NA;NA
Cefpodoxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,500;0,500
Ceftazidime;0;0;0;10;52;82;12;2;6;1;1;1;1;1;0;0;0;0;0;2;169;NA;Enterobacterales;1,000;4,000
Ceftazidime-avibactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ceftibuten;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Ceftobiprole;0;0;0;0;3;3;1;2;6;2;0;0;5;144;0;5;0;0;0;7;171;NA;Enterobacterales;0,250;0,250
Ceftolozane;0;0;0;0;0;0;0;1;9;7;1;0;0;0;0;0;0;0;0;1;18;NA;Enterobacterales;NA;NA
Ceftolozane-tazobactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;2,000
Cefuroxime;0;0;0;0;0;0;0;0;9;29;27;29;33;40;294;33;219;74;0;8;787;NA;Enterobacterales;0,001;8,000
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ciprofloxacin;0;0;7;28;40;8;9;1;5;0;0;0;0;2;1;0;0;0;0;3;101;0,064;Enterobacterales;0,250;0,500
Colistin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,125;0,125
Doripenem;0;0;0;0;0;40;105;45;5;0;0;0;0;0;0;0;0;0;0;7;195;0,500;Enterobacterales;1,000;2,000
Doxycycline;0;0;0;0;0;0;0;1;2;6;21;32;28;5;15;3;0;0;0;2;113;NA;Enterobacterales;NA;NA
Eravacycline;0;0;0;0;0;0;3;30;156;228;12;1;0;0;0;0;0;0;0;5;430;2,000;Enterobacterales;0,500;0,500
Ertapenem;0;0;18;137;70;16;20;9;7;1;0;0;2;0;0;0;0;0;0;3;280;NA;Enterobacterales;0,500;0,500
Fosfomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;32,000;32,000
Gatifloxacin;0;0;0;2;11;57;105;41;9;1;4;0;2;0;0;0;0;0;0;4;232;0,500;Enterobacterales;NA;NA
Gemifloxacin;0;0;0;0;40;79;78;11;10;5;1;0;3;0;0;0;0;0;0;2;227;NA;Enterobacterales;NA;NA
Gentamicin;0;0;0;0;0;0;16;174;318;194;44;16;5;13;3;5;3;2;130;5;923;2,000;Enterobacterales;2,000;2,000
Imipenem;0;0;0;0;1;8;88;124;244;370;384;150;38;12;12;0;0;0;131;11;1562;4,000;Enterobacterales;2,000;4,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
