Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;92;318;917;5395;6232;2845;983;88;139;15;5;0;12;17029;16,0;Pseudomonas;16,000;16,0
Aztreonam;0;0;0;0;1;2;6;8;18;52;314;636;273;197;144;41;9;1;0;10;1702;16,0;Pseudomonas;0,001;16,0
Cefepime;0;0;0;1;1;1;100;155;797;3815;10617;7352;6155;4476;3789;121;43;12;0;13;37435;8,0;Pseudomonas;0,001;8,0
Cefiderocol;48;73;64;81;164;498;653;434;135;64;15;2;0;0;0;0;0;0;0;3;2231;NA;Pseudomonas;2,000;2,0
Cefotaxime;0;0;0;0;2;3;2;2;10;13;21;93;412;419;274;155;79;14;0;6;1499;32,0;Pseudomonas;NA;NA
Cefpirome;0;0;0;0;0;0;0;1;9;135;262;154;77;38;16;6;6;0;0;4;704;NA;Pseudomonas;NA;NA
Cefpodoxime;0;0;0;0;0;0;8;0;3;1;0;0;1;2;2;7;414;0;0;1;438;NA;Pseudomonas;NA;NA
Ceftazidime;0;0;0;1;4;7;31;292;969;5999;12379;6295;2724;1691;794;765;206;116;106;74;32379;8,0;Pseudomonas;0,001;8,0
Ceftazidime-avibactam;0;0;0;0;0;0;0;1;20;96;82;42;20;22;17;16;8;0;0;3;324;NA;Pseudomonas;8,000;8,0
Ceftobiprole;0;0;0;1;4;6;4;45;256;1059;1292;950;834;555;98;168;0;0;0;17;5272;8,0;Pseudomonas;NA;NA
Ceftolozane;0;0;0;0;0;0;1;39;848;940;454;461;198;45;49;673;0;0;0;8;3708;4,0;Pseudomonas;NA;NA
Ceftolozane-tazobactam;0;0;0;0;0;0;8;150;1738;1528;737;533;225;68;82;645;2;8;0;17;5724;4,0;Pseudomonas;4,000;4,0
Ciprofloxacin;0;0;19;42;534;3044;9326;4531;3205;1852;1491;863;924;513;498;720;137;26;105;71;27836;0,5;Pseudomonas;0,001;0,5
Colistin;0;0;0;0;0;4;17;103;1538;9273;8012;411;43;58;14;5;13;0;6;22;19497;4,0;Pseudomonas;2,000;2,0
Doripenem;0;0;0;7;68;531;1616;2146;2165;1431;790;877;661;595;45;7;0;0;0;16;10939;1,0;Pseudomonas;0,001;2,0
Enrofloxacin;0;0;0;0;0;0;2;9;61;32;4;13;0;0;0;0;0;0;0;4;121;NA;Pseudomonas;NA;NA
Eravacycline;0;0;0;2;1;1;2;4;13;39;62;464;677;215;45;0;1;0;0;5;1526;32,0;Pseudomonas;NA;NA
Ertapenem;0;0;0;1;1;1;4;4;20;38;102;131;131;99;37;44;0;0;0;2;613;NA;Pseudomonas;NA;NA
Gatifloxacin;0;0;0;0;4;85;116;493;2289;1179;831;443;489;357;66;16;2;6;106;8;6482;NA;Pseudomonas;NA;NA
Gemifloxacin;0;0;0;0;44;54;405;678;279;179;86;58;95;14;8;10;0;0;0;5;1910;NA;Pseudomonas;NA;NA
Gentamicin;0;0;0;1;3;3;58;333;959;4452;8682;4317;1410;647;203;451;46;149;147;50;21861;8,0;Pseudomonas;NA;NA
Imipenem;0;0;1;2;5;80;272;1174;8348;24802;12746;4268;4113;6840;629;366;20;27;108;69;63801;4,0;Pseudomonas;0,001;4,0
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Pseudomonas;2,000;2,0
Kanamycin;0;0;0;0;0;0;1;0;0;2;4;2;2;16;48;150;115;98;0;1;438;NA;Pseudomonas;NA;NA
Levofloxacin;0;0;0;0;19;98;387;2884;4692;2464;1745;1203;470;289;237;296;87;0;0;11;14871;2,0;Pseudomonas;0,001;1,0
Meropenem;0;0;5;39;133;2620;6006;10839;11956;8795;5156;3762;3227;3935;386;443;31;13;0;56;57346;2,0;Pseudomonas;2,000;8,0
Meropenem-vaborbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Pseudomonas;8,000;8,0
Moxifloxacin;0;0;0;1;17;19;86;236;758;1924;976;620;671;208;180;182;443;8;0;9;6329;4,0;Pseudomonas;NA;NA
Netilmicin;0;0;0;0;0;2;4;8;53;175;235;192;74;36;9;1;7;42;25;5;863;8,0;Pseudomonas;NA;NA
Norfloxacin;0;0;0;0;0;0;6;49;139;38;17;8;0;0;0;1;0;0;0;2;258;NA;Pseudomonas;NA;NA
Ofloxacin;0;0;0;0;3;6;26;98;586;561;275;180;133;48;145;102;0;0;0;8;2163;2,0;Pseudomonas;NA;NA
Piperacillin;0;0;0;0;0;0;9;4;45;340;1095;3429;1446;884;331;237;199;245;192;12;8456;16,0;Pseudomonas;0,001;16,0
Piperacillin-tazobactam;0;0;5;1;0;4;23;37;453;886;3147;10479;5692;3595;1879;1506;3135;863;161;71;31866;16,0;Pseudomonas;0,001;16,0
Sparfloxacin;0;0;0;0;0;1;9;46;119;183;84;40;34;31;21;26;10;3;0;2;607;NA;Pseudomonas;NA;NA
Sulbactam;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;2;8;5;328;1;347;NA;Pseudomonas;NA;NA
Ticarcillin;0;0;0;0;0;0;1;1;2;247;71;119;386;3761;5303;1917;2106;2806;30;3;16750;NA;Pseudomonas;0,001;16,0
Ticarcillin-clavulanic acid;0;0;0;0;0;0;1;1;2;545;138;260;955;5251;10981;4742;4496;5206;12;4;32590;16,0;Pseudomonas;NA;NA
Ticarcillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Pseudomonas;0,001;16,0
