Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;1;2358;9523;3498;376;26;0;1;0;1;0;0;3;15784;4,000;Enterobacterales;8,000;8,000
Amoxicillin;0;0;0;0;0;0;0;6;2418;5791;207;6;4;2;14;1148;553;0;0;6;10149;4,000;Enterobacterales;8,000;8,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin;0;0;0;0;0;0;0;12;172;2752;1673;137;16;11;360;32;28;0;0;7;5193;4,000;Enterobacterales;8,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Azithromycin;0;0;0;0;0;0;2;1;6;75;2810;7968;1630;106;19;0;0;0;0;6;12617;16,000;Enterobacterales;NA;NA
Aztreonam;0;0;0;0;12;37;18;3;1;0;0;0;0;0;0;0;0;0;0;2;71;NA;Enterobacterales;1,000;4,000
Cefadroxil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefalexin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefalothin;0;0;0;0;0;0;0;0;3;4;1954;2554;603;162;57;13;10;0;0;4;5360;16,000;Enterobacterales;NA;NA
Cefazolin;0;0;0;0;0;0;0;0;3;88;25;4;1;0;0;0;0;0;0;3;121;NA;Enterobacterales;0,001;4,000
Cefepime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;4,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Cefixime;0;0;0;0;0;0;19;15;1;2;0;0;0;0;0;0;0;0;0;1;37;NA;Enterobacterales;1,000;1,000
Cefoperazone;0;0;0;0;0;0;0;6;109;24;3;12;6;0;10;8;0;0;0;1;178;NA;Enterobacterales;NA;NA
Cefotaxime;0;0;0;0;4;655;11028;1358;189;19;2;6;8;35;11;0;0;0;0;10;13315;0,500;Enterobacterales;1,000;2,000
Cefoxitin;0;0;0;0;0;0;0;5;631;3512;17713;8554;973;350;1527;1273;0;0;0;8;34538;8,000;Enterobacterales;NA;NA
Cefpirome;0;0;0;0;1;11;16;6;0;0;0;2;0;1;0;0;0;0;0;1;37;NA;Enterobacterales;NA;NA
Cefpodoxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,500;0,500
Ceftazidime;0;0;0;0;0;4;168;415;2144;1663;1089;17;8;10;16;1;0;0;0;5;5535;2,000;Enterobacterales;1,000;4,000
Ceftazidime-avibactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ceftibuten;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Ceftiofur;0;0;0;0;0;0;45;419;17884;13939;499;107;373;3271;0;0;0;0;0;10;36537;2,000;Enterobacterales;NA;NA
