Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;2;4;74;319;120;27;15;10;6;1;2;0;6;580;8,000;Enterobacterales;8,000;8,000
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin;0;0;0;0;0;0;0;1;2;1;10;58;151;358;2956;184;126;111;151;6;4109;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;0;0;1;0;5;32;80;221;512;401;35;31;152;3;1470;NA;Enterobacterales;NA;NA
Aztreonam;0;0;0;0;7;37;34;23;9;2;5;2;3;2;1;2;0;0;0;3;127;NA;Enterobacterales;1,000;4,000
Cefadroxil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefalexin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefazolin;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;78;0;0;3;81;NA;Enterobacterales;0,001;4,000
Cefepime;0;0;2;7;17;152;34;53;41;29;32;5;3;2;2;3;9;33;0;2;424;NA;Enterobacterales;1,000;4,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Cefixime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Cefoperazone;0;0;0;0;0;0;0;0;1;3;5;6;6;6;17;23;13;59;0;1;139;NA;Enterobacterales;NA;NA
Cefotaxime;0;0;0;0;0;3;51;35;34;44;12;19;33;25;24;9;1;48;0;4;338;1,000;Enterobacterales;1,000;2,000
Cefoxitin;0;0;0;0;0;0;0;1;4;2;13;63;787;2691;1770;581;46;14;0;7;5972;NA;Enterobacterales;NA;NA
Cefpodoxime;0;0;0;0;0;0;1;30;209;277;94;59;32;26;25;50;10;0;154;3;967;NA;Enterobacterales;1,000;1,000
