Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Benzylpenicillin;0;0;0;0;0;0;0;0;0;0;1;2;1;1;3;19;172;0;0;2;199;NA;Staphylococcus;0,125;0,125
Cefoxitin;0;0;0;0;0;0;0;0;0;0;0;1;5;18;69;55;12;9;0;3;169;4,000;Staphylococcus;NA;NA
Ceftaroline;0;0;0;0;5;18;689;4422;3101;1491;447;2;6;0;0;0;0;0;0;3;10181;0,500;Staphylococcus;16,000;2,000
Ceftobiprole;0;0;0;0;1;9;14;106;4463;9138;2808;208;1;3;0;0;0;0;0;21;16751;1,000;Staphylococcus;2,000;2,000
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Ciprofloxacin;0;0;0;0;0;0;1;4;14;3;1;0;6;12;23;76;185;81;0;5;406;1,000;Staphylococcus;0,001;1,000
Clarithromycin;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;42;0;1;50;NA;Staphylococcus;1,000;2,000
Clindamycin;0;0;0;0;3;70;225;71;2;0;0;0;0;0;0;0;1;50;0;5;422;0,250;Staphylococcus;0,250;0,500
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,125;0,125
Daptomycin;0;0;0;0;0;0;16;131;244;57;0;0;0;0;0;0;0;0;0;4;448;1,000;Staphylococcus;1,000;1,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Doripenem;0;0;0;5;34;236;776;1436;1942;1662;1154;1214;1342;3094;501;73;0;0;0;15;13469;NA;Staphylococcus;NA;NA
Doxycycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Erythromycin;0;0;0;0;0;0;1;16;106;3;1;5;0;2;1;0;22;314;0;6;471;1,000;Staphylococcus;1,000;2,000
Fosfomycin;0;0;0;0;0;0;0;0;22;29;26;45;16;5;2;2;6;1;8;1;162;NA;Staphylococcus;32,000;32,000
Fusidic acid;0;0;0;0;6;93;334;95;5;3;5;19;12;6;1;3;2;1;16;7;601;0,500;Staphylococcus;NA;NA
Fusidic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Gentamicin;0;0;0;0;0;9;51;146;58;9;0;0;0;0;3;8;2;0;0;3;286;2,000;Staphylococcus;1,000;1,000
Lefamulin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Levofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,001;1,000
Linezolid;0;0;0;0;0;0;0;0;0;36;1392;1143;2;1;0;0;0;0;0;6;2574;NA;Staphylococcus;4,000;4,000
Minocycline;0;0;0;0;0;6;300;89;6;0;1;1;1;0;0;0;0;0;0;4;404;0,500;Staphylococcus;0,500;0,500
Moxifloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Mupirocin;0;0;0;0;1;10;123;1452;733;30;7;22;15;19;11;0;0;0;34;4;2457;1,000;Staphylococcus;NA;NA
Nitrofurantoin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;64,000;64,000
