Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Benzylpenicillin;0;0;0;0;14;26;3;1;2;2;3;4;10;13;37;30;143;0;0;2;288;NA;Staphylococcus;0,125;0,125
Cefoxitin;0;0;0;0;0;0;0;0;0;0;6;244;24;0;0;0;0;0;0;3;274;4,000;Staphylococcus;NA;NA
Ceftaroline;0;0;0;0;0;6;246;1169;61;11;1;0;0;0;0;0;0;0;0;3;1494;0,500;Staphylococcus;1,000;2,000
Ceftobiprole;0;0;0;0;4;73;383;10181;5665;320;8;0;0;0;0;0;0;0;0;20;16634;1,000;Staphylococcus;2,000;2,000
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Ciprofloxacin;0;0;0;0;0;0;10;83;292;146;9;5;3;4;6;6;10;4;0;5;578;1,000;Staphylococcus;0,001;1,000
Clarithromycin;0;0;0;0;0;27;12;0;0;0;0;0;0;0;0;0;0;11;0;1;50;NA;Staphylococcus;1,000;2,000
Clindamycin;0;0;0;0;2;176;404;42;2;0;1;0;0;0;0;0;0;2;0;5;629;0,250;Staphylococcus;0,250;0,500
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,125;0,125
Daptomycin;0;0;0;0;0;0;0;49;338;58;0;0;0;0;0;0;0;0;0;3;445;1,000;Staphylococcus;1,000;1,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Doripenem;0;0;0;196;816;135;16;13;9;4;2;0;0;0;0;0;0;0;0;4;1191;0,125;Staphylococcus;NA;NA
Doxycycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Erythromycin;0;0;0;0;0;0;2;64;468;24;5;42;1;2;3;3;4;62;0;6;680;1,000;Staphylococcus;1,000;2,000
Fosfomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;32,000;32,000
Fusidic acid;0;0;0;0;3;69;609;655;164;23;24;48;47;78;23;2;0;1;4;8;1750;0,500;Staphylococcus;NA;NA
Fusidic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Gentamicin;0;0;0;0;1;1;36;275;193;53;9;2;3;0;1;1;1;0;0;5;576;2,000;Staphylococcus;1,000;1,000
Lefamulin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Levofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,001;1,000
Linezolid;0;0;0;0;0;0;0;0;0;17;1249;350;0;0;0;0;0;0;0;6;1616;NA;Staphylococcus;4,000;4,000
Minocycline;0;0;0;0;0;8;419;118;20;3;1;1;1;0;0;0;0;0;0;4;571;0,500;Staphylococcus;0,500;0,500
Moxifloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Mupirocin;0;0;0;0;0;5;117;881;162;5;0;1;0;0;0;0;0;0;2;3;1173;1,000;Staphylococcus;NA;NA
Nitrofurantoin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;64,000;64,000
