Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;2;0;1;0;0;37;101;349;1873;2666;943;322;83;64;3;2;0;18;6446;16,000;Staphylococcus;8,000;8,000
Ampicillin;0;0;0;0;2;7;96;210;276;302;97;10;13;30;18;34;1;1;0;3;1097;NA;Staphylococcus;NA;NA
Avilamycin;0;0;0;0;0;0;0;0;0;0;2;11;1;0;0;0;0;0;0;1;14;NA;Staphylococcus;NA;NA
Azithromycin;0;0;0;0;2;5;7;345;1873;1869;182;31;29;86;30;1218;1646;0;0;3;7323;2,000;Staphylococcus;1,000;2,000
Benzylpenicillin;0;0;82;490;429;180;158;269;730;737;651;616;2909;65;283;155;123;1;0;8;7878;0,125;Staphylococcus;0,125;0,125
Cefaclor;0;0;0;0;0;0;0;0;143;424;1824;1395;280;117;104;166;753;0;0;1;5206;NA;Staphylococcus;NA;NA
Cefadroxil;0;0;0;0;0;0;0;0;0;0;20;3;4;0;0;0;5;8;0;1;40;NA;Staphylococcus;NA;NA
Cefalexin;0;0;0;0;0;0;0;0;1;16;34;13;10;5;5;7;5;6;0;1;102;NA;Staphylococcus;NA;NA
Cefalothin;0;0;0;0;1;12;136;390;122;30;14;6;1;0;3;2;0;0;0;5;717;1,000;Staphylococcus;NA;NA
Cefazolin;0;0;0;0;0;18;359;3277;7870;4718;878;250;181;157;1343;0;0;0;201;5;19252;2,000;Staphylococcus;NA;NA
Cefepime;0;0;1;12;10;4;8;34;180;548;2043;854;98;33;13;64;8;12;0;38;3922;8,000;Staphylococcus;NA;NA
Cefixime;0;0;0;0;0;0;0;0;0;0;0;0;17;2;4;9;0;0;0;1;32;NA;Staphylococcus;NA;NA
Cefoperazone;0;0;0;0;0;4;0;1;10;69;599;95;20;2;2;2;2;0;0;1;806;NA;Staphylococcus;NA;NA
Cefotaxime;0;0;2;0;1;3;18;103;383;2174;2383;400;92;25;242;10;6;15;0;41;5857;4,000;Staphylococcus;NA;NA
Cefotaxime-clavulanate;0;0;1;0;0;1;0;0;2;1;48;12;0;0;0;0;0;0;0;3;65;NA;Staphylococcus;NA;NA
Cefoxitin;0;0;0;0;0;0;1;9;67;273;217;160;8;1;7;6;3;4;0;12;756;4,000;Staphylococcus;NA;NA
Cefpodoxime;0;0;0;0;0;0;7;10;23;597;3340;193;96;72;900;0;1;2;0;2;5241;NA;Staphylococcus;NA;NA
Ceftaroline;0;0;0;0;5;27;935;5637;3380;1542;474;3;6;0;0;0;0;0;0;5;12009;0,500;Staphylococcus;16,000;2,000
Ceftiofur;0;0;0;0;0;0;4;13;63;43;0;0;0;0;0;0;0;0;0;3;123;NA;Staphylococcus;NA;NA
Ceftobiprole;0;0;0;1;0;95;313;10356;7881;5781;2262;119;1;3;0;0;0;0;0;10;26812;1,000;Staphylococcus;2,000;2,000
Ceftriaxone;0;0;0;0;0;0;0;0;0;4;154;213;9;9;1;3;1;1;0;4;395;8,000;Staphylococcus;NA;NA
Cefuroxime;0;0;0;2;3;2;55;363;1265;7253;1443;234;125;890;247;1;0;8;0;9;11891;4,000;Staphylococcus;NA;NA
Chloramphenicol;0;0;0;0;0;0;0;0;0;10;39;517;1215;61;19;35;2;0;0;6;1898;16,000;Staphylococcus;8,000;8,000
Ciprofloxacin;0;0;3;16;121;785;5424;13558;14717;2982;869;265;1961;425;260;449;383;111;40;68;42369;1,000;Staphylococcus;0,001;1,000
Clarithromycin;0;0;0;2;7;181;1889;1963;116;22;20;43;43;33;50;2777;0;0;0;1;7146;NA;Staphylococcus;1,000;2,000
Clinafloxacin;0;0;0;0;654;1216;542;63;49;118;100;93;1;1;0;0;0;0;203;2;3040;NA;Staphylococcus;NA;NA
Clindamycin;0;0;1;23;1080;7188;13636;720;71;26;16;39;1229;1192;88;9;9;66;562;14;25955;0,250;Staphylococcus;0,250;0,500
Cloxacillin;0;0;0;0;4;29;395;646;106;1;0;0;0;0;0;0;0;0;0;1;1181;NA;Staphylococcus;NA;NA
Dalbavancin;0;0;10;366;10805;16195;1502;309;41;17;2;0;0;2;0;0;0;0;0;15;29249;0,125;Staphylococcus;0,125;0,125
Daptomycin;0;0;0;1;0;706;8047;18321;8505;614;14;0;0;0;0;0;0;0;0;28;36208;1,000;Staphylococcus;1,000;1,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Doripenem;0;0;0;35;1121;1234;61;7;3;1;1;0;0;0;0;0;0;0;0;2;2463;NA;Staphylococcus;NA;NA
Doxycycline;0;0;0;20;195;1208;2018;742;155;129;245;202;67;37;14;3;1;1;0;7;5037;0,500;Staphylococcus;1,000;2,000
Eravacycline;0;0;7;19;523;1711;512;112;53;21;0;0;0;0;0;0;0;0;0;5;2958;0,250;Staphylococcus;0,250;0,250
Ertapenem;0;0;5;2;7;64;572;262;41;14;7;16;17;16;16;7;11;10;0;5;1067;NA;Staphylococcus;NA;NA
Erythromycin;0;0;0;17;62;967;4960;16140;7181;868;127;175;982;3550;71;1293;1649;236;1037;30;39315;1,000;Staphylococcus;1,000;2,000
Florfenicol;0;0;0;0;0;0;0;0;0;0;45;74;3;1;0;0;0;0;0;3;123;8,000;Staphylococcus;NA;NA
Fosfomycin;0;0;0;0;0;0;2;2;113;255;415;411;481;314;123;52;31;3;11;8;2213;32,000;Staphylococcus;32,000;32,000
