Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;39;59;34;6;4;4;0;1;2;0;0;0;1;149;NA;Staphylococcus;8,000;8,000
Ampicillin;0;0;0;0;0;0;21;9;11;52;53;7;15;35;36;3;0;0;0;2;242;NA;Staphylococcus;NA;NA
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Benzylpenicillin;0;0;0;31;19;5;12;20;13;8;11;12;14;24;28;17;0;0;0;1;214;NA;Staphylococcus;0,125;0,125
Cefazolin;0;0;0;0;0;0;70;73;18;4;8;5;3;6;20;0;0;0;209;1;416;NA;Staphylococcus;NA;NA
Cefepime;0;0;0;0;0;0;9;43;72;44;26;12;20;27;15;1;0;0;0;3;269;NA;Staphylococcus;NA;NA
Cefotaxime;0;0;0;0;0;0;6;20;42;51;11;9;7;1;6;0;0;0;0;2;153;NA;Staphylococcus;NA;NA
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Ceftobiprole;0;0;0;0;1;91;5;15;32;9;6;2;0;0;0;0;0;0;0;6;161;NA;Staphylococcus;2,000;2,000
Ceftriaxone;0;0;0;0;0;0;0;1;11;39;73;14;6;18;29;23;0;0;0;1;214;NA;Staphylococcus;NA;NA
Cefuroxime;0;0;0;0;0;0;23;37;53;13;8;6;1;1;7;0;0;0;0;1;149;NA;Staphylococcus;NA;NA
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Ciprofloxacin;0;0;0;0;3;7;52;154;33;9;3;4;20;0;0;1;0;0;0;3;286;1,0;Staphylococcus;0,001;1,000
Clarithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Clindamycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,500
Dalbavancin;0;0;0;22;14;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;51;NA;Staphylococcus;0,125;0,125
Daptomycin;0;0;0;0;0;0;0;3;16;11;0;0;0;0;0;0;0;0;0;1;30;NA;Staphylococcus;1,000;1,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Doxycycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Erythromycin;0;0;0;1;0;38;74;47;12;0;1;1;2;38;4;0;0;0;213;2;431;NA;Staphylococcus;1,000;2,000
Fosfomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;32,000;32,000
Fusidic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Gentamicin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Lefamulin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Levofloxacin;0;0;0;0;1;2;85;277;40;5;4;13;22;1;5;0;0;0;212;4;667;0,5;Staphylococcus;0,001;1,000
Linezolid;0;0;0;0;0;0;5;10;69;170;28;0;0;0;0;0;0;0;0;2;282;NA;Staphylococcus;4,000;4,000
Meropenem;0;0;1;2;14;31;38;13;2;7;4;6;5;1;0;0;0;0;0;3;124;0,5;Staphylococcus;NA;NA
