Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Benzylpenicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,125;0,125
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;16,000;2,000
Ceftobiprole;0;0;1;1;0;4;3;5;54;176;71;42;1;0;0;0;0;0;0;3;358;NA;Staphylococcus;2,000;2,000
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Ciprofloxacin;0;0;0;0;0;0;15;62;15;5;12;27;37;7;26;111;63;32;0;3;412;NA;Staphylococcus;0,001;1,000
Clarithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Clindamycin;0;0;0;0;3;127;222;76;16;4;2;5;23;6;8;18;15;119;0;5;644;0,250;Staphylococcus;0,250;0,500
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,125;0,125
Daptomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Doxycycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Erythromycin;0;0;0;0;0;0;5;39;54;6;0;1;1;9;27;31;36;319;0;4;528;1,000;Staphylococcus;1,000;2,000
Fosfomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;32,000;32,000
Fusidic acid;0;0;0;0;5;84;104;30;4;1;4;11;31;77;111;7;1;1;8;4;479;0,500;Staphylococcus;NA;NA
Fusidic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Gentamicin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Lefamulin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Levofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,001;1,000
Linezolid;0;0;0;0;0;0;0;0;22;470;35;0;0;1;0;0;0;0;0;4;528;NA;Staphylococcus;4,000;4,000
Minocycline;0;0;0;0;0;49;133;123;187;22;7;2;0;3;2;0;0;0;0;4;528;NA;Staphylococcus;0,500;0,500
Moxifloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Mupirocin;0;0;0;0;0;0;16;49;21;5;1;1;1;1;8;0;0;3;36;1;142;NA;Staphylococcus;NA;NA
Nitrofurantoin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;64,000;64,000
