Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Benzylpenicillin;0;0;0;3;27;10;16;26;30;22;27;42;93;92;88;55;94;0;0;2;625;NA;Staphylococcus;0,125;0,125
Cefadroxil;0;0;0;0;0;0;0;1;2;10;5;15;2;3;0;1;0;1;0;1;40;NA;Staphylococcus;NA;NA
Cefalexin;0;0;0;0;0;0;0;0;3;6;16;6;4;3;0;0;0;1;0;1;39;NA;Staphylococcus;NA;NA
Cefalothin;0;0;0;0;4;9;126;169;116;34;13;5;3;1;7;11;20;1;0;3;519;NA;Staphylococcus;NA;NA
Cefixime;0;0;0;0;0;0;0;0;0;6;13;8;3;11;9;0;0;0;0;2;50;NA;Staphylococcus;NA;NA
Cefotaxime;0;0;0;1;1;2;17;57;98;76;57;63;46;13;14;41;1;3;0;3;490;2,000;Staphylococcus;NA;NA
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Ceftobiprole;0;0;0;0;0;301;738;651;1430;1600;600;316;8;0;0;0;0;0;0;7;5644;NA;Staphylococcus;2,000;2,000
Cefuroxime;0;0;0;0;0;5;69;51;48;63;64;55;37;7;25;0;0;2;0;3;426;NA;Staphylococcus;NA;NA
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Ciprofloxacin;0;0;0;0;8;46;688;1357;514;143;126;152;245;24;60;53;92;18;21;7;3547;1,000;Staphylococcus;0,001;1,000
Clarithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Clindamycin;0;0;0;19;80;271;88;52;7;1;2;1;1;1;0;2;0;115;0;5;640;0,250;Staphylococcus;0,250;0,500
Dalbavancin;0;0;20;925;1944;2173;837;339;84;25;12;1;0;0;0;0;0;0;0;11;6360;NA;Staphylococcus;0,125;0,125
Daptomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Doripenem;0;0;0;11;17;12;11;6;14;18;10;8;10;6;1;0;0;0;0;2;124;NA;Staphylococcus;NA;NA
Doxycycline;0;0;0;0;0;3;13;2;6;1;1;3;4;3;4;0;0;0;0;1;40;NA;Staphylococcus;1,000;2,000
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Erythromycin;0;0;0;0;0;1;19;268;297;22;6;5;8;15;45;45;39;160;212;8;1142;1,000;Staphylococcus;1,000;2,000
Fosfomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;32,000;32,000
Fusidic acid;0;0;0;3;3;82;202;190;20;5;1;21;54;142;63;5;0;1;16;5;808;0,500;Staphylococcus;NA;NA
Fusidic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Gatifloxacin;0;0;0;17;29;47;93;24;15;16;8;23;9;0;1;4;0;0;0;1;286;NA;Staphylococcus;NA;NA
Gemifloxacin;0;0;3;22;11;4;0;0;1;0;0;0;0;0;0;0;0;0;0;1;41;NA;Staphylococcus;NA;NA
Gentamicin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Imipenem;6;25;157;269;242;147;107;46;38;24;14;15;10;10;16;18;0;0;0;7;1144;0,125;Staphylococcus;NA;NA
