Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;40;314;494;288;180;190;131;76;279;1;1;0;3;1994;NA;Staphylococcus;8,000;8,000
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Benzylpenicillin;0;0;3;227;143;81;140;205;351;500;669;842;1028;756;514;275;53;0;0;5;5787;NA;Staphylococcus;0,125;0,125
Cefazolin;0;0;0;0;0;0;122;208;88;176;295;212;111;84;201;1;0;0;0;2;1498;NA;Staphylococcus;NA;NA
Cefepime;0;0;0;0;1;4;12;163;672;518;862;1354;892;570;618;20;0;0;0;3;5686;NA;Staphylococcus;NA;NA
Cefotaxime;0;0;0;0;0;5;28;114;204;113;137;408;363;51;59;1;0;0;0;2;1483;NA;Staphylococcus;NA;NA
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Ceftobiprole;0;0;0;1;0;49;291;279;746;870;154;60;0;0;0;0;0;0;0;7;2450;NA;Staphylococcus;2,000;2,000
Ceftriaxone;0;0;0;0;0;0;0;9;104;582;356;457;987;1203;668;780;0;0;0;2;5146;NA;Staphylococcus;NA;NA
Chloramphenicol;0;0;0;0;0;0;0;0;0;0;6;65;24;0;0;8;1;0;0;1;104;NA;Staphylococcus;8,000;8,000
Ciprofloxacin;0;0;0;5;36;143;1228;2582;680;202;234;535;2831;73;149;256;58;15;0;8;9027;1,000;Staphylococcus;0,001;1,000
Clarithromycin;0;0;0;0;0;10;4;0;0;0;0;0;0;4;3;1;0;8;0;1;30;NA;Staphylococcus;1,000;2,000
Clinafloxacin;0;0;0;0;23;81;31;44;188;59;23;19;0;7;0;0;0;0;0;1;475;NA;Staphylococcus;NA;NA
Clindamycin;0;0;0;0;1;84;234;85;1;3;1;1;31;1;133;0;0;63;0;5;638;0,250;Staphylococcus;0,250;0,500
