Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;4;4;7;24;29;10;2;1;1;0;0;0;1;82;NA;Staphylococcus;8,000;8,000
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Benzylpenicillin;0;0;0;14;21;7;9;16;11;13;19;20;37;65;87;343;32;0;0;3;694;NA;Staphylococcus;0,125;0,125
Cefazolin;0;0;0;0;0;0;3;15;34;5;8;13;10;4;159;0;0;0;0;1;251;NA;Staphylococcus;NA;NA
Cefepime;0;0;0;0;0;0;0;3;5;38;84;60;47;41;377;0;0;0;0;1;655;NA;Staphylococcus;NA;NA
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;16,000;2,000
Ceftobiprole;0;0;0;0;0;7;15;32;45;73;116;152;6;0;0;0;0;0;0;7;446;NA;Staphylococcus;2,000;2,000
Ceftriaxone;0;0;0;0;0;0;0;0;5;6;19;57;61;56;70;386;0;0;0;2;660;NA;Staphylococcus;NA;NA
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Ciprofloxacin;0;0;3;0;1;19;142;214;58;12;28;13;285;117;17;34;26;96;0;7;1065;1,000;Staphylococcus;0,001;1,000
Clarithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Clinafloxacin;0;0;0;0;2;1;1;0;15;4;5;0;0;0;0;0;0;0;0;1;28;NA;Staphylococcus;NA;NA
Clindamycin;0;0;0;0;1;26;36;3;0;8;5;1;0;0;19;0;0;5;2;4;106;0,250;Staphylococcus;0,250;0,500
Dalbavancin;0;0;0;17;30;95;171;39;9;7;3;0;0;0;0;0;0;0;0;2;371;NA;Staphylococcus;0,125;0,125
Daptomycin;0;0;0;0;0;1;31;128;110;9;0;0;0;0;0;0;0;0;0;3;279;1,000;Staphylococcus;1,000;1,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Doxycycline;0;0;0;0;0;0;40;12;107;84;2;2;3;37;0;0;0;0;0;1;287;NA;Staphylococcus;1,000;2,000
Eravacycline;0;0;0;12;115;70;76;155;41;14;3;0;0;0;0;0;0;0;0;3;486;NA;Staphylococcus;0,250;0,250
Erythromycin;0;0;0;0;0;11;24;11;9;6;12;4;5;201;27;5;3;39;2;5;359;1,000;Staphylococcus;1,000;2,000
Fosfomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;32,000;32,000
Fusidic acid;0;0;0;0;2;29;3;0;0;1;14;5;13;14;4;0;0;19;0;4;104;0,500;Staphylococcus;NA;NA
Fusidic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Gentamicin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Lefamulin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Levofloxacin;0;0;0;0;0;13;92;14;5;3;14;77;12;9;12;1;0;0;0;3;252;0,500;Staphylococcus;0,001;1,000
Linezolid;0;0;0;0;0;0;2;35;354;701;88;4;1;0;0;0;0;0;0;10;1185;2,000;Staphylococcus;4,000;4,000
Meropenem;0;0;0;1;2;8;29;26;10;8;11;16;20;44;44;6;1;0;0;2;226;NA;Staphylococcus;NA;NA
Minocycline;0;0;0;0;0;6;8;20;20;5;2;3;1;1;0;0;0;0;0;3;66;NA;Staphylococcus;0,500;0,500
Moxifloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Netilmicin;0;0;0;0;0;0;0;0;0;0;1;2;6;4;0;0;2;4;2;1;21;NA;Staphylococcus;NA;NA
Nitrofurantoin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;64,000;64,000
Norvancomycin;0;0;0;0;0;0;0;21;58;103;18;0;0;0;0;0;0;0;0;5;200;2,000;Staphylococcus;NA;NA
Oritavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,125;0,125
Oxacillin;0;0;0;0;0;10;34;61;50;18;22;255;10;443;1;1;1;59;11;7;976;NA;Staphylococcus;NA;NA
Piperacillin-tazobactam;0;0;1;1;1;0;2;5;25;42;21;33;39;31;20;34;131;38;9;4;433;NA;Staphylococcus;NA;NA
Quinupristin-dalfopristin;0;0;0;0;0;1;34;391;191;37;1;1;1;0;0;0;0;0;0;3;657;NA;Staphylococcus;1,000;2,000
Rifampicin;0;1;11;14;23;6;8;0;0;0;0;1;0;0;0;0;0;0;2;3;66;0,064;Staphylococcus;0,060;0,500
Roxithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Spectinomycin;0;0;0;0;0;0;0;0;1;1;5;2;1;0;0;0;0;0;0;1;10;NA;Staphylococcus;NA;NA
Tedizolid;0;0;0;0;0;0;27;122;5;1;0;0;0;0;0;0;0;0;0;7;155;NA;Staphylococcus;0,500;0,500
Teicoplanin;0;0;0;0;0;0;11;33;64;231;358;300;178;63;2;1;0;0;0;10;1241;NA;Staphylococcus;2,000;2,000
Telavancin;0;0;0;0;0;1;13;63;47;3;1;0;0;0;0;0;0;0;0;10;128;1,000;Staphylococcus;0,125;0,125
Telavancin (w P80);0;0;0;9;47;111;6;0;0;0;0;0;0;0;0;0;0;0;0;2;173;NA;Staphylococcus;NA;NA
Tetracycline;0;0;0;0;0;0;1;7;2;16;13;5;7;1;0;4;3;7;0;3;66;NA;Staphylococcus;1,000;2,000
Tigecycline;0;0;0;1;0;6;23;48;46;5;2;0;0;0;0;0;0;0;0;5;131;1,000;Staphylococcus;0,500;0,500
Tobramycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Trimethoprim;0;0;0;0;0;0;0;1;5;6;5;1;0;0;0;1;2;45;0;3;66;NA;Staphylococcus;4,000;4,000
Trimethoprim-sulfamethoxazole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;2,000;4,000
Vancomycin;0;0;0;0;0;0;0;11;178;1059;838;60;0;1;0;0;0;0;0;11;2147;4,000;Staphylococcus;2,000;2,000
