Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;10;63;47;101;59;30;8;5;12;0;0;0;1;335;NA;Staphylococcus;8,000;8,000
Ampicillin;0;0;0;0;0;0;16;19;24;70;94;54;84;100;68;0;0;0;0;2;529;NA;Staphylococcus;NA;NA
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Benzylpenicillin;0;0;0;38;9;5;13;27;28;32;39;42;88;83;78;26;0;0;0;1;508;NA;Staphylococcus;0,125;0,125
Cefepime;0;0;0;0;0;0;1;15;39;99;94;149;124;30;60;2;0;0;0;3;613;NA;Staphylococcus;NA;NA
Cefotaxime;0;0;0;0;0;0;3;8;16;60;55;115;58;14;16;0;0;0;0;2;345;NA;Staphylococcus;NA;NA
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;16,000;2,000
Ceftobiprole;0;0;0;0;0;8;53;35;32;123;90;30;0;0;0;0;0;0;0;5;371;NA;Staphylococcus;2,000;2,000
Ceftriaxone;0;0;0;0;0;0;0;0;4;18;47;97;90;150;41;62;0;0;0;1;509;NA;Staphylococcus;NA;NA
Cefuroxime;0;0;0;0;0;0;7;17;65;81;86;40;15;3;21;0;0;0;0;1;335;NA;Staphylococcus;NA;NA
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Ciprofloxacin;0;0;1;0;2;31;170;75;36;34;30;42;182;0;2;1;0;0;0;3;606;1;Staphylococcus;0,001;1,000
Clarithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Clindamycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,500
Dalbavancin;0;0;0;56;106;34;12;0;0;0;0;0;0;0;0;0;0;0;0;2;208;NA;Staphylococcus;0,125;0,125
Daptomycin;0;0;0;0;0;2;31;123;34;2;0;0;0;0;0;0;0;0;0;2;192;NA;Staphylococcus;1,000;1,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Doxycycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Eravacycline;0;0;0;2;19;7;2;6;0;1;0;0;0;0;0;0;0;0;0;2;37;NA;Staphylococcus;0,250;0,250
Erythromycin;0;0;0;0;2;1;3;2;0;0;0;0;2;0;10;0;0;0;1;1;21;NA;Staphylococcus;1,000;2,000
Fosfomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;32,000;32,000
Fusidic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Gentamicin;0;0;0;7;11;6;3;4;4;2;4;2;2;1;2;0;0;0;1;2;49;NA;Staphylococcus;1,000;1,000
