Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Amoxicillin;0;0;0;0;0;1;12;38;1;1;3;8;12;0;0;0;0;0;0;3;76;0,50;Staphylococcus;NA;NA
Ampicillin;0;0;0;0;1;7;41;2;1;1;3;7;13;0;0;0;0;0;0;3;76;0,25;Staphylococcus;NA;NA
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Benzylpenicillin;0;0;1;16;45;3;2;1;1;3;33;0;0;0;0;0;0;0;0;4;105;0,06;Staphylococcus;0,125;0,125
Cefalexin;0;0;0;0;0;0;0;0;2;4;43;25;1;0;0;0;0;0;0;3;75;8,00;Staphylococcus;NA;NA
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;16,000;2,000
Ceftiofur;0;0;0;0;0;0;1;0;76;132;4;1;0;0;0;0;0;0;0;2;214;NA;Staphylococcus;NA;NA
Ceftobiprole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;2,000;2,000
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Ciprofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,001;1,000
Clarithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Clindamycin;0;0;0;0;0;0;13;20;5;7;0;0;0;0;0;0;0;0;0;2;45;NA;Staphylococcus;0,250;0,500
Cloxacillin;0;0;0;0;0;0;0;2;27;18;0;0;0;0;0;0;0;0;0;2;47;NA;Staphylococcus;NA;NA
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,125;0,125
