Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Ampicillin;0;0;0;0;0;0;13;36;6;18;32;9;4;2;6;0;0;0;0;2;126;NA;Staphylococcus;NA;NA
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Benzylpenicillin;0;0;1;7;6;24;63;14;5;14;16;17;8;3;5;3;0;0;0;3;186;0,125;Staphylococcus;0,125;0,125
Cefepime;0;0;0;0;0;0;1;2;2;19;47;9;4;1;5;0;0;0;0;2;90;NA;Staphylococcus;NA;NA
Cefoxitin;0;0;0;0;0;0;0;0;0;5;79;17;1;0;0;0;0;0;0;2;102;NA;Staphylococcus;NA;NA
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;16,000;2,000
Ceftobiprole;0;0;0;0;0;4;10;10;55;4;3;1;0;0;0;0;0;0;0;5;87;NA;Staphylococcus;2,000;2,000
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Ciprofloxacin;0;0;0;0;3;3;18;29;11;4;5;1;0;1;1;0;0;0;0;3;76;1,000;Staphylococcus;0,001;1,000
