Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Benzylpenicillin;0;0;4;36;3;8;2;5;7;4;35;0;0;0;0;0;0;0;0;3;104;0,032;Staphylococcus;0,125;0,125
Cefalexin;0;0;0;0;0;0;0;0;4;82;52;7;14;4;5;0;0;0;0;5;168;4,000;Staphylococcus;NA;NA
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Ceftobiprole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;2,000;2,000
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Ciprofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,001;1,000
Clarithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Clindamycin;0;0;0;0;2;46;170;4;8;214;0;0;0;0;0;0;0;0;0;8;444;0,250;Staphylococcus;0,250;0,500
Cloxacillin;0;0;0;0;0;0;11;156;7;3;7;0;0;0;0;0;0;0;0;4;184;0,500;Staphylococcus;NA;NA
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,125;0,125
Daptomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Doxycycline;0;0;0;0;1;188;61;4;1;1;10;55;153;0;0;0;0;0;0;9;474;0,125;Staphylococcus;1,000;2,000
Enrofloxacin;0;0;0;0;12;53;216;27;17;19;130;0;0;0;0;0;0;0;0;9;474;0,500;Staphylococcus;NA;NA
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Erythromycin;0;0;0;0;0;3;15;373;24;9;1;248;1;1;224;0;0;0;0;18;899;0,500;Staphylococcus;1,000;2,000
Florfenicol;0;0;0;0;0;0;0;0;0;5;256;155;3;1;0;0;0;0;0;9;420;8,000;Staphylococcus;NA;NA
Flumequine;0;0;0;0;0;0;0;0;1;26;50;21;11;0;0;0;0;0;0;3;109;16,000;Staphylococcus;NA;NA
Fosfomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;32,000;32,000
Fusidic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;1,000
Gamithromycin;0;0;0;0;0;0;1;129;59;1;0;0;1;176;0;0;0;0;0;7;367;0,500;Staphylococcus;NA;NA
Gentamicin;0;0;0;1;1;88;193;34;3;0;25;129;0;0;0;0;0;0;0;9;474;0,250;Staphylococcus;1,000;1,000
Lefamulin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,250;0,250
Levofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;0,001;1,000
Lincomycin;0;0;0;0;0;0;1;7;96;112;8;8;5;179;0;0;0;0;0;7;416;2,000;Staphylococcus;NA;NA
