Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Ampicillin;0;0;0;0;0;4;16;116;40;43;23;9;23;20;21;0;0;0;0;3;315;0,50;Staphylococcus;NA;NA
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Benzylpenicillin;0;0;0;7;8;15;28;54;4;3;10;3;13;18;20;8;0;0;0;2;191;NA;Staphylococcus;0,125;0,125
Cefadroxil;0;0;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;1;18;NA;Staphylococcus;NA;NA
Cefalexin;0;0;0;0;0;0;0;0;2;1;11;15;7;1;0;0;0;0;0;1;37;NA;Staphylococcus;NA;NA
Cefalothin;0;0;0;0;0;0;1;5;11;1;0;0;0;0;0;0;0;0;0;1;18;NA;Staphylococcus;NA;NA
Cefepime;0;0;0;0;0;0;0;2;6;28;62;19;18;11;27;0;0;0;0;1;173;NA;Staphylococcus;NA;NA
Cefixime;0;0;0;0;0;0;0;0;0;1;0;0;3;8;22;20;1;0;0;2;55;NA;Staphylococcus;NA;NA
Cefotaxime;0;0;0;0;0;0;0;0;0;3;12;6;0;0;0;0;0;0;0;2;21;NA;Staphylococcus;NA;NA
Cefoxitin;0;0;0;0;0;0;0;0;0;1;12;97;5;0;5;1;0;0;3;1;124;NA;Staphylococcus;NA;NA
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Ceftobiprole;0;0;0;0;0;0;3;13;12;5;3;1;0;0;0;0;0;0;0;3;37;NA;Staphylococcus;2,000;2,000
