Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;5;16;28;10;6;3;0;0;1;1;0;0;2;70;NA;Staphylococcus;8,000;8,000
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
Benzylpenicillin;0;0;0;8;9;9;5;6;13;16;11;20;14;21;17;13;0;0;0;1;162;NA;Staphylococcus;0,125;0,125
Cefazolin;0;0;0;0;0;0;12;33;24;8;8;9;9;3;9;0;0;0;246;1;361;NA;Staphylococcus;NA;NA
Cefepime;0;0;0;0;0;0;0;3;24;52;20;11;20;16;16;0;0;0;0;1;162;NA;Staphylococcus;NA;NA
Cefotaxime;0;0;0;0;0;0;0;6;23;14;4;4;2;0;0;0;0;0;0;1;53;NA;Staphylococcus;NA;NA
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;16,000;2,000
Ceftobiprole;0;0;0;0;0;4;33;27;21;12;2;6;0;0;0;0;0;0;0;5;105;NA;Staphylococcus;2,000;2,000
Ceftriaxone;0;0;0;0;0;0;0;0;1;13;52;28;10;11;18;29;0;0;0;1;162;NA;Staphylococcus;NA;NA
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;8,000;8,000
Ciprofloxacin;0;0;0;0;0;2;21;68;30;1;0;1;5;0;0;0;0;0;0;2;128;NA;Staphylococcus;0,001;1,000
Clarithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Staphylococcus;1,000;2,000
