Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Ampicillin;0;0;0;0;0;0;0;0;0;4;13;14;20;45;2097;50;0;0;0;3;2243;NA;S.maltophilia;NA;NA
Ampicillin-sulbactam (ratio);0;0;0;0;0;0;0;0;2;0;14;19;21;29;75;440;0;0;0;2;600;NA;S.maltophilia;NA;NA
Aztreonam;0;0;0;0;1;1;1;0;0;0;4;3;3;2;10;41;5;0;0;2;71;NA;S.maltophilia;NA;NA
Cefepime;0;0;0;0;0;0;7;9;30;62;150;249;618;1233;1892;45;5;0;0;4;4300;NA;S.maltophilia;NA;NA
Cefoperazone;0;0;0;0;0;0;0;0;5;11;22;36;45;86;97;151;12;10;0;3;475;NA;S.maltophilia;NA;NA
Cefotaxime;0;0;0;0;1;1;2;0;0;3;12;14;8;24;22;55;21;49;0;3;212;NA;S.maltophilia;NA;NA
Ceftazidime;0;0;0;0;0;1;4;40;72;146;180;97;76;98;138;314;31;8;1;13;1206;NA;S.maltophilia;NA;NA
Ceftibuten;0;0;0;0;0;0;0;0;0;0;0;3;40;26;0;0;0;0;0;1;69;NA;S.maltophilia;NA;NA
Ceftobiprole;0;0;0;0;0;0;0;0;0;0;0;1;2;4;3;71;0;0;0;4;81;NA;S.maltophilia;NA;NA
Ceftolozane;0;0;0;0;0;0;0;0;5;7;27;31;33;30;38;81;0;0;0;2;252;NA;S.maltophilia;NA;NA
Ceftolozane-tazobactam;0;0;0;0;0;0;0;0;6;20;24;32;39;29;39;63;0;0;0;2;252;NA;S.maltophilia;NA;NA
Ciprofloxacin;0;0;1;1;3;26;11;35;150;576;886;529;276;140;20;7;0;0;146;15;2807;16;S.maltophilia;NA;NA
Clinafloxacin;0;0;0;0;4;2;24;83;75;31;23;4;3;0;0;0;0;0;147;2;396;NA;S.maltophilia;NA;NA
Doripenem;0;0;0;0;0;0;0;0;4;4;2;12;21;945;12;6;4;0;3;11;1013;NA;S.maltophilia;NA;NA
Doxycycline;0;0;0;0;0;0;0;2;12;41;94;63;31;7;2;0;0;0;0;2;252;NA;S.maltophilia;NA;NA
Eravacycline;0;0;0;0;1;3;27;127;339;456;199;68;15;2;0;0;0;0;0;5;1237;4;S.maltophilia;NA;NA
Gatifloxacin;0;0;0;0;0;18;22;135;326;212;136;46;32;13;0;0;0;0;148;2;1088;NA;S.maltophilia;NA;NA
Gemifloxacin;0;0;0;0;0;2;5;21;19;23;17;3;11;0;1;0;0;0;0;2;102;NA;S.maltophilia;NA;NA
Imipenem;0;0;0;0;0;0;9;16;11;12;7;21;32;4199;1;84;62;31;2;10;4487;NA;S.maltophilia;NA;NA
Levofloxacin;0;0;0;1;0;7;23;88;375;466;290;108;73;30;3;0;0;0;149;6;1613;NA;S.maltophilia;NA;NA
Meropenem;0;0;0;0;0;2;1;7;17;12;19;39;76;1867;111;2;2;0;0;3;2155;32;S.maltophilia;NA;NA
Minocycline;0;0;0;0;0;1;45;52;32;7;1;0;0;0;0;0;0;0;0;5;138;1;S.maltophilia;NA;NA
Moxifloxacin;0;0;0;1;16;39;145;183;134;125;55;27;20;2;3;0;0;0;0;6;750;NA;S.maltophilia;NA;NA
Nalidixic acid;0;0;0;0;0;0;0;0;0;0;1;12;68;53;31;13;4;0;0;1;182;NA;S.maltophilia;NA;NA
Norfloxacin;0;0;0;0;0;0;0;0;0;0;0;5;13;8;4;3;0;0;0;1;33;NA;S.maltophilia;NA;NA
Ofloxacin;0;0;0;0;1;0;2;0;13;23;27;22;7;0;4;0;0;0;0;2;99;NA;S.maltophilia;NA;NA
Piperacillin;0;0;0;0;0;0;0;0;1;5;5;28;83;2259;62;30;19;71;42;8;2605;NA;S.maltophilia;NA;NA
Piperacillin-tazobactam;0;0;0;0;0;0;0;0;8;16;29;120;354;685;726;554;2208;258;90;16;5048;NA;S.maltophilia;NA;NA
Sulbactam;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;7;11;45;1;67;NA;S.maltophilia;NA;NA
Tetracycline;0;0;0;0;0;0;0;0;1;2;1;15;63;79;31;1;0;0;0;6;193;NA;S.maltophilia;NA;NA
Ticarcillin;0;0;0;0;0;0;0;0;0;43;63;86;113;186;401;678;947;1435;2;3;3954;NA;S.maltophilia;NA;NA
Ticarcillin-clavulanic acid;0;0;0;0;0;0;0;0;0;245;208;358;500;883;753;436;345;292;0;3;4020;NA;S.maltophilia;NA;NA
Tigecycline;0;0;0;0;0;2;17;68;62;46;23;6;0;1;0;0;0;0;0;4;225;4;S.maltophilia;NA;NA
Trimethoprim-sulfamethoxazole;0;0;0;0;34;176;249;449;463;298;152;84;34;66;152;11;18;2;0;10;2188;2;S.maltophilia;0,001;4
