Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;0;9;56;254;19;0;0;0;0;0;0;0;0;0;0;0;0;5;338;0,250;Streptococcus_A,B,C,G;NA;NA
Ampicillin;0;0;0;1;8;123;158;10;0;1;2;0;0;0;0;0;0;0;0;4;303;0,250;Streptococcus_A,B,C,G;NA;NA
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,250;0,500
Benzylpenicillin;0;0;8;188;1629;1346;85;4;0;1;0;0;0;0;0;0;0;0;0;9;3261;0,125;Streptococcus_A,B,C,G;0,250;0,250
Cefaclor;0;0;0;0;0;0;1;18;26;10;1;0;0;0;0;0;0;0;0;2;56;NA;Streptococcus_A,B,C,G;NA;NA
Cefepime;0;0;0;1;4;262;2544;42;10;6;0;1;0;1;0;0;0;2;0;4;2873;0,125;Streptococcus_A,B,C,G;NA;NA
Cefixime;0;0;0;0;0;0;3;65;5;0;0;0;0;0;0;0;0;0;0;2;73;NA;Streptococcus_A,B,C,G;NA;NA
Cefotaxime;0;0;0;17;571;412;59;8;0;0;0;0;0;0;0;2;0;0;0;11;1069;0,125;Streptococcus_A,B,C,G;NA;NA
Cefpodoxime;0;0;0;0;98;248;18;4;1;0;0;0;0;0;0;0;0;0;0;2;369;NA;Streptococcus_A,B,C,G;NA;NA
Ceftaroline;0;7;22;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;32;NA;Streptococcus_A,B,C,G;NA;NA
Ceftobiprole;0;0;0;55;333;25;1;0;0;0;0;0;0;0;0;0;0;0;0;4;414;0,064;Streptococcus_A,B,C,G;NA;NA
Ceftolozane;0;0;0;0;0;0;0;1;37;16;0;0;0;0;0;0;0;0;0;2;54;NA;Streptococcus_A,B,C,G;NA;NA
Ceftolozane-tazobactam;0;0;0;0;0;0;0;14;49;9;0;0;0;0;0;0;0;0;0;3;72;2,000;Streptococcus_A,B,C,G;NA;NA
Cefuroxime;0;0;0;1;50;17;1;0;0;0;0;0;0;0;0;0;0;0;0;3;69;NA;Streptococcus_A,B,C,G;NA;NA
Chloramphenicol;0;0;0;0;0;0;0;0;1;9;21;1;0;0;0;0;0;0;0;1;32;NA;Streptococcus_A,B,C,G;8,000;8,000
Ciprofloxacin;0;0;2;0;0;4;30;106;1559;1511;279;14;2;9;2;0;0;0;193;12;3711;2,000;Streptococcus_A,B,C,G;NA;NA
Clarithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,250;0,500
Clindamycin;0;0;0;1;80;390;424;46;3;1;2;1;3;23;11;1;1;17;0;8;1004;0,500;Streptococcus_A,B,C,G;0,500;0,500
Dalbavancin;1;1;50;290;267;162;59;18;0;0;0;0;0;0;0;0;0;0;0;11;848;0,125;Streptococcus_A,B,C,G;0,125;0,125
Daptomycin;0;0;0;6;8;362;807;570;107;4;0;0;0;0;0;0;0;0;0;9;1864;0,500;Streptococcus_A,B,C,G;1,000;1,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,030;0,030
Doripenem;0;3;36;214;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;273;0,032;Streptococcus_A,B,C,G;NA;NA
Doxycycline;0;0;0;0;0;4;6;3;2;1;3;0;22;11;0;0;0;0;0;2;52;NA;Streptococcus_A,B,C,G;1,000;2,000
Eravacycline;0;0;2;11;209;269;17;0;0;0;0;0;0;0;0;0;0;0;0;3;508;0,125;Streptococcus_A,B,C,G;NA;NA
Ertapenem;0;0;31;56;261;189;37;3;1;0;0;0;2;2;0;0;0;0;0;7;582;NA;Streptococcus_A,B,C,G;NA;NA
Erythromycin;0;0;0;13;92;582;130;33;1;4;1;15;10;28;14;0;0;15;0;7;938;0,250;Streptococcus_A,B,C,G;0,250;0,500
Fusidic acid;0;0;0;0;0;0;0;0;1;3;18;88;555;387;13;6;0;0;0;2;1071;NA;Streptococcus_A,B,C,G;NA;NA
Gatifloxacin;0;0;0;0;0;4;7;180;122;3;2;2;2;0;0;0;0;0;194;4;516;1,000;Streptococcus_A,B,C,G;NA;NA
Gemifloxacin;0;0;0;2;13;21;0;0;0;0;0;0;0;0;0;0;0;0;0;2;36;NA;Streptococcus_A,B,C,G;NA;NA
Gentamicin;0;0;0;0;0;0;0;0;0;1;4;62;105;203;102;20;13;0;0;6;510;64,000;Streptococcus_A,B,C,G;NA;NA
Imipenem;0;2;85;151;123;79;46;1;1;4;2;0;0;0;0;0;0;0;0;6;494;0,125;Streptococcus_A,B,C,G;NA;NA
Levofloxacin;0;0;0;0;0;1;26;914;424;984;87;11;3;6;2;0;0;0;195;10;2653;2,000;Streptococcus_A,B,C,G;0,001;2,000
Linezolid;0;0;0;0;0;0;0;8;145;1703;282;4;0;0;0;0;0;0;0;15;2142;2,000;Streptococcus_A,B,C,G;2,000;2,000
Meropenem;0;0;21;118;407;535;39;12;4;2;2;2;0;1;1;2;0;0;0;8;1146;0,125;Streptococcus_A,B,C,G;NA;NA
Minocycline;0;0;0;0;3;8;29;15;8;0;2;3;9;102;159;0;0;0;0;5;338;0,500;Streptococcus_A,B,C,G;0,500;0,500
Moxifloxacin;0;0;1;0;6;56;371;435;61;11;0;9;0;0;0;0;0;0;197;15;1147;0,500;Streptococcus_A,B,C,G;0,500;0,500
Mupirocin;0;0;0;0;0;6;25;55;402;514;35;11;5;8;2;2;3;3;0;2;1071;NA;Streptococcus_A,B,C,G;NA;NA
Netilmicin;0;0;0;0;0;0;0;0;0;0;0;0;3;11;5;1;0;0;0;1;20;NA;Streptococcus_A,B,C,G;NA;NA
Nitrofurantoin;0;0;0;0;0;0;0;0;0;0;3;31;10;2;0;0;0;0;0;2;46;NA;Streptococcus_A,B,C,G;64,000;64,000
Ofloxacin;0;0;0;0;0;0;0;0;2;110;84;6;0;5;0;0;0;0;0;4;207;4,000;Streptococcus_A,B,C,G;NA;NA
Oritavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,250;0,250
